"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG","WORLD_RANK","COUNTRY","TEACHING","INTERNATIONAL","RESEARCH","CITATIONS","INCOME","TOTAL_SCORE","NUM_STUDENTS","STUDENT_STAFF_RATIO","INTERNATIONAL_STUDENTS","F_M_RATIO","YEAR","timesData"
"Purdue University","Indiana","West Lafayette",3,"Certificate in Applied Statistics","C","Department of Statistics","Online","12 credit hours (4 courses)","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/admissions/home.php",40.4282,-86.9144,"98","United States of America",56.6,"52.6",49.4,57.8,"-","54","39,256",18.1,"22%","42:58:00",2012,1
"Purdue University","Indiana","West Lafayette",3,"Certificate in Applied Statistics","C","Department of Statistics","Online","12 credit hours (4 courses)","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/admissions/home.php",40.4282,-86.9144,"69","United States of America",59.8,"54.8",71.9,63.1,"-","63.8","39,256",18.1,"22%","42:58:00",2013,1
"Purdue University","Indiana","West Lafayette",3,"Certificate in Applied Statistics","C","Department of Statistics","Online","12 credit hours (4 courses)","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/admissions/home.php",40.4282,-86.9144,"113","United States of America",50.2,"66.4",57.7,63.2,"-","57","39,256",18.1,"22%","42:58:00",2016,1
"Purdue University","Indiana","West Lafayette",3,"Certificate in Applied Statistics","C","Department of Statistics","Online","12 credit hours (4 courses)","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/admissions/home.php",40.4282,-86.9144,"102","United States of America",47.8,"64.3",50.5,62.2,"-","54","39,256",18.1,"22%","42:58:00",2015,1
"Purdue University","Indiana","West Lafayette",3,"Certificate in Applied Statistics","C","Department of Statistics","Online","12 credit hours (4 courses)","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/admissions/home.php",40.4282,-86.9144,"106","United States of America",57,"62.6",67.8,43.9,"-","56.2","39,256",18.1,"22%","42:58:00",2011,1
"Purdue University","Indiana","West Lafayette",3,"MS in Business Analytics and Information Management","M","Krannert School of Management","Campus","36 credit hours / 11 months","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php",40.4282,-86.9144,"62","United States of America",53.7,"60.6",62.5,67,"-","60.7","39,256",18.1,"22%","42:58:00",2014,1
"Purdue University","Indiana","West Lafayette",3,"MS in Business Analytics and Information Management","M","Krannert School of Management","Campus","36 credit hours / 11 months","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php",40.4282,-86.9144,"98","United States of America",56.6,"52.6",49.4,57.8,"-","54","39,256",18.1,"22%","42:58:00",2012,1
"Purdue University","Indiana","West Lafayette",3,"MS in Business Analytics and Information Management","M","Krannert School of Management","Campus","36 credit hours / 11 months","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php",40.4282,-86.9144,"69","United States of America",59.8,"54.8",71.9,63.1,"-","63.8","39,256",18.1,"22%","42:58:00",2013,1
"Purdue University","Indiana","West Lafayette",3,"MS in Business Analytics and Information Management","M","Krannert School of Management","Campus","36 credit hours / 11 months","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php",40.4282,-86.9144,"113","United States of America",50.2,"66.4",57.7,63.2,"-","57","39,256",18.1,"22%","42:58:00",2016,1
"Purdue University","Indiana","West Lafayette",3,"MS in Business Analytics and Information Management","M","Krannert School of Management","Campus","36 credit hours / 11 months","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php",40.4282,-86.9144,"102","United States of America",47.8,"64.3",50.5,62.2,"-","54","39,256",18.1,"22%","42:58:00",2015,1
"Purdue University","Indiana","West Lafayette",3,"MS in Business Analytics and Information Management","M","Krannert School of Management","Campus","36 credit hours / 11 months","Not Available","http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php",40.4282,-86.9144,"106","United States of America",57,"62.6",67.8,43.9,"-","56.2","39,256",18.1,"22%","42:58:00",2011,1
"Quinnipiac University","Connecticut","Hamden",1,"Master of Science in Business Analytics","M","School of Business","Online","33 credits","Not Available","http://www.quinnipiac.edu/academics/qu-online/online-programs/online-graduate-programs/master-of-science-in-business-analytics/",41.4195,-72.8955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Radford University","Virginia","Radford",1,"MS in Data and Information Management","M","College of Science and Technology: Department of Information Technology","Campus","no information given","computer science","http://www.radford.edu/content/csat/home/daim/about.html",37.1369,-80.5497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Regis University","Colorado","Denver",1,"Graduate Certificate in Data Science","C","College of Computer and Information Sciences","Online","12 credit hours","Not Available","http://www.regis.edu/CCIS/Academics/Degrees-Programs/Certificates/GC-Data-Science.aspx",39.7898,-105.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Rensselaer Polytechnic Institute","New York","Troy",2,"M.S. in Information Technology - Concentration in Data Science and Analytics","M","Department of Information Technology & Web Science","Campus","2 terms","computer science","https://www.rpi.edu/dept/IT/graduate/Masters.html",42.729,-73.6788,"181","United States of America",30.7,"35.6",35.5,71.5,"65.6","45.6","6,671",15,"16%","30 : 70",2014,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"M.S. in Information Technology - Concentration in Data Science and Analytics","M","Department of Information Technology & Web Science","Campus","2 terms","computer science","https://www.rpi.edu/dept/IT/graduate/Masters.html",42.729,-73.6788,"144","United States of America",31.7,"32.7",40.4,73.6,"49","47.4","6,671",15,"16%","30 : 70",2012,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"M.S. in Information Technology - Concentration in Data Science and Analytics","M","Department of Information Technology & Web Science","Campus","2 terms","computer science","https://www.rpi.edu/dept/IT/graduate/Masters.html",42.729,-73.6788,"226-250","United States of America",30.9,"42.8",26.2,67.8,"49.9","-","6,671",15,"16%","30 : 70",2015,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"M.S. in Information Technology - Concentration in Data Science and Analytics","M","Department of Information Technology & Web Science","Campus","2 terms","computer science","https://www.rpi.edu/dept/IT/graduate/Masters.html",42.729,-73.6788,"174","United States of America",36.2,"32.9",40.2,73,"66.8","48.9","6,671",15,"16%","30 : 70",2013,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"M.S. in Information Technology - Concentration in Data Science and Analytics","M","Department of Information Technology & Web Science","Campus","2 terms","computer science","https://www.rpi.edu/dept/IT/graduate/Masters.html",42.729,-73.6788,"104","United States of America",50.5,"48",54.6,64.9,"-","56.4","6,671",15,"16%","30 : 70",2011,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"M.S. in Information Technology - Concentration in Data Science and Analytics","M","Department of Information Technology & Web Science","Campus","2 terms","computer science","https://www.rpi.edu/dept/IT/graduate/Masters.html",42.729,-73.6788,"251-300","United States of America",30.4,"40.3",31.5,65.1,"79.6","-","6,671",15,"16%","30 : 70",2016,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"MS in Business Analytics","M","Lally School of Management","Campus","30 credit hours/1 year","Not Available","https://www.rpi.edu/dept/IT/graduate/admissions.html",42.729,-73.6788,"181","United States of America",30.7,"35.6",35.5,71.5,"65.6","45.6","6,671",15,"16%","30 : 70",2014,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"MS in Business Analytics","M","Lally School of Management","Campus","30 credit hours/1 year","Not Available","https://www.rpi.edu/dept/IT/graduate/admissions.html",42.729,-73.6788,"144","United States of America",31.7,"32.7",40.4,73.6,"49","47.4","6,671",15,"16%","30 : 70",2012,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"MS in Business Analytics","M","Lally School of Management","Campus","30 credit hours/1 year","Not Available","https://www.rpi.edu/dept/IT/graduate/admissions.html",42.729,-73.6788,"226-250","United States of America",30.9,"42.8",26.2,67.8,"49.9","-","6,671",15,"16%","30 : 70",2015,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"MS in Business Analytics","M","Lally School of Management","Campus","30 credit hours/1 year","Not Available","https://www.rpi.edu/dept/IT/graduate/admissions.html",42.729,-73.6788,"174","United States of America",36.2,"32.9",40.2,73,"66.8","48.9","6,671",15,"16%","30 : 70",2013,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"MS in Business Analytics","M","Lally School of Management","Campus","30 credit hours/1 year","Not Available","https://www.rpi.edu/dept/IT/graduate/admissions.html",42.729,-73.6788,"104","United States of America",50.5,"48",54.6,64.9,"-","56.4","6,671",15,"16%","30 : 70",2011,1
"Rensselaer Polytechnic Institute","New York","Troy",2,"MS in Business Analytics","M","Lally School of Management","Campus","30 credit hours/1 year","Not Available","https://www.rpi.edu/dept/IT/graduate/admissions.html",42.729,-73.6788,"251-300","United States of America",30.4,"40.3",31.5,65.1,"79.6","-","6,671",15,"16%","30 : 70",2016,1
"Rochester Institute of Technology","New York","Rochester",3,"Advanced Certificate in Big Data Analytics","C","College of Computing and Information Sciences","Campus","12 Credits","technical bachelor's degree, statistics, computer science","https://www.rit.edu/programs/applied-statistics-adv-cert",43.0903,-77.6752,"601-800","United States of America",17.4,"29.8",13.4,25.1,"30.4","-","12,965",13.5,"13%","34 : 66",2016,1
"Rochester Institute of Technology","New York","Rochester",3,"Master of Science in Applied Statistics","M","College of Science","Campus or Online","30 Credits","math, statistics","https://www.rit.edu/programs/applied-statistics-adv-cert",43.0903,-77.6752,"601-800","United States of America",17.4,"29.8",13.4,25.1,"30.4","-","12,965",13.5,"13%","34 : 66",2016,1
"Rochester Institute of Technology","New York","Rochester",3,"Advanced Certificate in Applied Statistics","C","College of Science","Campus or Online","12 Credits","math, statistics","https://www.rit.edu/programs/applied-statistics-adv-cert",43.0903,-77.6752,"601-800","United States of America",17.4,"29.8",13.4,25.1,"30.4","-","12,965",13.5,"13%","34 : 66",2016,1
"Rockhurst University","Missouri","Kansas City",3,"Data Science and Business Analytics Certificate","C","Helzburg School of Management","Campus","12 credit hours","statistics","http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf",39.0308,-94.5713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Rockhurst University","Missouri","Kansas City",3,"Data Science and Business Intelligence Certificate","C","Helzberg School of Management","Campus","12 credits","Not Available","http://dobyobktvl6u3.cloudfront.net/media/filer_private/2014/09/22/helzberg_datascience.pdf",39.0308,-94.5713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Rockhurst University","Missouri","Kansas City",3,"MS in Business Intelligence and Analytics","M","Helzberg School of Management","Campus","30 credit hours","Not Available","http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf",39.0308,-94.5713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Rutgers University","New Jersey","Camden",5,"Master of Business & Science (MBS), Concentration in Drug Discovery & Development","M","Professional Science Master's Program","Online","2 years","Not Available","http://mbs.rutgers.edu/programs/drug-discovery-development-onlinehybrid",39.9486,-75.1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Rutgers University","New Jersey","Camden",5,"Master of Business And Science Degree in Analytics - Discovery Informatics & Data Sciences","M","Division of Continuous Education and Outreach","Hybrid","42 credit hours","math","http://mbs.rutgers.edu/how-apply-admission-requirements",39.9486,-75.1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Rutgers University","New Jersey","Camden",5,"Master of Information","M","School of Communication and Information","Online","36 credits","Not Available","http://mbs.rutgers.edu/programs/drug-discovery-development-onlinehybrid",39.9486,-75.1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Rutgers University","New Jersey","Camden",5,"MBA with Analytics and Information Management Concentration","M","Rutgers Business School","Campus","60+ credits (Concentration comprises at least 15 c","Not Available","http://mbs.rutgers.edu/tuition-financing",39.9486,-75.1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Rutgers University","New Jersey","Camden",5,"Post MBA Certificate in Analytics and Information Management","C","Rutgers Business School","Campus","15 credits","Not Available","http://psm.rutgers.edu/programs/analytics-data-sciences",39.9486,-75.1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saint Joseph's University","Pennsylvania","Philadelphia",3,"Online Master of Science in Business Intelligence & Analytics","M","Erivan K. Haub School of Business","Online","39 credits","Not Available","http://online.sju.edu/programs/business-intelligence-course.asp",39.9944,-75.2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saint Joseph's University","Pennsylvania","Philadelphia",3,"Master of Science in Business Intelligence & Analytics Program","M","Erivan K. Haub School of Business","Campus","39 credits","Not Available","http://online.sju.edu/admissions/apply.asp",39.9944,-75.2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saint Joseph's University","Pennsylvania","Philadelphia",3,"Online Master's in Health Administration: Informatics Specialization","M","St Joseph's University Online","Online","42 hours","Not Available","http://online.sju.edu/programs/business-intelligence-curriculum.asp",39.9944,-75.2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saint Louis University-Main Campus","Missouri","Saint Louis",1,"Applied Analytics Master's Degree","M","School for Professional Studies","Online","39 credits","computer science, statistics","http://www.slu.edu/school-for-professional-studies-home/majors-and-programs/masters-degree-programs/ms-in-applied-analytics",38.6345,-90.2338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saint Mary's College","Indiana","Notre Dame",1,"Online Master of Science in Data Science","M","Department of Mathematics and Computer Science","Online","2 years, 36 credits","Not Available","https://grad.saintmarys.edu/academic-programs/ms-data-science",41.7073,-86.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saint Mary's University of Minnesota","Minnesota","Winona",1,"Online Accelerated MBA - Data Analytics","M","Graduate School","Online","30 credit hours","Not Available","http://onlineprograms.smumn.edu/mba/accelerated-online-mba",44.0453,-91.6967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Saint Peter's University","New Jersey","Jersey City",1,"Master of Science in Data Science with a concentration in Business Analytics","M","Saint Peter's University","Campus","12 courses / 36 credits","Not Available","http://www.saintpeters.edu/data-science-and-business-analytics/",40.7271,-74.0715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"San Jose State University","California","San Jose",1,"Online Business Analytics Certificate","C","Lucas Graduate School of Business","Online","12 units","statistics","http://www.sjsu.edu/lucasschool/bacertificate/",37.3352,-121.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Santa Clara University","California","Santa Clara",3,"Master of Science in Business Analytics","M","Leavey School of Business","Campus","50 Credits","statistics, math","https://www.scu.edu/business/ms-business-analytics/",37.3527,-121.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Santa Clara University","California","Santa Clara",3,"Master of Science in Information Systems","M","Leavey School of Business","Campus","51 Credits","Not Available","https://www.scu.edu/business/ms-business-analytics/prospective-students/application-checklist/",37.3527,-121.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Santa Clara University","California","Santa Clara",3,"MBA with concentration in Data Science and Business Analytics","M","Leavey School of Business","Campus","70 units","Not Available","https://www.scu.edu/business/ms-business-analytics/curriculum/",37.3527,-121.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Seattle University","Washington","Seattle",2,"Graduate Certificate in Business Analytics","C","Albers School of Business and Economics","Campus","15 credits","statistics","http://www.seattleu.edu/albers/graduate/certificates/analytics/",47.6101,-122.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Seattle University","Washington","Seattle",2,"Master of Science in Business Analytics","M","Albers School of Business and Economics","Campus","45 credits","Not Available","https://www.seattleu.edu/albers/graduate/certificates/business-analytics/",47.6101,-122.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"South Dakota State University","South Dakota","Brookings",1,"MS in Data Science","M","Department of Mathematics and Statistics","Campus","30 credits","math, statistics, computer science","http://www.sdstate.edu/mathstat/grad/masters-in-data-science.cfm",44.3194,-96.7834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Southern Methodist University","Texas","Dallas",4,"Online Master of Science in Data Science","M","Data Science","Online","32 credits","technical bachelor's degree","http://datascience.smu.edu/",32.8453,-96.7849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Southern Methodist University","Texas","Dallas",4,"M.S. in Applied Statistics and Data Analytics","M","Dedman College of Humanities & Sciences","Campus","36 credit hours","math, statistics","https://datascience.smu.edu/admissions/admissions-requirements/",32.8453,-96.7849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Southern Methodist University","Texas","Dallas",4,"Master of Science in Applied Economics and Predictive Analytics","M","Department of Economics","Campus","36 credit hours","math, statistics","http://datascience.smu.edu/academics/curriculum/",32.8453,-96.7849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Southern Methodist University","Texas","Dallas",4,"Master of Science in Business Analytics","M","Cox School of Business","Campus","33 credit hours","Not Available","http://datascience.smu.edu/admissions/tuition-and-financial-aid/",32.8453,-96.7849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Southern New Hampshire University","New Hampshire","Manchester",3,"Master of Science in Data Analytics","M","Graduate","Online","36 credit hours","Not Available","http://www.snhu.edu/online-degrees/graduate-degrees/data-analytics-ms-online/careers.asp",43.0399,-71.4539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Southern New Hampshire University","New Hampshire","Manchester",3,"MS in Information Technology - Data Analysis","M","School for Professional Studies","Online","36 credits minimum","Not Available","http://www.snhu.edu/online-degrees/graduate-degrees/data-analytics-ms-online/curriculum.asp",43.0399,-71.4539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Southern New Hampshire University","New Hampshire","Manchester",3,"MBA in Business Intelligence","M","Not Available","Online","39 credits","Not Available","http://www.snhu.edu/online-degrees/masters/ms-in-data-analytics",43.0399,-71.4539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Southwestern Oklahoma State University","Oklahoma","Weatherford",1,"M.S. Healthcare Informatics & Information Management","M","Allied Health","Online","36 credit hours","Not Available","http://www.swosu.edu/academics/him/programs/graduate/curriculum.aspx",35.5346,-98.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"St. John's University-New York","New York","Queens",1,"Master of Science in Data Mining and Predictive Analytics","M","Department of Computer Science, Mathematics, and Science","Campus","30 credits","math, statistics","http://www.stjohns.edu/academics/schools-and-colleges/college-professional-studies/programs-and-majors/data-mining-and-predictive-analytics-master-science",40.722,-73.7953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Stanford University","California","Stanford",6,"Biomedical Informatics MS Degree","M","School of Medicine: Department of Biomedial Informatics","Campus","45  hours required","math, statistics, computer science, biology","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182,"3","United States of America",92.5,"76.3",96.2,99.9,"63.3","93.9","15,596",7.8,"22%","42:58:00",2016,1
"Stanford University","California","Stanford",6,"Biomedical Informatics MS Degree","M","School of Medicine: Department of Biomedial Informatics","Campus","45  hours required","math, statistics, computer science, biology","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182,"4","United States of America",94.7,"68",96.8,99.1,"61.3","93.8","15,596",7.8,"22%","42:58:00",2014,1
"Stanford University","California","Stanford",6,"Biomedical Informatics MS Degree","M","School of Medicine: Department of Biomedial Informatics","Campus","45  hours required","math, statistics, computer science, biology","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182,"4","United States of America",98.3,"29.5",98.1,99.2,"64.3","94.3","15,596",7.8,"22%","42:58:00",2011,1
"Stanford University","California","Stanford",6,"Biomedical Informatics MS Degree","M","School of Medicine: Department of Biomedial Informatics","Campus","45  hours required","math, statistics, computer science, biology","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182,"2","United States of America",94.8,"57.2",98.9,99.8,"63.8","93.9","15,596",7.8,"22%","42:58:00",2012,1
"Stanford University","California","Stanford",6,"Biomedical Informatics MS Degree","M","School of Medicine: Department of Biomedial Informatics","Campus","45  hours required","math, statistics, computer science, biology","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182,"2","United States of America",95,"56.6",98.8,99.3,"62.4","93.7","15,596",7.8,"22%","42:58:00",2013,1
