country,country_code,Active Personnel,Aircraft Carriers,Armored Vehicles,Attack Helicopters,Available Manpower,Coastline Coverage,Corvettes,Dedicated Attack,Defense Budget,Destroyers,External Debt,Fighters/Interceptors,Fit-for-Service,Foreign Exchange/Gold,Frigates,Helicopter Carriers,Helicopters,Labor Force,Merchant Marine Fleet,Mine Warfare,Navy Ships,Oil Consumption,Oil Production,Oil Proven Reserves,Paramilitary,Patrol Vessels,Ports / Trade Terminals,Purchasing Power Parity,Railway Coverage,Reaching Mil Age Annually,Reserve Personnel,Roadway Coverage,Rocket Projectors,Self-Propelled Artillery,Shared Borders,Special-Mission,Square Land Area,Submarines,Tanker Fleet,Tanks,Total Aircraft Strength,Total Population,Towed Artillery,Trainers,Transports,Waterways (usable)
Afghanistan,AFG,0,0,530,0,14611901,0,0,0,99050000,0,284000000,0,8242611,5000000000,0,0,0,8478000,0,0,0,35000,0,0,60000,0,2,36000000000,0,786795,0,34903,13,0,5987,0,652230,0,0,0,0,37466414,60,0,0,1200
Albania,ALB,8000,0,76,0,1513309,362,0,0,192400000,0,9311000000,19,1284768,400000000,0,0,19,1104000,70,0,19,29000,14000,168300000,500,19,4,38000000000,677,61768,0,3945,0,0,691,0,28748,0,0,0,19,3088385,0,0,0,41
Algeria,ALG,130000,0,6461,45,20916812,998,6,22,9700000000,0,5574000000,552,17779290,100000000000,5,0,268,10859000,114,0,201,405000,1260000,12200000000,200000,25,12,470000000000,3973,697227,135000,104000,334,545,6734,9,2381741,6,5,2196,552,43576691,450,87,58,0
Angola,ANG,107000,0,1210,15,6728529,1600,0,18,1059270000,0,42080000000,299,3364265,16995000000,0,0,117,12510000,54,2,40,130000,1600000,9523000000,10000,37,6,205700000000,2852,336426,0,26000,118,28,5369,2,1246700,0,0,320,299,33642646,585,61,30,1300
Argentina,ARG,83000,0,800,0,20180574,4989,9,6,3064800000,4,278524000000,218,17153488,45000000000,0,0,85,18000000,202,0,47,806000,490000,2162000000,20000,13,10,900000000000,36917,687974,0,281290,26,75,11968,10,2780400,2,2,349,218,45864941,172,70,22,11000
Armenia,ARM,45000,0,673,20,1686501,0,0,10,632500000,0,11637000000,64,1382329,2200000000,0,0,36,1507000,0,0,0,8000,0,0,4300,0,0,40000000000,780,45174,210000,7700,94,38,1570,0,29743,0,0,288,64,3011609,145,10,2,0
Australia,AUS,59000,0,1765,22,10840189,25760,0,37,44618000000,3,3115913000000,430,8878631,60000000000,8,2,133,12568000,581,4,43,1175000,285000,1821000000,0,12,29,1250900000000,33343,283910,20000,873573,0,0,0,31,7741220,6,6,59,430,25809973,54,113,38,2000
Austria,AST,23000,0,542,0,3998189,0,0,0,3432000000,0,688434000000,102,3598370,22000000000,0,0,63,3739000,0,0,0,268000,13000,41200000,0,0,4,465100000000,5800,97734,160000,137039,0,62,2524,0,83871,0,0,56,102,8884864,0,13,11,0
Azerbaijan,AZR,65000,0,1762,17,5038319,713,0,11,1700000000,0,17410000000,149,3773598,6700000000,1,0,87,4939000,305,7,24,100000,800000,7000000000,15000,13,1,140000000000,2944,154234,300000,24981,291,167,2468,0,86600,4,0,510,149,10282283,319,32,2,0
Bahrain,BAH,10000,0,833,22,824542,161,2,0,1538800000,0,52150000000,110,702387,2349000000,1,0,51,831600,205,0,48,61000,40000,124600000,3000,44,2,70000000000,0,16796,0,4122,17,38,0,0,760,0,0,180,110,1526929,26,37,3,0
Bangladesh,BNG,165000,0,837,0,80408421,580,6,0,3890400000,0,50260000000,190,64326737,33420000000,7,0,66,66640000,468,5,112,106000,3000,28000000,6800000,30,3,800000000000,2460,3117878,0,369105,69,27,4413,2,143998,2,0,320,190,164098818,371,63,13,8370
Belarus,BLR,45000,0,1510,21,5004176,0,0,67,723120000,0,39847000000,201,3701202,7315000000,0,0,62,4381000,4,0,0,141000,30000,198000000,110000,0,1,180000000000,5528,103860,290000,86600,238,482,3599,0,207600,0,0,601,201,9441842,228,30,4,2500
Belgium,BEL,26000,0,854,0,4829325,67,0,0,5513710000,0,1317513000000,115,3816345,26160000000,2,0,20,4122000,201,5,17,648600,0,0,0,2,8,560000000000,3592,117788,7000,118414,0,0,1297,0,30528,0,0,0,115,11778842,0,43,8,2043
Bhutan,BUT,8000,0,27,0,197207,0,0,0,28908000,0,2671000000,2,118324,1206000000,0,0,2,397900,0,0,0,3000,0,0,0,0,0,8420000000,0,4287,0,12205,0,0,1136,0,38394,0,0,0,2,857423,0,0,0,0
Bolivia,BOL,50000,0,152,0,5173902,0,0,0,476970000,0,12810000000,63,3927462,10260000000,0,0,28,5719000,45,0,170,83000,60000,211500000,0,49,5,95000000000,3690,223419,0,90568,0,0,7252,0,1098581,0,0,36,63,11758869,40,21,14,10000
Bosnia and Herzegovina,BOS,9000,0,332,0,2371365,20,0,0,178110000,0,10870000000,19,1969763,6474000000,0,0,19,806000,0,0,0,32000,0,0,0,0,5,48000000000,965,49722,0,22926,143,57,1543,0,51197,0,0,320,19,3824782,679,0,0,0
Botswana,BOT,9000,0,223,0,987280,0,0,0,473400000,0,2187000000,46,592368,7491000000,0,0,16,1177000,0,0,0,21000,0,0,0,0,0,38000000000,888,23507,0,31747,20,12,4347,0,581730,0,0,45,46,2350667,40,9,10,0
Brazil,BRA,360000,0,1958,12,108857163,7491,2,77,18785000000,0,681336000000,679,86018503,374000000000,6,1,179,86621000,864,5,112,2956000,2600000,12630000000,400000,22,17,3300000000000,29850,3415127,1340000,2000000,78,136,16145,41,8514877,7,2,439,679,213445417,546,210,125,50000
Bulgaria,BUL,30000,0,594,2,3252015,354,2,6,1105760000,0,39059000000,66,2663884,28380000000,4,0,22,3113000,79,12,29,97000,1000,15000000,0,0,2,155060000000,5114,62273,3000,19512,192,506,1806,0,110880,0,0,410,66,6919180,350,20,7,470
Burkina Faso,BKF,12000,0,265,2,7911584,0,0,3,434250000,0,3056000000,18,5623639,49000000,0,0,10,8501000,0,0,0,23000,0,0,250,0,0,45160000000,622,342123,0,15304,0,0,3611,0,274200,0,0,0,18,21382659,0,4,1,0
Cambodia,CMB,100000,0,449,0,8306094,443,0,0,632250000,0,11870000000,23,5814266,12200000000,0,0,19,8913000,245,0,27,45000,0,0,10000,20,2,70000000000,642,311479,0,47263,97,0,2530,0,181035,0,0,539,23,17304363,200,0,4,3700
Cameroon,CAM,40000,0,253,0,9698220,400,0,0,398000000,0,9375000000,31,5733359,3235000000,0,0,17,9912000,94,0,60,45000,70000,200000000,12000,37,3,94000000000,987,456387,0,77589,20,0,5018,2,475440,0,0,0,31,28524175,77,6,6,0
Canada,CAN,70000,0,1534,0,16315589,202080,0,0,23550574382,0,2124887000000,380,13204244,86680000000,12,0,118,18136000,679,0,61,2445000,4265000,170500000000,5500,12,13,1742790000000,77932,417376,19000,1042300,0,0,8893,24,9984670,4,6,82,380,37943231,163,133,36,636
Central African Republic,CAR,10000,0,89,0,2089614,0,0,0,41454000,0,779900000,3,1189472,304300000,0,0,1,2242000,0,0,0,2800,0,0,1000,0,2,4500000000,0,96444,0,24000,0,0,5920,0,622984,0,0,3,3,5357984,0,0,2,2800
Chad,CHD,30000,0,691,3,6269079,0,0,6,292610000,0,1724000000,35,3517650,22900000,0,0,16,5654000,0,0,0,2300,135000,1500000000,5000,0,0,25000000000,0,348282,0,40000,16,10,6406,2,1284000,0,0,90,35,17414108,15,4,7,0
Chile,CHI,80000,0,1063,0,8787804,6435,0,0,5058000000,0,193298000000,290,7378094,38980000000,8,0,78,7249000,231,0,133,354500,3000,150000000,50000,97,11,445880000000,7282,292927,40000,77801,30,48,7801,17,756102,4,6,270,290,18307925,164,113,31,12290
China,CHN,2000000,2,35000,281,754864769,14500,70,371,250240000000,41,2027950000000,3285,619268690,3236000000000,49,1,912,774710000,6662,36,777,12470000,3775000,25630000000,624000,152,22,23009780000000,131000,19570568,510000,4960600,3160,4120,22457,114,9596961,79,3,5250,3285,1397897720,1734,399,286,110000
Colombia,COL,295000,0,483,0,24674269,3208,2,38,8139000000,0,135644000000,454,19487637,47130000000,4,0,211,19309000,122,0,450,333000,865000,1665000000,185000,285,8,685000000000,2141,856046,35000,206500,0,6,6672,28,1138910,11,1,0,454,50355650,110,82,77,24725
Croatia,CRO,15000,0,650,0,2062397,5835,0,0,2100000000,0,48100000000,78,1586783,18820000000,0,0,40,1656000,354,1,34,73000,14000,71000000,2000,15,6,105000000000,2722,54171,20000,26958,105,24,2237,0,56594,0,0,72,78,4208973,231,26,0,785
Cuba,CUB,50000,0,1570,4,5957465,3735,0,0,2989900000,0,30060000000,80,4765972,11350000000,2,0,14,4691000,59,5,19,175000,50000,124000000,1146000,7,8,135000000000,8367,143420,40000,60000,20,100,29,0,110860,1,0,1230,80,11032343,150,26,2,240
Czechia,CZC,26000,0,692,15,5030220,0,0,16,3262900000,0,191871000000,92,4077689,148000000000,0,0,44,5222000,0,0,0,213700,2000,15000000,0,0,3,410000000000,9408,96323,0,55744,0,86,2046,0,78867,0,0,116,92,10702596,0,10,10,664
Democratic Republic of the Congo,DRC,100000,0,201,8,35715180,37,0,4,299220000,0,4605000000,46,28572144,457500000,0,0,32,20692000,22,0,16,21000,17000,180000000,10000,16,11,95000000000,4007,2310982,0,152373,55,16,10481,0,2344858,0,0,212,46,105044646,125,0,8,15000
Denmark,DEN,16000,0,997,0,2593662,7314,0,4,3993096624,0,504808000000,115,2098509,75250000000,9,0,34,2736000,717,0,74,158500,115000,439000000,0,15,8,326200000000,3476,76631,45500,74558,0,15,140,3,43094,0,0,44,115,5894687,0,37,4,400
Dominican Republic,DOM,60000,0,35,0,4874780,1288,0,8,630720000,0,23094000000,65,3952811,6873000000,0,0,33,4732000,38,0,34,134000,0,0,30000,14,5,185000000000,496,95376,0,19705,0,0,376,1,48320,0,0,10,65,10597348,15,11,12,350
Ecuador,ECU,40000,0,698,0,7862853,2237,6,0,2272630000,0,50667000000,113,6290283,2395000000,2,0,41,8086000,145,0,30,265000,515000,8273000000,500,5,5,185000000000,965,307677,120000,43216,43,15,2237,9,283560,2,0,252,113,17093159,200,33,21,1500
Egypt,EGY,450000,0,10000,91,43639269,2450,7,93,4357200000,0,109238000000,1062,36614411,35890000000,13,2,313,24113000,421,23,245,878000,640000,4400000000,300000,48,11,1223040000000,5085,1596559,480000,65050,1235,1165,2612,11,1001450,8,0,4394,1062,106437241,2200,341,59,3500
El Salvador,ESL,21000,0,125,0,3133505,307,0,13,295680000,0,17240000000,47,2474163,3567000000,0,0,29,2908000,2,0,4,52000,0,0,15000,3,2,52000000000,15,143619,10000,9012,0,0,590,0,21041,0,0,0,47,6528135,70,2,3,0
Eritrea,ERI,175000,0,200,6,2151589,2234,0,0,105315000,0,792700000,33,1549144,225000000,0,0,13,2710000,9,0,20,4000,0,0,0,18,2,10000000000,306,73769,200000,16000,34,20,1840,0,117600,0,0,300,33,6147398,30,7,5,0
Estonia,EST,6500,0,180,0,597821,3794,0,0,713690000,0,23944000000,6,466056,345000000,0,0,0,648000,68,4,6,28300,0,0,16000,2,6,45000000000,2146,13420,12000,58412,0,18,657,0,45228,0,0,0,6,1220042,66,4,2,335
Ethiopia,ETH,150000,0,110,7,53218095,0,0,0,538000000,0,27270000000,90,33039567,3013000000,0,0,32,52820000,11,0,0,74000,0,428000,0,0,2,264050000000,659,2550034,0,120171,183,67,5925,0,1104300,0,0,340,90,110871031,470,26,9,0
Finland,FIN,23000,0,2090,0,2290851,1250,0,0,2669733900,0,631549000000,192,1899730,10510000000,0,0,20,2520000,272,18,246,217100,0,0,14000,8,6,260000000000,5926,55874,280000,454000,63,115,2563,1,338145,0,0,200,192,5587442,662,105,11,7842
France,FRA,205000,1,6558,69,29957055,4853,0,0,40900000000,10,6356459000000,1055,23693308,156400000000,11,3,435,27742000,548,17,180,1705000,16000,65970000,175000,15,17,2832170000000,29640,748926,35000,1053215,13,109,4072,46,643801,10,18,406,1055,68084217,105,165,125,8501
Gabon,GAB,6500,0,150,0,868267,885,0,0,280620000,0,6490000000,23,495826,981600000,0,0,15,557800,62,0,10,24000,195000,2000000000,2000,3,5,32000000000,649,43413,0,14300,0,0,3261,0,267667,0,0,0,23,2284912,10,0,2,1600
Georgia,GEO,25000,0,554,9,2762857,310,0,10,286020000,0,18149000000,66,2239888,3039000000,0,0,38,686000,25,0,44,27000,400,35000000,5400,31,2,52330000000,1363,74005,0,20295,67,74,1814,0,69700,0,0,143,66,4933674,186,12,2,4349
Germany,GER,184000,0,9217,55,36755601,2389,5,75,50300000000,0,5671463000000,617,29404481,200100000000,12,0,287,44585000,599,12,80,2460000,40000,129600000,0,0,13,4238800000000,33590,799035,15000,625000,38,121,3694,41,357022,6,0,266,617,79903481,0,37,43,7467
Ghana,GHA,14000,0,343,0,13920342,539,0,0,289400000,0,20467000000,20,9323392,7555000000,0,0,11,12490000,51,0,20,90000,175000,660000000,0,23,2,164840000000,947,582712,0,109515,6,0,2420,2,238533,0,0,0,20,32372889,30,5,2,1293
Greece,GRE,130000,0,6134,29,4967760,13676,0,0,6600000000,0,484888000000,633,4027057,7807000000,13,0,270,4000000,1236,8,120,304100,4100,10000000,35000,35,7,295000000000,2548,105697,220500,117000,147,590,1110,14,131957,11,0,1243,633,10569703,669,144,17,6
Guatemala,GUA,21500,0,140,0,7143357,400,0,4,388000000,0,22920000000,33,5993450,11770000000,0,0,17,6664000,9,0,25,89000,9500,83070000,30000,20,2,142000000000,800,365879,65000,17621,0,0,1667,0,108889,0,0,0,33,17422821,88,4,8,990
Honduras,HON,16000,0,92,0,4112362,832,0,9,405110000,0,9137000000,44,3084271,4708000000,0,0,10,3735000,505,0,55,59000,0,0,23000,60,4,50000000000,699,186926,60000,14742,0,0,1575,1,112090,0,0,19,44,9346277,86,10,11,465
Hungary,HUN,23000,0,510,8,4572318,0,0,0,3263999300,0,123256000000,55,3745410,28000000000,0,0,33,4414000,1,0,0,167700,16000,24000000,12000,0,5,300320000000,8049,116740,20000,203601,0,0,2106,0,103000,0,0,176,55,9728337,12,8,2,1622
India,IND,1450000,1,12000,37,629485342,7000,22,130,49600000000,10,555388000000,2182,496891621,409800000000,13,0,805,521900000,1801,0,295,4521000,710000,4495000000,2527000,128,13,8443360000000,68525,22768619,1155000,4699024,1338,100,13888,71,3287263,17,6,4614,2182,1339330514,3311,353,253,14500
Indonesia,INO,400000,0,1444,15,134809844,54716,24,23,9300000000,0,393252000000,445,111974707,130200000000,7,0,172,129366000,10427,11,296,1601000,775000,3310000000,280000,181,16,3130470000000,8159,4677076,400000,496607,63,153,2958,17,1904569,4,1,314,445,275122131,413,126,66,21579
Iran,IRN,575000,0,7600,12,48097790,2440,3,23,5000000000,0,7995000000,543,40367788,120600000000,7,0,126,30500000,893,1,142,1804000,4250000,157200000000,90000,66,4,1044310000000,8484,1374223,350000,223485,2485,1030,5894,9,1648195,19,7,2831,543,85888910,2108,96,85,850
Iraq,IRQ,200000,0,5050,40,16653061,58,2,33,6855200000,0,73020000000,361,13481049,48880000000,0,0,164,8900000,68,0,63,826000,4615000,148800000000,130000,26,3,372270000000,2272,674052,0,59623,232,171,3809,21,438317,0,0,826,361,39650145,1176,112,16,5279
Ireland,IRE,8700,0,122,0,2403447,1448,0,0,1100000000,0,2829303000000,23,1995906,4412000000,0,0,8,2289000,96,0,9,153700,0,0,0,5,7,447970000000,4301,57474,4000,99830,0,0,443,3,70273,0,0,0,23,5224884,0,8,4,956
Israel,ISR,173000,0,8044,48,3690559,273,7,27,17800000000,0,132500000000,597,3066679,113000000000,0,0,127,3893000,41,0,67,242200,400,12730000,8000,45,5,355000000000,1384,123019,465000,19555,48,650,1068,23,20770,5,11,1900,597,8787045,300,153,15,0
Italy,ITA,170000,2,6908,59,28075664,7600,0,95,29198401050,4,2463208000000,862,22710092,151200000000,13,0,396,22920000,1296,10,184,1236000,90000,487800000,107000,21,14,2322140000000,20182,561513,20000,487700,21,54,1836,27,301340,8,10,200,862,62390364,108,188,39,2400
Ivory Coast,IVC,25000,0,85,1,11516267,515,0,0,651000000,0,13070000000,5,7359175,6257000000,0,0,1,8747000,25,0,10,51000,55000,100000000,7000,6,3,135000000000,660,533681,0,81996,6,0,3458,0,322463,0,0,10,5,28088455,4,0,4,980
Japan,JPN,240000,0,5500,119,53615536,29751,6,23,47482740000,36,4254271000000,1449,43391178,1264000000000,4,4,554,66540000,5201,22,155,3894000,3200,44120000,14000,6,44,5225850000000,27311,1122186,55000,1218772,99,214,0,164,377915,21,7,1004,1449,124687293,480,425,59,1770
Jordan,JOR,90000,0,3693,44,3381966,26,0,4,2053900000,0,32088000000,255,2912854,15560000000,0,0,133,731000,35,0,27,139000,25,1000000,15000,27,1,100160000000,509,141824,65000,7203,88,461,1744,5,89342,0,0,1401,255,10909567,84,56,13,540
Kazakhstan,KAZ,45000,0,1215,25,8660607,26,0,39,3900000000,0,159351000000,237,6582061,30750000000,0,0,75,8685000,119,2,15,274000,1855000,30000000000,32000,15,5,475180000000,1614,269411,0,95409,407,246,13364,0,2724900,0,0,310,237,19245793,450,25,17,0
Kenya,KEN,24000,0,959,2,20233469,536,0,0,1186080000,0,29289000000,151,13179097,7354000000,0,0,87,19600000,26,0,23,109000,0,0,5000,7,2,225940000000,3819,874961,0,177800,5,30,3457,2,580367,0,0,109,151,54685051,50,23,22,0
Kosovo,KOS,3500,0,152,0,897960,0,0,0,112479000,0,2388000000,0,727657,695000000,0,0,0,500000,0,0,0,14000,0,0,0,0,0,20000000000,333,17417,3000,2012,0,0,714,0,10887,0,0,0,0,1935259,0,0,0,0
Kuwait,KUW,17000,0,909,16,1667636,499,0,0,8172000000,0,47240000000,99,1400814,33700000000,0,0,54,2695000,165,0,123,446000,2805000,101500000000,7000,106,5,210000000000,0,36385,24000,5749,27,74,475,0,17818,0,3,367,99,3032065,0,13,2,0
Kyrgyzstan,KYR,12000,0,685,2,3069582,0,0,0,116040000,0,8372000000,6,2425572,2177000000,0,0,6,2841000,0,0,0,37000,1000,40000000,10000,0,2,30000000000,424,114357,0,34000,21,30,4573,0,199951,0,0,215,6,6018789,276,0,0,600
Laos,LAO,25000,0,200,0,3332717,0,0,0,38280000,0,14900000000,32,2401071,1270000000,0,0,27,3582000,1,0,39,18000,0,0,50000,35,0,55000000000,0,151487,0,39568,64,34,5274,0,236800,0,0,130,32,7574356,87,4,1,4600
Latvia,LAT,6500,0,297,0,838209,498,0,0,853758013,0,40164000000,4,670567,4614000000,0,0,4,885000,70,6,18,44600,0,0,8200,11,2,55755000000,1860,16764,15000,70244,0,63,1370,0,64589,0,0,0,4,1862687,0,0,0,300
Lebanon,LEB,80000,0,1959,0,2051935,225,0,9,1001400000,0,33077000000,76,1741514,55420000000,0,0,58,2166000,48,0,86,154000,0,0,20000,22,2,80000000000,401,68398,0,21705,30,84,484,0,10400,0,0,361,76,5261372,374,9,0,170
Liberia,LIB,2000,0,50,0,2294173,579,0,0,11800000,0,826000000,0,1835339,459800000,0,0,0,1677000,3492,0,6,8000,0,0,0,0,2,6500000000,429,62568,0,10600,0,0,1667,0,111369,0,0,0,0,5214030,0,0,0,0
Libya,LBY,30000,0,2275,7,3648956,1770,1,2,3475000000,0,3020000000,127,3136699,74710000000,1,0,32,1114000,94,2,7,260000,1040000,48360000000,0,1,5,68650000000,2000,119293,0,37000,450,183,4339,0,1759540,0,0,100,127,7017224,125,65,8,0
Lithuania,LIT,16000,0,572,0,1762518,90,0,0,1145745000,0,37859000000,10,1374764,4450000000,0,0,5,1333000,64,4,11,58000,2000,12000000,11000,4,3,100000000000,1768,37962,15000,84166,0,21,1545,0,65300,0,0,0,10,2711566,54,0,5,441
Madagascar,MAD,13000,0,109,0,10463055,4828,0,0,109760000,0,3085000000,5,7434276,1600000000,0,0,5,13400000,27,0,8,18000,0,0,10000,9,4,40000000000,836,523153,0,31640,0,0,0,0,587040,0,0,12,5,27534354,17,0,0,600
Malaysia,MLY,115000,0,1708,0,15754121,4675,6,12,3792819200,0,224596000000,144,13072568,102400000000,3,0,41,15139000,1769,4,82,704000,645000,3600000000,100000,29,9,855600000000,1851,536310,52000,144403,54,0,2742,4,329847,2,4,48,144,33519406,196,39,18,7200
Mali,MAL,18000,0,264,7,6242633,0,0,0,591260000,0,4192000000,29,3926818,647800000,0,0,9,6447000,0,0,0,22000,0,0,2000,0,1,44000000000,593,322200,0,139107,32,0,7908,1,1240192,0,0,80,29,20137527,50,4,6,0
