Country,Authority,Date,Fine [€],Controller/Processor,Quoted Art.,Type,Infos
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-11-25,"11,000",Courier Services Company,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-11-22,"2,000",BNP Paribas Personal Finance S.A.,"Art. 12 GDPR, Art. 17 GDPR",Insufficient fulfilment of data subjects rights,link
SPAIN,Spanish Data Protection Authority (aepd),2019-11-21,"60,000",Viaqua Xestión Integral Augas de Galicia,Art. 6 GDPR,Insufficient legal basis for data processing,link
FRANCE,French Data Protection Authority (CNIL),2019-11-21,"500,000",Futura Internationale,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,link
SPAIN,Spanish Data Protection Authority (aepd),2019-11-19,"60,000",Corporación radiotelevisión espanola,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
SPAIN,Spanish Data Protection Authority (aepd),2019-11-19,"60,000",Xfera Moviles S.A.,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
SPAIN,Spanish Data Protection Authority (aepd),2019-11-14,"30,000",Telefónica SA,Art. 5 GDPR,Non-compliance with general data processing principles,link
SPAIN,Spanish Data Protection Authority (aepd),2019-11-13,"3,000",General Confederation of Labour ('CGT'),Art. 6 GDPR,Insufficient legal basis for data processing,link
SPAIN,Spanish Data Protection Authority (aepd),2019-11-07,900,TODOTECNICOS24H S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
SPAIN,Spanish Data Protection Authority (aepd),2019-11-06,"1,500",Cerrajero Online,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
LATVIA,Data State Inspectorate (DSI),2019-11,"150,000",Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link
SPAIN,Spanish Data Protection Authority (aepd),2019-10-31,"6,000",Jocker Premium Invex,Art. 6 GDPR,Insufficient legal basis for data processing,link
THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),2019-10-31,"900,000",UWV (Dutch employee insurance service provider),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link
GERMANY,Data Protection Authority of Berlin,2019-10-30,"14,500,000",Deutsche Wohnen SE,"Art. 5 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,link
GERMANY,Data Protection Authority of Berlin,2019-10-30,Unknown,Deutsche Wohnen SE,Art. 5 GDPR,Non-compliance with general data processing principles,link
SPAIN,Spanish Data Protection Authority (aepd),2019-10-25,"36,000","VODAFONE ESPANA, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
AUSTRIA,Austrian Data Protection Authority (dsb),2019-10-23,"18,000,000",Austrian Post,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link
POLAND,Polish National Personal Data Protection Office (UODO),2019-10-18,"9,380",Major of Aleksandrów Kujawski,Art. 28 GDPR,Insufficient data processing agreement,link
