Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,India Global Rank
2020,1380004385,0.99,13586631,-532687,28.4,2.24,464,35.0,483098640,17.7,7794798739,2
2019,1366417754,1.02,13775474,-532687,27.1,2.36,460,34.5,471828295,17.71,7713468100,2
2018,1352642280,1.04,13965495,-532687,27.1,2.36,455,34.1,460779764,17.73,7631091040,2
2017,1338676785,1.07,14159536,-532687,27.1,2.36,450,33.6,449963381,17.74,7547858925,2
2016,1324517249,1.1,14364846,-532687,27.1,2.36,445,33.2,439391699,17.75,7464022049,2
2015,1310152403,1.2,15174247,-470015,26.8,2.4,441,32.7,429069459,17.75,7379797139,2
2010,1234281170,1.47,17334249,-531169,25.1,2.8,415,30.8,380744554,17.74,6956823603,2
2005,1147609927,1.67,18206876,-377797,23.8,3.14,386,29.1,334479406,17.54,6541907027,2
2000,1056575549,1.85,18530592,-136514,22.7,3.48,355,27.6,291350282,17.2,6143493823,2
1995,963922588,1.99,18128958,-110590,21.8,3.83,324,26.5,255558824,16.78,5744212979,2
1990,873277798,2.17,17783558,9030,21.1,4.27,294,25.5,222296728,16.39,5327231061,2
1985,784360008,2.33,17081433,115942,20.6,4.68,264,24.3,190321782,16.1,4870921740,2
1980,698952844,2.32,15169989,222247,20.2,4.97,235,23.0,160941941,15.68,4458003514,2
1975,623102897,2.33,13582621,421208,19.7,5.41,210,21.3,132533810,15.27,4079480606,2
1970,555189792,2.15,11213294,-68569,19.3,5.72,187,19.7,109388950,15.0,3700437046,2
1965,499123324,2.07,9715129,-17078,19.6,5.89,168,18.7,93493844,14.95,3339583597,2
1960,450547679,1.91,8133417,-30805,20.2,5.9,152,17.9,80565723,14.85,3034949748,2
1955,409880595,1.72,6711079,-21140,20.7,5.9,138,17.6,71958495,14.78,2773019936,2
