SENADOR MIN,ELEI��ES 2018,STATUS DE MANDATO,SENADOR
Fernando Collor,governador,Meio de Mandato,FERNANDO COLLOR
F�tima Bezerra,governador,Meio de Mandato,F�TIMA BEZERRA
Gladson Cameli,governador,Meio de Mandato,GLADSON CAMELI
Jos� Maranh�o,governador,Meio de Mandato,JOS� MARANH�O
Jos� Serra,nenhum,Meio de Mandato,JOS� SERRA
K�tia Abreu,vice presidente,Meio de Mandato,K�TIA ABREU
Lasier Martins,nenhum,Meio de Mandato,LASIER MARTINS
Maria do Carmo Alves,nenhum,Meio de Mandato,MARIA DO CARMO ALVES
Omar Aziz,governador,Meio de Mandato,OMAR AZIZ
Otto Alencar,nenhum,Meio de Mandato,OTTO ALENCAR
Paulo Rocha,governo,Meio de Mandato,PAULO ROCHA
Reguffe,nenhum,Meio de Mandato,REGUFFE
Roberto Rocha,governador,Meio de Mandato,ROBERTO ROCHA
Rom�rio,governador,Meio de Mandato,ROM�RIO
Ronaldo Caiado,governador,Meio de Mandato,RONALDO CAIADO
Rose de Freitas,governador,Meio de Mandato,ROSE DE FREITAS
Simone Tebet,nenhum,Meio de Mandato,SIMONE TEBET
Tasso Jereissati,nenhum,Meio de Mandato,TASSO JEREISSATI
Telm�rio Mota,governador,Meio de Mandato,TELM�RIO MOTA
Wellington Fagundes,governador,Meio de Mandato,WELLINGTON FAGUNDES
"ALFREDO NASCIMENTO                ",,Fora do Senado,"ALFREDO NASCIMENTO                "
"ALOYSIO NUNES FERREIRA            ",,Fora do Senado,"ALOYSIO NUNES FERREIRA            "
"ANA RITA                           ",,Fora do Senado,"ANA RITA                           "
"ANT�NIO CARLOS VALADARES          ",,Fora do Senado,"ANT�NIO CARLOS VALADARES          "
"AN�BAL DINIZ                       ",,Fora do Senado,"AN�BAL DINIZ                       "
"BLAIRO MAGGI                      ",,Fora do Senado,"BLAIRO MAGGI                      "
"CASILDO MALDANER                   ",,Fora do Senado,"CASILDO MALDANER                   "
"CYRO MIRANDA                        ",,Fora do Senado,"CYRO MIRANDA                        "
"C�SSIO CUNHA LIMA                ",,Fora do Senado,"C�SSIO CUNHA LIMA                "
"C�CERO LUCENA                     ",,Fora do Senado,"C�CERO LUCENA                     "
"DECA                              ",,Fora do Senado,"DECA                              "
"DELCIDIO DO AMARAL                ",,Fora do Senado,"DELCIDIO DO AMARAL                "
"DONIZETI NOGUEIRA                 ",,Fora do Senado,"DONIZETI NOGUEIRA                 "
"DOUGLAS CINTRA                    ",,Fora do Senado,"DOUGLAS CINTRA                    "
"EDUARDO SUPLICY                     ",,Fora do Senado,"EDUARDO SUPLICY                     "
"ELBER BATALHA                      ",,Fora do Senado,"ELBER BATALHA                      "
"EPIT�CIO CAFETEIRA                  ",,Fora do Senado,"EPIT�CIO CAFETEIRA                  "
"FERNANDO RIBEIRO                   ",,Fora do Senado,"FERNANDO RIBEIRO                   "
"GILBERTO PISELO                     ",,Fora do Senado,"GILBERTO PISELO                     "
"GIVAGO TEN�RIO                     ",,Fora do Senado,"GIVAGO TEN�RIO                     "
"IN�CIO ARRUDA                      ",,Fora do Senado,"IN�CIO ARRUDA                      "
"IVONETE DANTAS                     ",,Fora do Senado,"IVONETE DANTAS                     "
"JARBAS VASCONCELOS                 ",,Fora do Senado,"JARBAS VASCONCELOS                 "
"JAYME CAMPOS                        ",,Fora do Senado,"JAYME CAMPOS                        "
"JOS� AMAURI                        ",,Fora do Senado,"JOS� AMAURI                        "
"JOS� AN�BAL                       ",,Fora do Senado,"JOS� AN�BAL                       "
"JO�O DURVAL                        ",,Fora do Senado,"JO�O DURVAL                        "
"JO�O VICENTE CLAUDINO              ",,Fora do Senado,"JO�O VICENTE CLAUDINO              "
"LUIZ HENRIQUE                     ",,Fora do Senado,"LUIZ HENRIQUE                     "
"MARCELO CRIVELLA                 ",,Fora do Senado,"MARCELO CRIVELLA                 "
"MARCO ANT�NIO COSTA                 ",,Fora do Senado,"MARCO ANT�NIO COSTA                 "
"M�RIO COUTO                         ",,Fora do Senado,"M�RIO COUTO                         "
"PASTOR BEL                        ",,Fora do Senado,"PASTOR BEL                        "
"PASTOR VALADARES                   ",,Fora do Senado,"PASTOR VALADARES                   "
"PEDRO CHAVES DOS SANTOS FILHO     ",,Fora do Senado,"PEDRO CHAVES DOS SANTOS FILHO     "
"PEDRO SIMON                        ",,Fora do Senado,"PEDRO SIMON                        "
"PINTO ITAMARATY                   ",,Fora do Senado,"PINTO ITAMARATY                   "
"REDITARIO CASSOL                   ",,Fora do Senado,"REDITARIO CASSOL                   "
"RICARDO FRANCO                     ",,Fora do Senado,"RICARDO FRANCO                     "
"RODRIGUES PALMA                    ",,Fora do Senado,"RODRIGUES PALMA                    "
"RUBEN FIGUEIR�                     ",,Fora do Senado,"RUBEN FIGUEIR�                     "
"RUDSON LEITE                      ",,Fora do Senado,"RUDSON LEITE                      "
"SANDRA BRAGA                      ",,Fora do Senado,"SANDRA BRAGA                      "
"SODR� SANTORO                     ",,Fora do Senado,"SODR� SANTORO                     "
"S�RGIO DE CASTRO                  ",,Fora do Senado,"S�RGIO DE CASTRO                  "
"THIERES PINTO                     ",,Fora do Senado,"THIERES PINTO                     "
"VIRGINIO DE CARVALHO              ",,Fora do Senado,"VIRGINIO DE CARVALHO              "
"WALTER PINHEIRO                   ",,Fora do Senado,"WALTER PINHEIRO                   "
"WIRLANDE DA LUZ                   ",,Fora do Senado,"WIRLANDE DA LUZ                   "
"ZEZ� PERRELLA ",,Fora do Senado,"ZEZ� PERRELLA "
