City ,Title,Text,"Murder Happened with reason:
1:Property/Land Disputes,
2:Family Dispute
3:Petty Quarrels,
4:Money Disputes, 
5:Personal Vendetta, 
6:Love Affairs, 
7:Casteism
8: Unknown/other",Number of child victims,Number of male victims(adult),Number of female victims(adult),"Kidnnaping:
Number of child victims",Number of male(adult) ,Number of female(adult),"Crime Against Women ( Combined ):
1. Murder with Rape 
2. Dowry Deaths(Sec. 3048)
3. Suicide(sec 305/306)
4. Kidnapping(All)
5. Acid Attack(Sec. 326A IPC)
6. Cruelty by Husband/in-laws((Sec.498 A IPC)
7. Rape only(Sec. 376 or 511 IPC)
8. Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC)
9. Cyber Crimes against Women
10. Protection of Children from Sexual Offences Act",Number of adult victims,Number of childs invoved
Ghaziabad,"Minor molests mute girl, sent to observation home","GHAZIABAD: A 12-year-old boy was sent to an observation home on Monday for molesting and sexually assaulting a seven-year-old mute girl in Muradnagar on Sunday evening. Police said the families of the girl and the minor accused are neighbours. Around 4.30pm on Sunday, when the girl was playing outside her house, the boy took her to a secluded area near a religious place and started molesting her. The girl resisted and a few children playing nearby spotted them. They immediately informed her family members. The family of the accused initially tried to hush the matter and offered a compromise to the girl’s father, which he refused, police said. The girl’s father subsequently filed a complaint against the boy at Muradnagar police station. SHO of Muradnagar police station Umesh Bahadur Singh said the minor has been booked under IPC Section 354 (molestation) and also under sections 7 and 8 (sexual assault) of the Protection of Children from Sexual Offences (POCSO) Act. On Monday, the minor accused was produced before a juvenile justice board that sent him to an observation home. Last month, an 11-year-old boy was also arrested for allegedly raping a five-year-old girl in Murdanagar on November 9. Both of them lived in houses opposite each other in a village of Muradnagar. Their parents work as labourers. Prior to that, an 11-year-old boy was detained for allegedly raping a nine-year-old girl in Muradnagar in August. According to the girl’s father, the crime had taken place on August 15 when his daughter had gone to attend the Independence Day function at her school. ",,,,,,,,"8,10",,3
Ghaziabad,Family out to buy car robbed of Rs 1 lakh by bike-borne men,"GHAZIABAD: A family that had visited an automobile showroom to buy a car on Sunday was robbed of Rs 1 lakh by bike-borne assailants. The robbers attacked soon after the family had taken a test drive in the car they wanted to purchase. The robbery took place near Shyam Motors in Shalimar Garden of Ghaziabad around 5.30pm. Rakesh Kumar (53) had visited the showroom along with five family members to buy a second-hand Santro car. Kumar’s son, Suraj (27), who works in a consultancy firm in Kaushambi, told TOI he had selected the car for purchase during an earlier visit on Sunday. “I arrived at the showroom in the evening along with my father, mother Pushpa, uncle Sanjay and younger sister to take a test drive of the car and buy it. My father waited at the showroom while my uncle took all of us on a test drive. He drove the car with an attendant from the showroom in the navigator’s seat. After a few minutes, the attendant asked us to wait near a tree while the formalities for purchase were being completed. Just then, two men riding a yellow Apache motorcycle came and snatched the cash bag from my mother’s hand. She tried to drag back the bikers but failed,” he added. Eyewitnesses have told police that the man riding pillion on the motorbike had covered himself with a shawl and was carrying a gun. An FIR in the matter was registered late Sunday night in Sahibabad police station. “A case has been registered against unknown persons. We are examining footages from the CCTV cameras installed in the area to investigate the case,” said Jeetendra Singh, SHO of Sahibabad police station. ",,,,,,,,,,
Ghaziabad,"This gang posed as cops to extort youths, couples","GHAZIABAD: Five persons were arrested on Monday for allegedly extorting money from people in Delhi-NCR and other cities posing as Delhi Police officers. The accused have been identified as Manoj Rawal, the gang leader and resident of Gautam Budh Nagar, Sunil Kumar, a resident of Sultanpuri in Delhi, Dilshad, a resident of Delhi’s Vijay Vihar, Lalit Khokhar, a resident of Chhaprauli in Baghpat, and Jitendra Tyagi, who is from Kavi Nagar. A police uniform, a Mahindra Xylo and five country-made pistols were recovered from their possession. “The leader of the gang is Manoj Rawal. He was jailed in 2009 for murdering his brother after an argument in a drunken state. The accused were caught from near Old Bus stand when they were planning to rob a car on Meerut road,” SP (city) Shlok Kumar said. An FIR has been registered against the accused under sections 171 (wearing garb used by public servant with fraudulent intent), 399 (making preparations to commit dacoity), 402 (assembling for purpose of committing dacoity) and 420 (cheating) of the IPC and relevant sections of the Arms Act at Sihani Gate police station. Speaking about the gang’s modus operandi, police said one of them used to don the Delhi Police sub-inspector’s uniform while the other would pose as plainclothes officers. They used to park their car by the roadside and conduct ‘checking’ of vehicles in secluded areas during the night. The accused extorted money from people involved in illicit liquor smuggling, as well as from other commuters, threatening to book them for ‘suspicious movement’. Sources said the gang members mostly targeted vehicles driven by youths or in which couples were travelling. “Targeting them was easier as they would generally not report the matter to police. The gang didn’t come under the police radar as most of their victims were themselves involved in some or the other illegal activities,” a police officer said. ",,,,,,,,,,
Ghaziabad,"Residents object to loud music, thrashed in Ghaziabad","Ghaziabad: Four tenants, including two soldiers of the Indo-Tibetan Border Police (ITBP), were arrested on Tuesday morning for allegedly assaulting four members of the Apartment Owners’ Association (AOA) of Brave Hearts Society in Raj Nagar Extension in a drunken state . Around 12.30am, the security guards told the AOA members that loud music was being played in D block of the society. When the AOA members asked the four to lower the volume of the music, they allegedly beat them up. “We politely asked them to wrap up the revelry as other residents were getting disturbed. But they attacked us instead,” AOA president Satpal Yadav said on Tuesday. The accused have been identified as Sumand and Mahendra, both ITBP soldiers, and Sandeep, and Sumit, who are civil engineers. ",,,,,,,,,,
Ghaziabad,Man kills self after being refused money for drinks,"GHAZIABAD: A 25-year-old allegedly committed suicide by hanging from the ceiling fan of his room in Razapur area that falls under the Kavi Nagar police station on Tuesday. According to cops the deceased identified as Anil Singh, had demanded Rs 5,000 from his father to buy liquor to throw a party for his friends, but when his father denied, he committed suicide after a fight. According to his family, around 5pm on Tuesday, Anil came into the house and asked for the money and when refused he started to talk to his father rudely which led to a heated argument between them. His family stated that Anil was a very good student and had completed his graduation from a private institute in Ghaziabad. His father is employed at the Sansad Bhawan in Delhi and they have been living in the Razapur area for over 20 years. “He started drinking about two-three years ago and fell into bad company, people who encouraged his bad habits,” his family said. “Anil had attempted suicide twice before. When his father refused to give any more money for alcohol, he threatened them that he would commit suicide,” cops added. Raj Kumar Sharma, SHO of Kavi Nagar Police Station told TOI that the incident took place around 7pm and family members informed the police, a team reached the spot immediately. “Anil’s family members refused a postmortem and took his body from the hospital,” Sharma added. ",,,,,,,,,,
Ghaziabad,Burglars make off with Rs 2lakh goods,"GHAZIABAD: Burglars broke into a house in Shankar Vihar Colony in Lal Kuan and made off with cash and gold ornaments worth over Rs 2 lakh while the owners were away for New Year celebrations. Rakesh Kumar, the owner, is a project manager with a Ghaziabad-based firm and lives in the colony with his wife. “They had gone to their hometown in Budaun on December 29 to celebrate New Year. Rakesh returned to Ghaziabad on January 1. The main door was locked, but when he entered the house, he found that all the doors and cupboards inside were unlocked. The burglars made off with Rs 75,000 in cash, one gold ring, and a necklace worth Rs 1 lakh,” said Shrinivas Gautam, in-charge of Lal Kuan police chowki. An FIR was registered under IPC sections of theft and burglary at Kavi Nagar police station on Wednesday. “The accused somehow climbed on to the terrace of the house and broke into it. It seems that they knew that the house would be empty. We are looking into the matter,” Gautam said. ",,,,,,,,,,
Ghaziabad,77-year-old man booked for molesting girl in lift dies in jail,"GHAZIABAD: A 77-year-old man, who was in judicial custody since December 25 after he allegedly molested a minor girl inside the lift of a highrise in Indirapuram, died in a government hospital in Ghaziabad on Thursday. The accused, Vasu Bhargava, had been booked on a complaint lodged by the parents of a minor girl, a Class III student.  Bhargava had been lodged at Dasna jail after his arrest. Jail authorities rushed him to MMG Hospital on Thursday afternoon when his health condition deteriorated. He died during treatment at the hospital. “The patient was gasping for breath and had no pulse when he was brought to the hospital. We tried to revive him in the emergency ward but were unsuccessful despite our efforts. The exact cause of death will be ascertained from the post-mortem report,” hospital superintendent Ravinder Rana told TOI .  Bhargava had been living with his family in a third-floor rented apartment in a highrise in Indirapuram for the past seven years. As per the FIR registered at Indirapuram police station, the molestation took place on the afternoon of December 24. Bhargava had entered a lift in which the minor girl and a friend of hers were going to their respective flats after playing in the housing society’s compound. The girl had rushed home and complained to her grandmother about being touched inappropriately inside the lift. Bhargava’s family members told TOI that he had dementia after he met with an accident nearly five years ago. “He used to forget things. When inside a lift, he used to keep on pressing buttons irrespective of the floor to which he intended to go,” his 44-year-old son, Vishal, told TOI. ",,,,,,,,10,,1
Ghaziabad,Stalker threatens B.Tech student over wedding in Ghaziabad,"GHAZIABAD: A third-year BTech student of a college in Masuri has accused a former student of stalking and threatening to kill her if she got married to a youth her family had chosen for her. The 22-year-old woman, an original resident of Shahjahanpur, stays in a rented accommodation in Govindpuram. Her family has lodged a complaint against the youth at Kavi Nagar police station, following which an investigation has been initiated. The woman has alleged in her complaint that the youth had failed the final exams and had left the college in the first itself. She said she thought the harassment would stop after he left the college, but it apparently increased instead. The woman’s father, a businessman, had recently fixed her marriage with a resident of Amroha. After the accused came to know about it, he allegedly started threatening the woman with dire consequences. “The man has been pestering me to terminate all ties with the youth I want to marry and tie the knot with him instead. When I told him to stop following me, he threatened to kill me and my fiance. He claims to be working for the CBI and boasts that his father is a policeman,” the woman mentioned in her complaint. On Thursday, the accused again allegedly called up the woman and issued threats. The student came to Kavi Nagar police station and sought registration of an FIR against the accused. Raj Kumar Sharma, the SHO of Kavi Nagar police station, said an inquiry would be conducted by the Govindpuram police outpost in-charge. “Further action would be taken on the basis of the probe report,” he said. ",,,,,,,,9,1,
Ghaziabad,Delivery boy robbed of goods worth Rs 2.5 lakh,"GHAZIABAD: A man was booked on Thursday for allegedly robbing a bag containing goods worth Rs 2.5 lakh on December 28. A delivery boy with an e-commerce company, Ankur Kumar (28), had filed a complaint on the day of the robbery, however, the FIR was registered at Indirapuram police station only a week later. Kumar has been working for Elasticrum Pvt Ltd, a courier company for more than two years. He told police that around 1.45pm on December 28, he went to Princess Park, a high rise society in Ahinsa Khand 2 in Indirapuram, to deliver an order and parked his motorcycle outside the society’s gate, but 10 minutes later when he returned, he found his bag missing from the motorbike which had all the goods to be delivered. “More than 10 mobiles phones and some other goods were present in the bag that people had ordered online,” said Kumar adding that he is worried the courier company will ask him to compensate for the stolen goods. Police scanned the footage from the CCTV camera installed at the society’s gate and found a person stealing the bag. “The accused had a sharp tool through which he cut the bag from the motorbike and immediately fled,” Kumar added. Nazeer Ali Khan, SHO, Indirapuram police station said, “Police have lodged an FIR against the unknown person under IPC Section 379 (Punishment for theft) and soon the culprit will be behind the bars."" ",,,,,,,,,,
Ghaziabad,"Man books flat for Rs 9 lakh, house sold to another","GHAZIABAD: A 40-year-old man in Indirapuram has alleged that a property dealer had cheated him of Rs 9 lakh on the pretext of selling a flat. Inderjeet Budhiraja (40), who runs a spare parts shop in Delhi, said that on July 22 last year, he had booked a first-floor 3BHK flat in Gyan Khand 4 of Indirapuram for Rs 9 lakh. Inderjeet said the flat had been sold to him by Puneet Singh, who apparently also works with private company in Gurgaon. Inderjeet’s son Tushar Budhiraja (23) said even though three months had passed since they had booked the flat, the registry was put off for later with one pretext or another. In October, Inderjeet was allegedly asked to wait for one more month for the registry. “In October, I called him up again for the registry and he promised that it would be done soon. After a few days, when I tried to contact him in the middle of November, he rejected my calls. After some time, he blocked my number,” Tushar said. Tushar said he and his family tried to trace Singh in Gurgaon, but failed. “A few days ago, I came to know that the flat had been sold to someone else and the registry was done for him,” he added. “I lodged a police complaint against him immediately and came to know that he has been untraceable. A copy of the written complaint was submitted to the SSP’s office and another was given to the police station in Indirapuram,” Tushar said. “Now Puneet has shifted his location. No one seems to know where he stays now,” he added. Nazeer Ali Khan, the SHO of Indirapuram police station, said investigation was on and an FIR would be lodged soon. ",,,,,,,,,,
