"**Includes all FBS teams with stats compiled from espn.com excluding Indiana University (2010-2020), Charlotte (2010-2014), Old Dominion (2019, 2012-10), UAB (2014-2015), UTSA (2010-2011), Appalachian (2010-2013), Coastal Carolina (2010-2016), Georgia Southern (2010-2013), Georgia State (2010-2012), South Alabama (2010-2011), Texas State (2010-2011), Liberty (2010-2017), New Mexico State (2020), UConn (2020), and UMass (2010-2011) since espn.com didn't have available stats for them during the time of this compilation.",,,,,,,,,,,,,,,,,,
UniversityName,Year,TeamID,CMP,ATT,YDS,CMPPercent,YPA,LNG,TD,INT,SACK,SYL,RTG,R_ATT,R_AVG,TOTAL_PLAYS,RUN_PERCENT,PASS_PERCENT
AirForce,2010,AirForce2010,88,168,"1,551",52.40,9.2,63,12,6,5,-25,146.4,748,5.3,916,81.66%,18.34%
AirForce,2011,AirForce2011,123,204,"1,821",60.30,8.9,55,16,8,10,-64,153.3,723,5.7,927,77.99%,22.01%
AirForce,2012,AirForce2012,83,151,"1,334",55.00,8.8,58,9,8,9,-46,138.2,804,5.1,955,84.19%,15.81%
AirForce,2013,AirForce2013,93,174,"1,259",53.40,7.2,71,8,4,9,-79,124.8,637,4.9,811,78.55%,21.45%
AirForce,2014,AirForce2014,117,206,"1,893",56.80,9.2,74,15,4,12,-80,154.1,796,4.5,1002,79.44%,20.56%
AirForce,2015,AirForce2015,87,170,"1,847",51.20,10.9,75,15,12,3,-9,157.4,816,5.5,986,82.76%,17.24%
AirForce,2016,AirForce2016,68,150,"1,752",45.30,11.7,75,14,8,17,-104,163.6,827,5,977,84.65%,15.35%
AirForce,2017,AirForce2017,69,142,"1,321",48.60,9.3,64,10,6,23,-155,141.5,766,4.8,908,84.36%,15.64%
AirForce,2018,AirForce2018,93,168,"1,576",55.40,9.4,69,10,5,7,-49,147.8,713,4.8,881,80.93%,19.07%
AirForce,2019,AirForce2019,68,126,"1,602",54.00,12.7,81,14,6,4,-22,187.9,755,5.1,881,85.70%,14.30%
AirForce,2020,AirForce2020,34,61,502,55.70,8,49,3,3,2,-19,129.3,312,5,373,83.65%,16.35%
Akron,2010,Akron2010,174,349,"1,861",49.90,5.3,56,12,14,33,-208,98,393,3.5,742,52.96%,47.04%
Akron,2011,Akron2011,171,376,"1,960",45.50,5.2,64,12,11,38,-222,93.9,413,3.3,789,52.34%,47.66%
Akron,2012,Akron2012,364,583,"3,753",62.40,6.4,56,30,18,24,-191,127.3,365,3.8,948,38.50%,61.50%
Akron,2013,Akron2013,234,419,"2,633",55.80,6.3,77,18,10,27,-185,118,418,3.5,837,49.94%,50.06%
Akron,2014,Akron2014,284,527,"2,995",53.90,5.7,57,14,14,24,-152,105.1,363,4.1,890,40.79%,59.21%
Akron,2015,Akron2015,184,370,"2,508",49.70,6.8,72,18,12,16,-126,116.2,535,4,905,59.12%,40.88%
Akron,2016,Akron2016,217,396,"3,063",54.80,7.7,91,25,14,26,-152,133.5,380,4.2,776,48.97%,51.03%
Akron,2017,Akron2017,242,447,"2,949",54.10,6.6,71,24,11,38,-243,122.3,459,3.2,906,50.66%,49.34%
Akron,2018,Akron2018,187,374,"2,390",50.00,6.4,56,16,14,34,-217,110.3,390,2.9,764,51.05%,48.95%
Akron,2019,Akron2019,204,398,"2,344",51.30,5.9,87,12,14,58,-328,103.6,327,1.7,725,45.10%,54.90%
Akron,2020,Akron2020,83,148,838,56.10,5,42,4,6,26,-162,98.9,212,4,360,58.89%,41.11%
Alabama,2010,Alabama2010,253,362,"3,395",69.90,9.4,85,24,5,32,-167,167.8,467,5.1,829,56.33%,43.67%
Alabama,2011,Alabama2011,237,357,"2,797",66.40,7.8,69,16,8,17,-97,142.5,508,5.5,865,58.73%,41.27%
Alabama,2012,Alabama2012,219,328,"3,052",66.80,9.3,85,31,3,23,-184,174.3,570,5.6,898,63.47%,36.53%
Alabama,2013,Alabama2013,244,365,"3,230",66.80,8.8,99,30,7,17,-118,164.5,461,5.8,826,55.81%,44.19%
Alabama,2014,Alabama2014,290,451,"3,890",64.30,8.6,87,32,10,16,-108,155.7,567,5.1,1018,55.70%,44.30%
Alabama,2015,Alabama2015,301,446,"3,407",67.50,7.6,81,22,10,26,-191,143.5,642,4.7,1088,59.01%,40.99%
Alabama,2016,Alabama2016,265,417,"3,154",63.50,7.6,71,26,9,24,-143,143.3,639,5.8,1056,60.51%,39.49%
Alabama,2017,Alabama2017,204,332,"2,708",61.40,8.2,78,28,3,27,-154,156,612,5.7,944,64.83%,35.17%
Alabama,2018,Alabama2018,301,438,"4,854",68.70,11.1,94,52,8,16,-123,197.3,571,5.2,1009,56.59%,43.41%
Alabama,2019,Alabama2019,287,406,"4,449",70.70,11,85,49,6,12,-81,199.6,436,5,842,51.78%,48.22%
Alabama,2020,Alabama2020,324,425,"4,656",76.20,10,90,42,4,19,-116,191,477,5,902,52.88%,47.12%
AppalachianState,2014,AppalachianState2014,205,340,"2,637",60.30,7.8,63,21,11,11,-46,139.4,537,5.4,877,61.23%,38.77%
AppalachianState,2015,AppalachianState2015,180,297,"2,546",60.60,8.6,58,33,9,11,-71,163.2,605,5.8,902,67.07%,32.93%
AppalachianState,2016,AppalachianState2016,203,334,"2,327",60.80,7,60,16,8,16,-96,130.3,578,5.6,912,63.38%,36.62%
AppalachianState,2017,AppalachianState2017,215,356,"2,811",60.40,7.9,84,28,6,8,-55,149.3,530,5.5,886,59.82%,40.18%
AppalachianState,2018,AppalachianState2018,196,319,"2,478",61.40,7.8,90,27,12,18,-104,147.1,540,5.8,859,62.86%,37.14%
AppalachianState,2019,AppalachianState2019,231,370,"2,824",62.40,7.6,73,30,6,18,-107,150.1,599,5.4,969,61.82%,38.18%
AppalachianState,2020,AppalachianState2020,190,300,"2,245",63.30,7,62,21,11,21,-131,137.9,545,5,845,64.50%,35.50%
Arizona,2010,Arizona2010,357,524,"4,000",68.10,7.6,85,25,12,32,-221,143.4,435,3.9,959,45.36%,54.64%
Arizona,2011,Arizona2011,398,577,"4,449",69.00,7.7,54,29,15,23,-184,145.1,331,3.4,908,36.45%,63.55%
Arizona,2012,Arizona2012,326,538,"3,879",60.60,7.2,63,30,15,18,-96,134,544,5.4,1082,50.28%,49.72%
Arizona,2013,Arizona2013,233,383,"2,516",60.80,6.6,60,16,7,17,-76,126.1,647,5.3,1030,62.82%,37.18%
Arizona,2014,Arizona2014,320,564,"3,945",56.70,7,92,29,10,40,-239,128.9,575,4.4,1139,50.48%,49.52%
Arizona,2015,Arizona2015,273,466,"3,548",58.60,7.6,95,27,10,31,-152,137.4,526,5.5,992,53.02%,46.98%
Arizona,2016,Arizona2016,157,306,"2,137",51.30,7,75,13,12,28,-192,116.1,509,5.5,815,62.45%,37.55%
Arizona,2017,Arizona2017,183,295,"2,343",62.00,7.9,68,19,13,18,-119,141.2,613,6.6,908,67.51%,32.49%
Arizona,2018,Arizona2018,216,389,"3,063",55.50,7.9,75,29,10,20,-137,141.1,492,4.9,881,55.85%,44.15%
Arizona,2019,Arizona2019,261,422,"3,193",61.80,7.6,75,23,12,33,-191,137.7,451,4.6,873,51.66%,48.34%
Arizona,2020,Arizona2020,114,189,"1,065",60.30,5,75,6,7,18,-118,105.4,184,4,373,49.33%,50.67%
ArizonaState,2010,ArizonaState2010,279,464,"3,437",60.10,7.4,78,23,17,31,-180,131.4,413,4,877,47.09%,52.91%
ArizonaState,2011,ArizonaState2011,333,527,"4,117",63.20,7.8,60,27,13,28,-157,140.8,423,4,950,44.53%,55.47%
ArizonaState,2012,ArizonaState2012,275,413,"3,369",66.60,8.2,52,33,12,38,-221,155.7,598,4.5,1011,59.15%,40.85%
ArizonaState,2013,ArizonaState2013,309,494,"3,723",62.60,7.5,74,28,12,41,-229,139.7,608,4.4,1102,55.17%,44.83%
ArizonaState,2014,ArizonaState2014,281,467,"3,556",60.20,7.6,77,34,9,39,-235,144.3,508,4.3,975,52.10%,47.90%
ArizonaState,2015,ArizonaState2015,320,534,"3,887",59.90,7.3,93,30,9,39,-233,136.2,536,4.3,1070,50.09%,49.91%
ArizonaState,2016,ArizonaState2016,257,425,"3,111",60.50,7.3,71,16,14,41,-260,127.8,475,3.3,900,52.78%,47.22%
ArizonaState,2017,ArizonaState2017,264,416,"3,324",63.50,8,70,21,9,41,-240,142.9,565,4,981,57.59%,42.41%
ArizonaState,2018,ArizonaState2018,247,397,"3,025",62.20,7.6,72,20,7,16,-90,139.3,502,4.8,899,55.84%,44.16%
ArizonaState,2019,ArizonaState2019,233,383,"3,235",60.80,8.4,86,21,4,33,-182,147.8,459,3.5,842,54.51%,45.49%
ArizonaState,2020,ArizonaState2020,51,87,777,58.60,8,74,5,1,6,-43,142.5,165,6,252,65.48%,34.52%
Arkansas,2010,Arkansas2010,301,465,"4,338",64.70,9.3,89,36,15,28,-157,162.2,421,4.6,886,47.52%,52.48%
Arkansas,2011,Arkansas2011,299,471,"3,909",63.50,8.3,68,26,7,28,-186,148.4,412,4.3,883,46.66%,53.34%
Arkansas,2012,Arkansas2012,272,459,"3,618",59.30,7.9,80,23,16,19,-142,135,367,3.9,826,44.43%,55.57%
Arkansas,2013,Arkansas2013,150,301,"1,782",49.80,5.9,52,15,11,8,-72,108.7,474,5.3,775,61.16%,38.84%
Arkansas,2014,Arkansas2014,199,359,"2,444",55.40,6.8,54,21,6,14,-104,128.6,557,5.1,916,60.81%,39.19%
Arkansas,2015,Arkansas2015,246,374,"3,486",65.80,9.3,71,31,8,14,-92,167.1,512,5,886,57.79%,42.21%
Arkansas,2016,Arkansas2016,247,406,"3,434",60.80,8.5,73,26,15,35,-264,145.6,517,4.1,923,56.01%,43.99%
Arkansas,2017,Arkansas2017,192,340,"2,465",56.50,7.3,65,18,9,35,-197,129.5,462,4.4,802,57.61%,42.39%
