recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
10,142.44,1,0,Surburban,0,Phone,Buy One Get One,0
6,329.08,1,1,Rural,1,Web,No Offer,0
7,180.65,0,1,Surburban,1,Web,Buy One Get One,0
9,675.83,1,0,Rural,1,Web,Discount,0
2,45.34,1,0,Urban,0,Web,Buy One Get One,0
6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1
9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0
9,46.42,0,1,Urban,0,Phone,Buy One Get One,0
9,675.07,1,1,Rural,1,Phone,Discount,0
10,32.84,0,1,Urban,1,Web,Buy One Get One,0
7,548.91,0,1,Urban,1,Phone,Buy One Get One,1
1,211.45,0,1,Urban,1,Phone,Buy One Get One,0
5,642.9,0,1,Surburban,1,Multichannel,Buy One Get One,0
2,101.64,0,1,Urban,0,Web,Discount,1
4,241.42,0,1,Rural,1,Multichannel,No Offer,0
3,58.13,1,0,Urban,1,Web,No Offer,1
5,29.99,1,0,Surburban,0,Phone,Discount,0
9,112.35,1,0,Rural,0,Web,Discount,0
11,219.04,1,1,Surburban,0,Phone,Discount,0
5,828.42,1,0,Surburban,1,Multichannel,Discount,0
9,29.99,0,1,Surburban,1,Phone,No Offer,0
11,182.32,1,0,Surburban,0,Phone,Discount,0
2,118.4,1,0,Surburban,0,Web,Discount,1
2,29.99,0,1,Urban,1,Phone,No Offer,0
4,78.24,1,0,Surburban,0,Web,No Offer,0
6,139.87,0,1,Rural,1,Web,Discount,0
12,115.39,0,1,Surburban,0,Phone,Discount,1
6,162.98,0,1,Surburban,0,Web,Discount,0
7,435.73,0,1,Urban,1,Web,No Offer,0
2,203.35,1,0,Rural,0,Web,No Offer,0
2,237.53,0,1,Surburban,0,Phone,Buy One Get One,0
9,334.24,1,0,Urban,0,Web,Discount,0
6,128.01,0,1,Urban,0,Web,Discount,0
9,29.99,1,0,Surburban,1,Phone,Discount,0
3,29.99,1,0,Rural,0,Web,Buy One Get One,0
4,218.72,0,1,Urban,0,Multichannel,Buy One Get One,0
1,514.52,0,1,Surburban,1,Web,Discount,0
4,766.47,1,1,Urban,1,Multichannel,Discount,0
10,63.79,1,0,Rural,1,Phone,Buy One Get One,0
7,520.43,0,1,Surburban,1,Web,Discount,0
11,236.97,1,1,Urban,1,Phone,Discount,0
3,99.23,1,0,Rural,0,Web,Discount,1
9,204.18,0,1,Surburban,0,Web,Buy One Get One,0
2,492.02,1,0,Surburban,0,Phone,No Offer,0
1,48.32,0,1,Urban,0,Web,No Offer,0
10,29.99,1,0,Surburban,0,Phone,No Offer,0
2,391.33,1,0,Surburban,0,Web,No Offer,0
1,729.7,1,1,Surburban,1,Web,Discount,0
3,134.59,1,0,Urban,1,Phone,Buy One Get One,1
10,61.09,0,1,Surburban,0,Web,Buy One Get One,0
3,203.3,0,1,Surburban,0,Web,No Offer,0
9,185.43,1,0,Urban,0,Web,Discount,0
7,29.99,0,1,Urban,1,Phone,Discount,0
9,78.62,1,0,Urban,0,Web,Discount,0
12,150.06,0,1,Surburban,0,Phone,No Offer,0
6,42.66,1,0,Surburban,0,Web,No Offer,0
12,69.08,0,1,Rural,0,Phone,Buy One Get One,0
3,549.29,1,0,Surburban,1,Multichannel,No Offer,0
9,506.83,1,0,Rural,1,Multichannel,Discount,0
3,143.93,0,1,Surburban,0,Phone,Buy One Get One,0
10,115.4,1,0,Urban,0,Phone,Discount,0
