Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
11177,e.COBUS 2700S,COBUS Industries,"",77,[10062],Electric,Transit Bus,""
10502,e.COBUS 3000,COBUS Industries,"",110,[10062],Electric,Transit Bus,""
10892,DE516WR,Collins Bus Corp.,"",25,[10220],"",School Bus,""
11143,Type A Electric School Bus (DE516),Collins Bus Corp.,"",24,[10555],Electric,School Bus,""
11144,Type A Electric School Bus (DE516WF),Collins Bus Corp.,"",16 + 1 wheelchair,[10555],Electric,School Bus,""
364,Broom Bear,Elgin,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,Automatic
11216,Broom Bear CNG Hybrid,Elgin,"","",[10013],CNG - Compressed Natural Gas|Plug-in Hybrid Electric,Street Sweeper,Automatic
11217,Broom Bear Plug-In Hybrid,Elgin,"","",[10428],Plug-in Hybrid Electric,Street Sweeper,Automatic
231,Crosswind1,Elgin,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
11179,Pelican,Elgin,"","",[10505],CNG - Compressed Natural Gas,Street Sweeper,Automatic
11219,AXESS 32' low floor,ENC,"Allison, Voith, ZF",Max 25,"[10013, 10478]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11218,AXESS 32' low floor,ENC,"Allison, Voith, ZF",Max 25,"[10428, 10478]",Diesel/Hybrid Electric,Transit Bus,""
11110,AXESS 35' low floor,ENC,"Allison, Voith, ZF",35,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11109,AXESS 35' low floor,ENC,"Allison, Voith, ZF",35,"[10428, 10478]",Diesel/Hybrid Electric,Transit Bus,""
10879,AXESS 40' low floor,ENC,"Allison, Voith, ZF",43,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
10945,AXESS 40' low floor,ENC,"Allison, Voith, ZF",43,"[10428, 10478]",Diesel/Hybrid Electric,Transit Bus,""
11220,Axess-BEB 32' low floor,ENC,.,.,[],Electric,Transit Bus,""
11221,Axess-BEB 35' low floor,ENC,.,.,[],Electric,Transit Bus,""
11222,Axess-BEB 40' low floor,ENC,.,.,[],Electric,Transit Bus,""
10944,AXESS-FC 40' low floor,ENC,BAE,43,[],Hydrogen Fuel Cell,Transit Bus,""
11115,E-Z RIDER II 30',ENC,"Allison, Voith, ZF",31,"[10382, 10428, 10478, 10519]",Diesel/Hybrid Electric,Transit Bus,""
11113,E-Z RIDER II 30',ENC,"Allison, Voith, ZF",31,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11112,E-Z RIDER II 32',ENC,"Allison, Voith, ZF",33,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
10946,E-Z RIDER II 32',ENC,"Allison, Voith, ZF",33,"[10382, 10428, 10478, 10519]",Diesel/Hybrid Electric,Transit Bus,""
10947,E-Z RIDER II 35',ENC,"Allison, Voith, ZF",41,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11114,E-Z RIDER II 35',ENC,"Allison, Voith, ZF",41,"[10382, 10428, 10478, 10519]",Diesel/Hybrid Electric,Transit Bus,""
11117,XHF 29',ENC,"",29,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11116,XHF 33',ENC,"",32,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
10881,XHF 35',ENC,"",41,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
11223,XHF 40',ENC,"",47,[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Transit Bus,""
10964,"E350, E450 Cutaway",Ford,"","",[10533],Hybrid Electric,Vocational/Cab Chassis,""
10797,"E350, E450 Cutaway",Ford,"","",[10533],CNG - Compressed Natural Gas|Ethanol (E85)|CNG - Bi-fuel|Propane - Bi-fuel|Propane,Vocational/Cab Chassis,""
10969,"E350, E450 Stripped Chassis",Ford,"","",[10533],Hybrid Electric,Vocational/Cab Chassis,""
10967,"E350, E450 Stripped Chassis",Ford,"","",[10533],CNG - Compressed Natural Gas|Ethanol (E85)|CNG - Bi-fuel|Propane - Bi-fuel|Propane,Vocational/Cab Chassis,""
11087,E-450 Box Truck,Ford,"","",[],Electric,Vocational/Cab Chassis,""
10965,E450 Cutaway,Ford,"","",[],Electric,Vocational/Cab Chassis,""
11122,E-450 School Bus,Ford,"","",[],Electric,School Bus,""
11094,E-450 Shuttle,Ford,"","",[],Electric,Passenger Van/Shuttle Bus,""
11086,E-450 Step Van,Ford,"","",[],Electric,Step Van,""
11043,E450 Stripped Chassis,Ford,"","",[],Electric,Vocational/Cab Chassis,""
11118,E-450 Work Truck,Ford,"","",[],Electric,Vocational/Cab Chassis,""
11235,E-Transit Cargo Van,Ford,"","",[10579],Electric,Van,Automatic
11236,E-Transit Cutaway/Chassis Cab,Ford,"","",[10579],Electric,Vocational/Cab Chassis,Automatic
11167,F-550 Bus,Ford,"","",[],Electric,Passenger Van/Shuttle Bus,""
11089,F-59 School Bus,Ford,"","",[],Electric,School Bus,""
11090,F-59 Shuttle Bus,Ford,"","",[],Electric,Passenger Van/Shuttle Bus,""
11096,F-59 Step Van,Ford,"","",[],Electric,Step Van,""
10971,F-59 Stripped Chassis,Ford,"","",[10533],CNG - Compressed Natural Gas|E85/Hybrid Electric|CNG - Bi-fuel|Propane - Bi-fuel|Propane,Vocational/Cab Chassis,""
10972,F-59 Stripped Chassis,Ford,"","",[],Electric,Vocational/Cab Chassis,""
10973,F-59 Stripped Chassis,Ford,"","",[10533],Hybrid Electric,Vocational/Cab Chassis,""
11153,F-650 Box Truck,Ford,"","",[],Electric,Vocational/Cab Chassis,Automatic
10958,"Medium Duty Chassis Cab F650, F750",Ford,"","",[10533],CNG - Compressed Natural Gas|Ethanol (E85)|CNG - Bi-fuel|Propane - Bi-fuel|Propane,Vocational/Cab Chassis,""
10982,"Medium Duty Chassis Cab F650, F750",Ford,"","",[10420],Biodiesel (B20),Vocational/Cab Chassis,""
11174,Super Duty Chassis Cab F350,Ford,"","","[10416, 10533]",Ethanol (E85),Vocational/Cab Chassis,""
10802,"Super Duty Chassis Cab F350, F450, F550",Ford,"","",[10420],Biodiesel (B20),Vocational/Cab Chassis,""
10794,"Super Duty Chassis Cab F350, F450, F550",Ford,"","","[10416, 10533]",CNG - Compressed Natural Gas|CNG - Bi-fuel|Propane - Bi-fuel|Propane,Vocational/Cab Chassis,""
10960,"Super Duty Chassis Cab F350, F450, F550",Ford,"","",[10533],Hybrid Electric,Vocational/Cab Chassis,""
11059,"Super Duty F250, F350, F450",Ford,"","",[10533],Plug-in Hybrid Electric,Pickup,""
10801,"Super Duty F250, F350, F450",Ford,"","",[10420],Biodiesel (B20),Pickup,""
10796,"Super Duty F250, F350, F450",Ford,"","","[10416, 10533]",CNG - Compressed Natural Gas|Ethanol (E85)|CNG - Bi-fuel|Propane - Bi-fuel|Propane,Pickup,""
10962,"Super Duty F250, F350, F450",Ford,"","",[10533],Hybrid Electric,Pickup,""
10975,Transit 250/350 Cargo Van,Ford,"","",[10468],Hybrid Electric,Van,""
10798,Transit 250/350 Cargo Van,Ford,"","",[10468],Ethanol (E85),Van,""
10976,Transit 250/350 Cargo Van,Ford,"","",[],Electric,Van,""
11121,Transit 250/350 Passenger Van,Ford,"","",[10468],Ethanol (E85),Passenger Van/Shuttle Bus,""
11120,Transit 250/350 Passenger Van,Ford,"","",[10468],Hybrid Electric,Passenger Van/Shuttle Bus,""
11119,Transit 250/350 Passenger Van,Ford,"","",[],Electric,Passenger Van/Shuttle Bus,""
10980,"Transit CC-CA 250, 350",Ford,"","",[],Electric,Vocational/Cab Chassis,""
10979,"Transit CC-CA 250, 350",Ford,"","",[10468],Hybrid Electric,Vocational/Cab Chassis,""
10978,Transit Cutaway/Chassis Cab,Ford,"","",[10468],Ethanol (E85),Vocational/Cab Chassis,""
10340,114SD NG - Class 8,Freightliner,"Allison, Eaton","","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
10789,Cascadia Natural Gas,Freightliner,Eaton,"",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor,""
10790,M2 112 NG,Freightliner,Allison,"",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor|Vocational/Cab Chassis,""
10765,MT-45 G Chassis - Class 4,Freightliner Custom Chassis,Allison,"",[10470],CNG - Compressed Natural Gas|Propane,Vocational/Cab Chassis,Automatic
11224,MT-50e,Freightliner Custom Chassis,Dana,"","[10565, 10566]",Electric,Vocational/Cab Chassis,Automatic
10792,MT-55 G Chassis,Freightliner Custom Chassis,Allison,"",[10470],CNG - Compressed Natural Gas|Propane,Vocational/Cab Chassis,Automatic
10763,S2G Truck - Class 6,Freightliner Custom Chassis,Allison,"","[10471, 10532]",Propane,Vocational/Cab Chassis,""
11044,eCanter,FUSO,"","",[10522],Electric,Vocational/Cab Chassis,Automatic
10820,"BRT, BRT Plus, Commuter",Gillig,"Voith, Allison, ZF","",[10013],CNG - Compressed Natural Gas,Transit Bus,""
10900,"BRT, BRT Plus, Commuter",Gillig,"Voith, Allison, ZF","","[10382, 10428]",Diesel/Hybrid Electric,Transit Bus,""
11036,"Low Floor, Low Floor Plus",Gillig,"","",[10013],CNG - Compressed Natural Gas,Transit Bus,""
11037,"Low Floor, Low Floor Plus",Gillig,"","",[],Diesel/Hybrid Electric,Transit Bus,""
11069,Low Floor Plus,Gillig,"","",[10525],Electric,Transit Bus,""
10821,Trolley,Gillig,"Voith, Allison, ZF","","[10382, 10428]",Diesel/Hybrid Electric,Transit Bus,""
11070,Trolley,Gillig,"Voith, Allison, ZF","",[10013],CNG - Compressed Natural Gas,Transit Bus,""
11054,M3EV - Class 7,Global,Global,"",[10568],Electric,Street Sweeper,""
11053,M4EV - Class 7,Global,Global,"",[10568],Electric,Street Sweeper,""
10992,M4 Hybrid,Global,Global,"",[10382],Diesel/Hybrid Electric,Street Sweeper,""
11023,M4/M4HSD CNG,Global,Global,"",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
11206,M4ZE/M4HSDZE - Class 7,Global,Global,"",[],Hydrogen Fuel Cell,Street Sweeper,""
11229,Zevo 600,GM BrightDrop,"","",[10576],Electric,Van,""
10815,Savana 2500/3500,GMC,"","",[10423],Biodiesel (B20),Van,""
11125,Savana 2500/3500,GMC,"","",[10423],Biodiesel (B20),Passenger Van/Shuttle Bus,""
10807,Savana 2500/3500,GMC,"","",[10422],Ethanol (E85),Van,""
11126,Savana 2500/3500,GMC,"","",[10422],Ethanol (E85),Passenger Van/Shuttle Bus,""
10808,Savana 3500/4500 Cutaway,GMC,"","",[10422],Ethanol (E85),Vocational/Cab Chassis,""
10811,Sierra 2500/3500 HD,GMC,Allison,"",[10422],Biodiesel (B20),Pickup,""
10812,Sierra 3500 HD Cab Chassis,GMC,Allison,"",[10422],Biodiesel (B20),Vocational/Cab Chassis,""
10822,"G1, G2",Greenkraft,"GM, Allison","",[10220],CNG - Compressed Natural Gas|Propane,Vocational/Cab Chassis,""
10823,"G3, G4",Greenkraft,Allison,"",[10390],CNG - Compressed Natural Gas|Propane,Vocational/Cab Chassis,""
11131,AV Star,GreenPower Motor Company,"",Up to 21,[10551],Electric,Passenger Van/Shuttle Bus,""
11024,BEAST,GreenPower Motor Company,"",90,[10551],Electric,School Bus,""
10901,EV250,GreenPower Motor Company,"",21 + 2 wheelchair,[10549],Electric,Transit Bus,""
10903,EV350,GreenPower Motor Company,"",40 + 2 wheelchair,[10550],Electric,Transit Bus,""
10907,EV550,GreenPower Motor Company,"",Up to 99,[10459],Electric,Transit Bus,""
11000,EV Star,GreenPower Motor Company,"",Up to 21,[10551],Electric,Passenger Van/Shuttle Bus,""
11130,EV Star+,GreenPower Motor Company,"",24,[10551],Electric,Passenger Van/Shuttle Bus,""
11171,EV Star Cargo,GreenPower Motor Company,"","",[10551],Electric,Van,""
11172,EV Star Cargo+,GreenPower Motor Company,"","",[10551],Electric,Van|Vocational/Cab Chassis,""
11170,EV Star CC,GreenPower Motor Company,"","",[10551],Electric,Vocational/Cab Chassis,""
10824,"Front Loader: Half/Pack (including Automated), Half/Pack Freedom, Half/Pack Sierra, Half/Pack Low Rider (including Automated)",Heil Environmental,"","",[10013],CNG - Compressed Natural Gas,Refuse,""
10825,"Rear Loader: PowerTrak, PowerTrak Commercial, DuraPack 4060 and 5000, PT 1000, Under CDL Mini Rear Loader",Heil Environmental,"","",[10013],CNG - Compressed Natural Gas,Refuse,""
10826,"Side Loader: Command-SST, DuraPack Python and Rapid Rail, Liberty and MultiPack Automated",Heil Environmental,"","",[10013],CNG - Compressed Natural Gas,Refuse,""
11135,L6 Conventional,Hino,Allison,"",[10382],Biodiesel (B20),Vocational/Cab Chassis,""
11136,L7 Conventional,Hino,Allison,"",[10382],Biodiesel (B20),Vocational/Cab Chassis,""
11137,XL7 Conventional,Hino,Allison,"",[10428],Biodiesel (B20),Tractor|Vocational/Cab Chassis,""
11138,XL8 Conventional,Hino,Allison,"",[10428],Biodiesel (B20),Tractor|Vocational/Cab Chassis,""
10949,Carriage ,Hometown Manufacturing,MYD 6-speed automatic,24,[10533],CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
11183,Commuter,Hometown Manufacturing,"",42,[],Electric,Passenger Van/Shuttle Bus,""
11182,Commuter,Hometown Manufacturing,Allison B400,40,[10013],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
11185,Mainstreet,Hometown Manufacturing,"",40,[],Electric,Transit Bus,""
11184,Mainstreet,Hometown Manufacturing,"Allison 2100, B300",40,[10013],CNG - Compressed Natural Gas,Transit Bus,""
11187,Streetcar,Hometown Manufacturing,"",40,[],Electric,Transit Bus,""
10915,Streetcar,Hometown Manufacturing,Allison B300,48,[10382],Diesel/Hybrid Electric,Passenger Van/Shuttle Bus,""
11186,Streetcar,Hometown Manufacturing,"Allison B300, B400",40,[10013],CNG - Compressed Natural Gas,Transit Bus,""
11189,Urban,Hometown Manufacturing,"",40,[],Electric,Transit Bus,""
11188,Urban,Hometown Manufacturing,Allison B400,40,[10013],CNG - Compressed Natural Gas,Transit Bus,""
11181,View,Hometown Manufacturing,"",Max 42,"[10565, 10566]",Electric,Transit Bus,""
11139,View,Hometown Manufacturing,Allison PTS 2200 or Ford 5-speed OD,42,[10533],CNG - Compressed Natural Gas|Propane,Transit Bus,""
10913,Villager,Hometown Manufacturing,Allison PTS 2200 or Ford Torque Shift 6-speed automatic,45,[10533],CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
11180,Villager,Hometown Manufacturing,"",45,"[10565, 10566]",Electric,Passenger Van/Shuttle Bus,""
10766,CE Series,IC Bus,"Allison, Eaton",78,[10406],Propane,School Bus,""
11225,Electric CE Series,IC Bus,"",Max 77,[10567],Electric,School Bus,Automatic
11230,eMV,International,"","",[10577],Electric,Vocational/Cab Chassis,Automatic
10300,Gasoline Electric Hybrid - Class 8,ISE,"","",[],"",Transit Bus,""
11049,"FTR, FVR",Isuzu,Allison 2500 RDS,"",[10382],Biodiesel (B20),Vocational/Cab Chassis,""
11048,"NPR-HD, NPR-XD, NQR, NRR",Isuzu,Aisin,"",[10487],Biodiesel (B20),Vocational/Cab Chassis,""
11141,Ottawa T2E+,Kalmar,"","",[10569],Electric,Tractor,""
11226,K270/K370,Kenworth,"","","[10570, 10571]",Electric,Vocational/Cab Chassis,""
11228,T180/T280,Kenworth,PACCAR,"",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
10830,T680,Kenworth,Eaton,"","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor,""
11227,T680E,Kenworth,"","",[10552],Electric,Tractor,""
10957,T880,Kenworth,"Eaton, Allison","",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor,""
10916,T880,Kenworth,"Eaton, Allison","",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
11152,LION6,Lion Electric,"","",[10463],Electric,Vocational/Cab Chassis,Automatic
11084,LION8 - Class 8,Lion Electric,"","",[10445],Electric,Vocational/Cab Chassis,Automatic
11150,LION8 Refuse ASL and REL - Class 8,Lion Electric,"","",[10445],Electric,Refuse,Automatic
11151,LION8T - Class 8,Lion Electric,"","",[10573],Electric,Tractor,Automatic
11038,LIONA,Lion Electric,"",24,[10572],Electric,School Bus,Automatic
10873,LIONC,Lion Electric,"",77,[10463],Electric,School Bus,Automatic
11083,LIOND,Lion Electric,"",83,[10463],Electric,School Bus,Automatic
11062,LIONM,Lion Electric,"",24,[10572],Electric,Passenger Van/Shuttle Bus,Automatic
10832,Anthem - Class 8,Mack,Eaton,"",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor,""
10833,LR,Mack,Allison,"",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Refuse,""
11155,LR,Mack,Mack Powershift 2-speed ,"",[],Electric,Refuse,""
10924,TerraPro Cab Over,Mack,"Allison, Eaton, mDRIVE HD/XHD, Maxitorque ES","",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,""
10988,TerraPro Cab Over,Mack,"Allison, Eaton, mDRIVE HD/XHD, Maxitorque ES","",[10013],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Refuse,""
11073,D4000 Commuter Coach,MCI,Allison,49,[10301],CNG - Compressed Natural Gas,Transit Bus,""
11075,D4000 Hybrid Commuter Coach - Class 8,MCI,Allision,49,"[10428, 10478, 10544]",Diesel/Hybrid Electric,Transit Bus,Automatic
10834,D4500 Commuter Coach,MCI,Allison,57,[10301],CNG - Compressed Natural Gas,Transit Bus,""
405,D4500 Hybrid Commuter Coach - Class 8,MCI,Allision,57,"[10428, 10478, 10544]",Diesel/Hybrid Electric,Transit Bus,Automatic
11190,D45 CRT LE CHARGE - Class 8,MCI,"",54,[10545],Electric,Transit Bus,Automatic
11156,J4500e CHARGE - Class 8,MCI,"",56,[10545],Electric,Transit Bus,Automatic
10676,"Front Loaders: Meridian, Atlantic, Contendor - Class 8",McNeilus,"Eaton, Allison","","[10013, 10301]",CNG - Compressed Natural Gas,Refuse,""
732,"Rear Loader: Standard, Heavy Duty, Extra Compaction,Tag Axle, Split Body, M2 - Class 8",McNeilus,"Eaton, Allison","","[10013, 10301]",CNG - Compressed Natural Gas,Refuse,""
10675,"Side Loader: AutoReach, Manual/Automated, Zero Radius - Class 8",McNeilus,"Eaton, Allison","","[10013, 10301]",CNG - Compressed Natural Gas,Refuse,""
733,"Standard, Bridgemaster, Oshkosh S-Series - Class 8",McNeilus,"Eaton, Allison","","[10013, 10301]",CNG - Compressed Natural Gas,Vocational/Cab Chassis,""
11231,(various models),Morgan-Olson,"","",[],Electric,Step Van,Automatic
11040,Xcelsior 35',New Flyer,"Allison, Voith, ZF",32,[10013],CNG - Compressed Natural Gas,Transit Bus,""
10835,Xcelsior 35',New Flyer,"Allison, Voith, ZF",33,"[10382, 10478, 10519]",CNG - Compressed Natural Gas,Transit Bus,""
10836,Xcelsior 40',New Flyer,"Allison, Voith, ZF",40,[10013],CNG - Compressed Natural Gas,Transit Bus,""
11041,Xcelsior 40',New Flyer,"Allison, Voith, ZF",43,"[10382, 10478, 10519]",Diesel/Hybrid Electric,Transit Bus,""
11039,Xcelsior 60',New Flyer,"Allison, Voith, ZF",62,[10013],CNG - Compressed Natural Gas,Transit Bus,""
11042,Xcelsior 60',New Flyer,"Allison, Voith, ZF",62,"[10428, 10478, 10519]",Diesel/Hybrid Electric,Transit Bus,""
10837,Xcelsior CHARGE 35',New Flyer,Siemens,32,[10557],Electric,Transit Bus,""
11026,Xcelsior CHARGE 40',New Flyer,"",40,[10558],Electric,Transit Bus,""
11027,Xcelsior CHARGE 60',New Flyer,"",61,[10559],Electric,Transit Bus,""
11128,Xcelsior CHARGE H2 40',New Flyer,"",40,[10514],Hydrogen Fuel Cell,Transit Bus,""
11129,Xcelsior CHARGE H2 60',New Flyer,"",52,[10560],Hydrogen Fuel Cell,Transit Bus,""
10838,Osprey II sweeper,Nitehawk,"","",[10220],Propane - Bi-fuel,Street Sweeper,""
11158,Osprey II sweeper,Nitehawk,"","",[10416],Ethanol (E85),Street Sweeper,""
10839,Raptor II sweeper,Nitehawk,"","",[10220],CNG - Compressed Natural Gas|Propane - Bi-fuel,Street Sweeper,""
10986,LFS Artic HEV - Class 8,Nova Bus,"Allison, BAE",62,"[10042, 10428, 10476]",Diesel/Hybrid Electric,Transit Bus,""
10240,LFS CNG - Class 8,Nova Bus,"ZF, Allison, Voith",41,[10013],CNG - Compressed Natural Gas,Transit Bus,""
10872,LFSe,Nova Bus,"",41,[10574],Electric,Transit Bus,""
11076,LFSe+,Nova Bus,"",41,[10475],Electric,Transit Bus,""
10985,LFS HEV - Class 8,Nova Bus,"Allison, BAE",41,[10382],Diesel/Hybrid Electric,Transit Bus,""
11232,E1 Cutaway Chassis,Optimal-EV,"","",[10578],Electric,Vocational/Cab Chassis,Automatic
11233,S1 LF Low Floor,Optimal-EV,"",Up to 22,[10578],Electric,Passenger Van/Shuttle Bus,Automatic
10840,T Series terminal,Orange EV,"","",[],Electric,Tractor,""
11145,220EV - Class 6,Peterbilt,"","",[10537],Electric,Vocational/Cab Chassis,Automatic
11194,220EV - Class 7,Peterbilt,"","",[10547],Electric,Vocational/Cab Chassis,Automatic
10404,520,Peterbilt,"Allison, Eaton Manual","","[10013, 10301]",CNG - Compressed Natural Gas,Vocational/Cab Chassis,""
11173,520EV - Class 8,Peterbilt,"","",[10552],Electric,Refuse,Automatic
11201,535 - Class 5,Peterbilt,"Allison, Eaton Manual","",[10505],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
