ID,LOCATION_GROUP,LONGITUDE,LATITUDE
181,Social Facility,28.9668,41.029852
182,Social Facility,28.957179,41.0282
183,Social Facility,29.146659,40.901284
184,Social Facility,29.054999,41.11476
185,Social Facility,29.276736,40.954095
186,Sport Facility,28.721574,40.99691
187,Sport Facility,28.886847,41.064818
188,Sport Facility,28.910331,41.044596
189,Sport Facility,28.949284,41.055284
190,Sport Facility,28.493941,41.0111
191,Sport Facility,28.879916,41.053893
192,Sport Facility,28.878994,41.053019
193,Sport Facility,28.866389,41.04529
194,Sport Facility,28.925808,41.078683
195,Sport Facility,28.93176,41.02556
196,Sport Facility,28.940432,40.998968
197,Sport Facility,28.940738,41.001423
198,Sport Facility,28.898766,41.076545
199,Sport Facility,29.08863,40.954044
200,Sport Facility,29.189967,40.892454
201,Sport Facility,28.959739,41.053278
202,Sport Facility,29.002046,41.094578
203,Sport Facility,29.111306,40.936238
204,Sport Facility,29.233057,40.978484
205,Sport Facility,29.245335,41.015681
206,Sport Facility,29.274908,40.949935
207,Sport Facility,28.259281,41.087402
208,Sport Facility,29.310212,40.812932
209,Sport Facility,29.162854,41.012238
210,Sport Facility,29.104731,41.024958
211,Sport Facility,29.124733,41.021309
212,Sport Facility,29.127969,41.02858
213,Tram Station,28.860657,41.03274
214,Tram Station,28.989436,41.031482
215,Tram Station,28.992646,41.034326
216,Tram Station,28.974782,41.022246
217,Tram Station,28.980616,41.026892
218,Tram Station,28.953944,41.009543
219,Tram Station,28.933466,41.015149
220,Tram Station,28.940269,41.011806
221,Tram Station,28.943146,41.010955
222,Tram Station,28.959765,41.009561
223,Tram Station,28.975497,41.0081
224,Tram Station,28.946583,41.0101
225,Tram Station,28.92684,41.018475
226,Tram Station,28.871113,41.017393
227,Tram Station,28.877219,41.015526
228,Tram Station,28.88074,41.011789
229,Tram Station,28.863745,41.023715
230,Tram Station,28.9119,41.016042
231,Tram Station,28.902215,41.003535
232,Tourist Place,28.972356,41.007284
233,Tourist Place,28.971066,41.016151
234,Tourist Place,29.053605,41.107864
235,Tourist Place,29.052953,41.109309
236,Green Area,29.098574,41.133158
237,Green Area,28.668433,41.005364
238,Green Area,28.88337,41.162284
239,Green Area,29.252024,40.891037
240,Green Area,29.218902,40.975377
241,Green Area,29.053011,41.108199
242,Green Area,29.027314,41.032534
243,Green Area,28.807347,40.960824
244,Green Area,28.878257,41.06102
245,Green Area,28.954114,41.015525
246,Green Area,29.05786,40.969954
247,Green Area,28.767776,41.001919
248,Green Area,28.796248,41.044773
249,Green Area,29.026435,41.135165
250,Green Area,28.803974,41.108465
251,Green Area,28.993936,41.042018
252,Green Area,28.467882,41.039926
253,Green Area,28.923518,41.02191
254,Green Area,29.10161,40.947455
255,Green Area,29.12711,40.920351
256,Green Area,29.162854,41.012238
257,Other,29.12765,40.874414
258,Other,29.065925,41.099739
259,Other,29.211692,40.907168
260,Other,29.228481,41.030559
261,Other,29.163593,41.01637
262,Other,29.0679,41.027407
263,Other,29.011697,41.01211
264,Other,29.063421,41.021925
265,Other,29.052767,41.060221
266,Other,29.008546,41.023753
267,Other,29.008469,41.024939
268,Other,29.850241,41.137578
269,Other,29.607902,41.175735
270,Other,28.742378,41.182499
271,Other,28.873867,40.980883
272,Other,28.856627,41.034462
273,Other,28.801259,41.107504
274,Other,28.977381,41.033458
275,Other,29.007688,41.04247
276,Other,29.014387,41.075955
277,Other,28.578171,41.020364
278,Other,28.932804,41.046441
279,Other,28.966779,41.009197
280,Other,28.932981,41.015653
281,Other,28.974665,41.010948
282,Other,28.970257,41.017572
283,Other,28.954862,41.014324
284,Other,28.97119,41.008944
285,Other,28.962793,41.002499
286,Other,28.959206,41.012147
287,Other,28.963904,41.020371
288,Other,29.005354,41.090741
289,Other,28.780627,40.988449
290,Other,28.769932,40.988205
291,Other,29.06723,41.128563
292,Other,29.022427,41.219842
293,Other,29.030243,41.139893
294,Other,29.020786,41.108143
295,Other,29.020163,41.10805
296,Other,28.246197,41.074007
297,Other,28.880827,40.980333
298,Other,28.883806,41.040454
299,Other,29.237803,41.053157
300,Other,29.051827,41.124858
301,Other,0.0,0.0
302,Other,0.0,0.0
303,Other,0.0,0.0
304,Other,28.85035,40.98367
305,Other,29.011161,41.085842
306,Other,28.951006,41.01654
307,Other,29.057043,41.115098
308,Other,29.091653,41.025299
309,Other,29.075875,40.584511
310,Other,29.075875,40.584511
311,Other,28.554263,41.014308
312,Other,28.472931,41.0331
313,Other,28.584545,41.063972
314,Other,28.584545,41.063972
315,Other,28.807947,40.96219
316,Other,28.812574,40.960154
317,Other,29.471361,41.187223
318,Other,28.988284,41.045555
319,Other,28.787062,40.972466
320,Other,28.906268,40.984978
321,Other,28.420612,40.59018
322,Other,28.373089,41.012012
323,Other,29.002778,41.023168
324,Other,29.012772,40.593731
325,Other,24.021632,40.592927
326,Other,29.123026,40.542077
327,Other,29.123026,40.542077
328,Other,29.015078,41.082386
329,Other,29.004982,41.03593
330,Other,28.893607,41.040117
331,Other,28.89344,41.039329
332,Other,28.893607,41.040117
333,Other,28.896005,41.041025
334,Other,28.944987,41.087819
335,Other,29.063174,40.995377
336,Mobile,0.0,0.0
337,Mobile,0.0,0.0
338,Mobile,0.0,0.0
339,Mobile,0.0,0.0
340,Mobile,0.0,0.0
341,Mobile,0.0,0.0
342,Mobile,0.0,0.0
343,Mobile,0.0,0.0
344,Mobile,0.0,0.0
345,Mobile,0.0,0.0
346,Mobile,0.0,0.0
347,Mobile,0.0,0.0
348,Mobile,0.0,0.0
349,Mobile,0.0,0.0
350,Mobile,0.0,0.0
351,Mobile,0.0,0.0
352,Mobile,0.0,0.0
353,Mobile,0.0,0.0
354,Mobile,0.0,0.0
355,Mobile,0.0,0.0
356,Mobile,0.0,0.0
357,Mobile,0.0,0.0
358,Mobile,0.0,0.0
359,Mobile,0.0,0.0
360,Mobile,0.0,0.0
361,Mobile,0.0,0.0
362,Mobile,0.0,0.0
363,Mobile,0.0,0.0
364,Mobile,0.0,0.0
365,Mobile,0.0,0.0
366,Mobile,0.0,0.0
367,Mobile,0.0,0.0
368,Mobile,0.0,0.0
369,Mobile,0.0,0.0
370,Mobile,0.0,0.0
371,Mobile,0.0,0.0
372,Mobile,0.0,0.0
373,Mobile,0.0,0.0
374,Mobile,0.0,0.0
375,Mobile,0.0,0.0
376,Mobile,0.0,0.0
377,Mobile,0.0,0.0
378,Mobile,0.0,0.0
379,Mobile,0.0,0.0
380,Mobile,0.0,0.0
381,Mobile,0.0,0.0
382,Mobile,0.0,0.0
383,Mobile,0.0,0.0
384,Mobile,0.0,0.0
385,Mobile,0.0,0.0
386,Mobile,0.0,0.0
387,Mobile,0.0,0.0
388,Mobile,0.0,0.0
389,Mobile,0.0,0.0
390,Mobile,0.0,0.0
391,Mobile,0.0,0.0
392,Mobile,0.0,0.0
393,Mobile,0.0,0.0
394,Mobile,0.0,0.0
395,Mobile,0.0,0.0
396,Mobile,0.0,0.0
397,Mobile,0.0,0.0
398,Mobile,0.0,0.0
399,Mobile,0.0,0.0
400,Mobile,0.0,0.0
401,Mobile,0.0,0.0
402,Mobile,0.0,0.0
403,Mobile,0.0,0.0
404,Mobile,0.0,0.0
405,Mobile,0.0,0.0
406,Mobile,0.0,0.0
407,Mobile,0.0,0.0
408,Mobile,0.0,0.0
409,Mobile,0.0,0.0
410,Mobile,0.0,0.0
411,Mobile,0.0,0.0
412,Mobile,0.0,0.0
413,Mobile,0.0,0.0
414,Mobile,0.0,0.0
415,Mobile,0.0,0.0
416,Mobile,0.0,0.0
417,Mobile,0.0,0.0
418,Mobile,0.0,0.0
419,Mobile,0.0,0.0
420,Mobile,0.0,0.0
421,Mobile,0.0,0.0
422,Mobile,0.0,0.0
423,Mobile,0.0,0.0
424,Mobile,0.0,0.0
425,Mobile,0.0,0.0
426,Mobile,0.0,0.0
427,Mobile,0.0,0.0
428,Mobile,0.0,0.0
429,Mobile,0.0,0.0
430,Mobile,0.0,0.0
431,Mobile,0.0,0.0
432,Mobile,0.0,0.0
433,Mobile,0.0,0.0
434,Mobile,0.0,0.0
435,Mobile,0.0,0.0
436,Mobile,0.0,0.0
437,Mobile,0.0,0.0
438,Mobile,0.0,0.0
439,Mobile,0.0,0.0
440,Mobile,0.0,0.0
441,Mobile,0.0,0.0
442,Mobile,0.0,0.0
443,Mobile,0.0,0.0
444,Service Building,28.81876,41.012851
445,Service Building,28.830424,40.989982
446,Service Building,28.903428,41.045784
447,Service Building,28.857501,41.0251
448,Service Building,28.968634,41.054595
449,Service Building,28.646075,41.014139
450,Service Building,28.927331,41.029579
451,Service Building,28.929505,41.027026
452,Service Building,28.927548,41.030693
453,Service Building,28.928432,41.030349
454,Service Building,28.939961,41.019943
455,Service Building,28.957105,41.016189
456,Service Building,28.883214,41.074559
457,Service Building,28.878635,41.021308
458,Service Building,29.21064,40.918029
459,Service Building,29.187576,40.911826
460,Service Building,29.186078,40.912097
461,Service Building,28.955722,41.065794
462,Service Building,28.967527,41.086539
463,Service Building,28.800275,41.000453
464,Service Building,29.155126,40.934629
465,Service Building,29.025047,41.155494
466,Service Building,28.880016,41.107693
467,Service Building,28.865871,41.108496
468,Service Building,28.256463,41.10142
469,Service Building,28.449979,41.148388
470,Service Building,28.453384,41.22773
471,Service Building,29.025121,41.014092
472,Service Building,29.020501,41.008659
473,Service Building,29.015549,41.072546
474,Service Building,28.978849,41.027168
475,Service Building,29.103195,40.979795
476,Service Building,28.886832,41.048746
477,Service Building,28.712969,40.993533
478,Service Building,28.881608,40.987576
479,Service Building,28.867145,41.064624
480,Service Building,28.800754,41.104023
481,Service Building,28.953559,41.016067
482,Service Building,28.893542,41.079145
483,Service Building,28.888523,41.016872
484,Service Building,29.293924,40.857485
485,Service Building,29.0116,41.019857
486,Service Building,29.856279,41.137286
487,Service Building,28.909631,41.040002
488,Service Building,29.161383,40.905927
489,Service Building,29.084831,40.989517
490,Service Building,28.848458,40.992708
491,Service Building,29.328323,40.869157
492,Service Building,28.722242,41.196518
493,Service Building,28.70651,41.032128
494,Service Building,28.843919,41.00718
495,Service Building,28.835238,41.003374
496,Service Building,28.830691,40.989899
497,Service Building,28.809977,41.086826
498,Service Building,28.764007,41.100604
499,Service Building,28.646562,40.97689
500,Service Building,28.951475,41.058333
501,Service Building,28.635608,41.067566
502,Service Building,28.922581,41.092457
503,Service Building,28.876773,41.028627
504,Service Building,29.192541,40.899331
505,Service Building,28.782957,41.021926
506,Service Building,29.276456,40.9069
507,Service Building,29.260852,40.89157
508,Service Building,29.245345,41.016063
509,Service Building,29.255648,40.991018
510,Service Building,28.875391,41.105497
511,Service Building,28.257453,41.092369
512,Service Building,28.385422,41.054046
513,Service Building,28.887552,41.05075
514,Service Building,28.645557,41.01478
515,Service Building,29.188153,40.912237
516,Teacher's House,28.877398,40.979393
517,Culture Center,28.880556,40.980471
518,Culture Center,28.785539,41.104782
519,Culture Center,28.882518,41.035633
520,Culture Center,28.926066,41.083861
521,Culture Center,28.943655,40.998944
522,Culture Center,28.915911,41.057453
523,Culture Center,28.876948,41.028597
524,Culture Center,29.054201,40.999001
525,Culture Center,29.196328,40.886349
526,Culture Center,29.241427,40.90507
527,Culture Center,28.80303,41.030465
528,Culture Center,28.803314,41.071511
529,Culture Center,29.244969,41.014755
530,Culture Center,29.231847,40.978859
531,Culture Center,29.052068,41.124414
532,Culture Center,29.258629,40.970989
533,Culture Center,28.921655,41.022063
534,Culture Center,29.105037,41.025556
535,Culture Center,29.105734,41.017041
536,Culture Center,29.023764,41.017019
537,Culture Center,29.615414,41.17239
538,Culture Center,28.990258,41.048207
539,Culture Center,28.990026,41.046045
540,Library,28.785541,41.104436
541,Library,28.876527,41.098069
542,Bus Station,28.657735,41.008841
543,Bus Station,29.1044,40.96544
544,Bus Station,28.890811,41.002993
545,Social Facility,28.74292,40.973972
546,Social Facility,28.982257,41.028379
547,Social Facility,28.765303,40.9999
548,Social Facility,29.254914,41.013775
549,Social Facility,28.891461,41.000342
550,Social Facility,29.069071,41.027853
551,Social Facility,29.026143,41.032534
552,Sport Facility,28.880413,41.002171
553,Sport Facility,28.853506,40.988493
554,Sport Facility,28.884133,41.065358
555,Sport Facility,29.100534,41.125255
556,Sport Facility,28.936885,41.032583
557,Sport Facility,28.799341,41.044949
558,Sport Facility,29.049423,41.128394
559,Sport Facility,28.876316,41.107116
560,Sport Facility,28.870156,41.08674
561,Sport Facility,28.891048,40.999572
562,Sport Facility,29.588511,41.155046
563,Tourist Place,29.053861,41.082512
564,Tourist Place,28.932578,41.053734
565,Tourist Place,28.948646,41.058578
566,Tourist Place,28.987136,41.056428
567,Green Area,29.073978,41.104805
568,Green Area,29.015456,41.049054
569,Green Area,28.858946,40.975509
570,Green Area,28.59777,40.992707
571,Green Area,28.969007,41.023967
572,Green Area,28.925951,40.990482
573,Green Area,28.919307,40.988982
574,Green Area,28.964481,41.002676
575,Green Area,29.053326,40.967629
576,Green Area,29.187151,40.888024
577,Green Area,28.790541,41.031728
578,Green Area,28.783597,41.035524
579,Green Area,28.77561,41.029331
580,Green Area,28.772177,41.022156
581,Green Area,29.121198,40.924531
582,Green Area,29.256022,40.868536
583,Green Area,29.311377,40.938979
584,Green Area,29.23499,40.875823
585,Green Area,29.254897,41.012137
586,Green Area,29.237764,40.995229
587,Green Area,28.981998,41.068341
588,Green Area,29.03309,41.134178
589,Green Area,28.922887,41.021059
590,Green Area,29.118248,41.040737
591,Green Area,29.05374,41.046596
592,Green Area,29.015585,41.046605
593,Green Area,28.98077,41.014188
594,Green Area,28.955561,41.065596
595,Green Area,29.254707,41.012189
596,Green Area,28.887425,41.001016
597,Other,29.189346,40.88982
598,Other,29.261779,40.886947
599,Other,29.266654,40.96714
600,Other,29.190271,41.014079
601,Other,29.014881,41.027275
602,Other,28.80068,40.963136
603,Other,28.985666,41.037058
604,Other,28.92817,41.033684
605,Other,28.949292,41.011242
606,Other,28.913608,41.058146
607,Other,28.793358,41.008056
608,Other,28.77166,40.990604
609,Other,28.992465,41.064094
610,Other,28.939853,41.019603
611,Other,28.877215,41.028642
612,Other,29.302613,40.849826
613,Other,28.842888,40.994098
614,Other,29.009866,41.087364
615,Other,28.896656,40.985878
616,Other,28.554263,41.014308
617,Other,29.023146,40.594177
618,Other,29.023146,40.594177
619,Other,28.573054,41.03566
620,Other,28.472931,41.0331
621,Other,29.090822,41.243239
622,Other,28.788649,40.971917
623,Other,28.501286,40.595614
624,Other,28.445424,41.064146
625,Other,29.003277,41.052214
626,Other,28.581074,41.010892
627,Other,29.143841,40.522655
628,Other,29.151563,41.001865
629,Other,29.175156,40.561725
630,Other,29.074823,41.012278
631,Other,28.59289,41.035982
632,Other,28.727285,40.98714
633,Other,28.863824,40.986566
634,Other,29.093024,41.09064
635,Mobile,0.0,0.0
636,Mobile,0.0,0.0
637,Mobile,0.0,0.0
638,Mobile,0.0,0.0
639,Mobile,0.0,0.0
640,Mobile,0.0,0.0
641,Mobile,0.0,0.0
642,Mobile,0.0,0.0
643,Mobile,0.0,0.0
644,Mobile,0.0,0.0
645,Mobile,0.0,0.0
646,Mobile,0.0,0.0
647,Mobile,0.0,0.0
648,Mobile,0.0,0.0
649,Mobile,0.0,0.0
650,Mobile,0.0,0.0
651,Mobile,0.0,0.0
652,Mobile,0.0,0.0
653,Mobile,0.0,0.0
654,Mobile,0.0,0.0
655,Mobile,0.0,0.0
656,Mobile,0.0,0.0
657,Mobile,0.0,0.0
658,Mobile,0.0,0.0
659,Mobile,0.0,0.0
660,Mobile,0.0,0.0
661,Mobile,0.0,0.0
662,Mobile,0.0,0.0
663,Mobile,0.0,0.0
664,Mobile,0.0,0.0
665,Mobile,0.0,0.0
666,Mobile,0.0,0.0
667,Mobile,0.0,0.0
668,Mobile,0.0,0.0
669,Mobile,0.0,0.0
670,Mobile,0.0,0.0
671,Mobile,0.0,0.0
672,Mobile,0.0,0.0
673,Mobile,0.0,0.0
674,Mobile,0.0,0.0
675,Mobile,0.0,0.0
676,Mobile,0.0,0.0
677,Mobile,0.0,0.0
678,Mobile,0.0,0.0
679,Mobile,0.0,0.0
680,Mobile,0.0,0.0
681,Mobile,0.0,0.0
682,Mobile,0.0,0.0
683,Mobile,0.0,0.0
684,Mobile,0.0,0.0
685,Mobile,0.0,0.0
686,Mobile,0.0,0.0
687,Mobile,0.0,0.0
688,Mobile,0.0,0.0
689,Mobile,0.0,0.0
690,Mobile,0.0,0.0
691,Mobile,0.0,0.0
692,Mobile,0.0,0.0
693,Mobile,0.0,0.0
694,Mobile,0.0,0.0
695,Mobile,0.0,0.0
696,Mobile,0.0,0.0
697,Mobile,0.0,0.0
698,Mobile,0.0,0.0
699,Mobile,0.0,0.0
700,Mobile,0.0,0.0
701,Mobile,0.0,0.0
702,Mobile,0.0,0.0
703,Mobile,0.0,0.0
704,Mobile,0.0,0.0
705,Mobile,0.0,0.0
706,Mobile,0.0,0.0
707,Mobile,0.0,0.0
708,Mobile,0.0,0.0
709,Mobile,0.0,0.0
710,Mobile,0.0,0.0
711,Mobile,0.0,0.0
712,Mobile,0.0,0.0
713,Mobile,0.0,0.0
714,Mobile,0.0,0.0
715,Mobile,0.0,0.0
716,Mobile,0.0,0.0
717,Mobile,0.0,0.0
718,Mobile,0.0,0.0
719,Mobile,0.0,0.0
720,Mobile,0.0,0.0
721,Mobile,0.0,0.0
722,Mobile,0.0,0.0
723,Mobile,0.0,0.0
724,Mobile,0.0,0.0
725,Mobile,0.0,0.0
726,Mobile,0.0,0.0
727,Mobile,0.0,0.0
728,Mobile,0.0,0.0
729,Mobile,0.0,0.0
730,Mobile,0.0,0.0
731,Mobile,0.0,0.0
732,Mobile,0.0,0.0
733,Mobile,0.0,0.0
734,Mobile,0.0,0.0
735,Mobile,0.0,0.0
736,Mobile,0.0,0.0
737,Mobile,0.0,0.0
738,Mobile,0.0,0.0
739,Mobile,0.0,0.0
740,Mobile,0.0,0.0
741,Mobile,0.0,0.0
742,Mobile,0.0,0.0
743,Mobile,0.0,0.0
744,Mobile,0.0,0.0
745,Mobile,0.0,0.0
746,Mobile,0.0,0.0
747,Mobile,0.0,0.0
748,Mobile,0.0,0.0
749,Mobile,0.0,0.0
750,Mobile,0.0,0.0
751,Mobile,0.0,0.0
752,Mobile,0.0,0.0
753,Mobile,0.0,0.0
754,Mobile,0.0,0.0
755,Mobile,0.0,0.0
756,Mobile,0.0,0.0
757,Mobile,0.0,0.0
758,Mobile,0.0,0.0
759,Mobile,0.0,0.0
760,Mobile,0.0,0.0
761,Mobile,0.0,0.0
762,Mobile,0.0,0.0
763,Mobile,0.0,0.0
764,Mobile,0.0,0.0
765,Mobile,0.0,0.0
766,Mobile,0.0,0.0
767,Mobile,0.0,0.0
768,Mobile,0.0,0.0
769,Mobile,0.0,0.0
770,Mobile,0.0,0.0
771,Mobile,0.0,0.0
772,Mobile,0.0,0.0
773,Mobile,0.0,0.0
774,Mobile,0.0,0.0
775,Mobile,0.0,0.0
776,Mobile,0.0,0.0
777,Mobile,0.0,0.0
778,Mobile,0.0,0.0
779,Mobile,0.0,0.0
780,Mobile,0.0,0.0
781,Mobile,0.0,0.0
782,Mobile,0.0,0.0
783,Mobile,0.0,0.0
784,Mobile,0.0,0.0
785,Mobile,0.0,0.0
786,Mobile,0.0,0.0
787,Mobile,0.0,0.0
788,Mobile,0.0,0.0
789,Mobile,0.0,0.0
790,Mobile,0.0,0.0
791,Mobile,0.0,0.0
792,Mobile,0.0,0.0
793,Mobile,0.0,0.0
794,Mobile,0.0,0.0
795,Mobile,0.0,0.0
796,Mobile,0.0,0.0
797,Mobile,0.0,0.0
798,Mobile,0.0,0.0
799,Mobile,0.0,0.0
800,Mobile,0.0,0.0
801,Mobile,0.0,0.0
802,Mobile,0.0,0.0
803,Mobile,0.0,0.0
804,Mobile,0.0,0.0
805,Mobile,0.0,0.0
806,Mobile,0.0,0.0
807,Mobile,0.0,0.0
808,Mobile,0.0,0.0
809,Mobile,0.0,0.0
810,Mobile,0.0,0.0
811,Mobile,0.0,0.0
812,Mobile,0.0,0.0
813,Mobile,0.0,0.0
814,Mobile,0.0,0.0
815,Mobile,0.0,0.0
816,Mobile,0.0,0.0
817,Mobile,0.0,0.0
818,Mobile,0.0,0.0
819,Mobile,0.0,0.0
820,Mobile,0.0,0.0
821,Mobile,0.0,0.0
822,Mobile,0.0,0.0
823,Mobile,0.0,0.0
824,Mobile,0.0,0.0
825,Mobile,0.0,0.0
826,Mobile,0.0,0.0
827,Mobile,0.0,0.0
828,Mobile,0.0,0.0
829,Mobile,0.0,0.0
830,Mobile,0.0,0.0
831,Mobile,0.0,0.0
832,Mobile,0.0,0.0
833,Mobile,0.0,0.0
834,Mobile,0.0,0.0
835,Mobile,0.0,0.0
836,Mobile,0.0,0.0
837,Mobile,0.0,0.0
838,Mobile,0.0,0.0
839,Mobile,0.0,0.0
840,Mobile,0.0,0.0
841,Mobile,0.0,0.0
842,Mobile,0.0,0.0
843,Mobile,0.0,0.0
844,Mobile,0.0,0.0
845,Mobile,0.0,0.0
846,Mobile,0.0,0.0
847,Mobile,0.0,0.0
848,Mobile,0.0,0.0
849,Mobile,0.0,0.0
850,Mobile,0.0,0.0
851,Mobile,0.0,0.0
852,Mobile,0.0,0.0
853,Mobile,0.0,0.0
854,Mobile,0.0,0.0
855,Mobile,0.0,0.0
856,Mobile,0.0,0.0
857,Mobile,0.0,0.0
858,Mobile,0.0,0.0
