,id_major,id_university,type,major_name,capacity
0,1111014,111,science,PENDIDIKAN DOKTER HEWAN,88
1,1111022,111,science,TEKNIK SIPIL,64
2,1111037,111,science,TEKNIK MESIN,48
3,1111045,111,science,TEKNIK KIMIA,48
4,1111053,111,science,ARSITEKTUR,48
5,1111061,111,science,TEKNIK ELEKTRO,48
6,1111076,111,science,AGROTEKNOLOGI,48
7,1111084,111,science,AGRIBISNIS,48
8,1111092,111,science,PETERNAKAN,48
9,1111103,111,science,TEKNOLOGI HASIL PERTANIAN,48
10,1111111,111,science,TEKNIK PERTANIAN,40
11,1111126,111,science,PENDIDIKAN BIOLOGI,48
12,1111134,111,science,PENDIDIKAN MATEMATIKA,48
13,1111142,111,science,PENDIDIKAN FISIKA,36
14,1111157,111,science,PENDIDIKAN KIMIA,40
15,1111165,111,science,PENDIDIKAN DOKTER,60
16,1111173,111,science,ILMU KEPERAWATAN,60
17,1111181,111,science,PENDIDIKAN DOKTER GIGI,24
18,1111196,111,science,MATEMATIKA,36
19,1111207,111,science,FISIKA,36
20,1111215,111,science,KIMIA,36
21,1111223,111,science,BIOLOGI,36
22,1111231,111,science,ILMU KELAUTAN,72
23,1111246,111,science,BUDIDAYA PERAIRAN,72
24,1111254,111,science,TEKNIK INDUSTRI,48
25,1111262,111,science,INFORMATIKA,36
26,1111277,111,science,FARMASI,24
27,1111285,111,science,TEKNIK GEOFISIKA,32
28,1111293,111,science,TEKNIK PERTAMBANGAN,24
29,1111304,111,science,STATISTIKA,24
30,1111312,111,science,PEMANFAATAN SUMBERDAYA PERIKANAN,72
31,1111327,111,science,ILMU TANAH,32
32,1111335,111,science,TEKNIK GEOLOGI,24
33,1111343,111,science,AGROTEKNOLOGI (PSDKU GAYO LUES),20
34,1111351,111,science,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),16
35,1111366,111,science,KEHUTANAN (PSDKU GAYO LUES),16
36,1111374,111,science,PROTEKSI TANAMAN,32
37,1111382,111,science,PERENCANAAN WILAYAH DAN KOTA,24
38,1111397,111,science,KEHUTANAN,32
39,1111401,111,science,TEKNIK KOMPUTER,40
40,1121016,112,science,TEKNIK SIPIL,100
41,1121024,112,science,TEKNIK MESIN,100
42,1121032,112,science,TEKNIK KIMIA,100
43,1121047,112,science,TEKNIK ELEKTRO,80
44,1121055,112,science,TEKNIK INDUSTRI,80
45,1121063,112,science,TEKNIK INFORMATIKA,80
46,1121071,112,science,TEKNIK ARSITEKTUR,64
47,1121086,112,science,AGROEKOTEKNOLOGI,80
48,1121094,112,science,AGRIBISNIS,60
49,1121105,112,science,BUDIDAYA PERAIRAN,48
50,1121113,112,science,PENDIDIKAN DOKTER,32
51,1121121,112,science,PENDIDIKAN FISIKA,48
52,1121136,112,science,PENDIDIKAN KIMIA,32
53,1121144,112,science,PENDIDIKAN MATEMATIKA,32
54,1121152,112,science,PENDIDIKAN TEKNIK MESIN,32
55,1121167,112,science,SISTEM INFORMASI,56
56,1121175,112,science,ILMU KELAUTAN,36
57,1121183,112,science,TEKNIK MATERIAL,32
58,1131011,113,science,TEKNIK SIPIL,60
59,1131026,113,science,TEKNIK MESIN,40
60,1131034,113,science,TEKNIK INDUSTRI,40
61,1131042,113,science,AGRIBISNIS,60
62,1131057,113,science,AGROTEKNOLOGI,60
63,1131065,113,science,PERIKANAN,60
64,1131073,113,science,KESEHATAN MASYARAKAT,75
65,1131081,113,science,AKUAKULTUR,30
66,1131096,113,science,SUMBER DAYA AKUATIK,30
67,1131107,113,science,TEKNOLOGI HASIL PERTANIAN,40
68,1131115,113,science,ILMU KELAUTAN,30
69,1141013,114,science,AGROTEKNOLOGI,32
70,1141021,114,science,AGRIBISNIS,32
71,1141036,114,science,BUDIDAYA PERAIRAN,32
72,1141044,114,science,PENDIDIKAN MATEMATIKA,16
73,1141052,114,science,PENDIDIKAN FISIKA,16
74,1141067,114,science,PENDIDIKAN KIMIA,16
75,1141075,114,science,PENDIDIKAN BIOLOGI,32
76,1141083,114,science,TEKNIK MESIN,32
77,1141091,114,science,TEKNIK SIPIL,32
78,1141102,114,science,TEKNIK INDUSTRI,16
79,1141117,114,science,TEKNIK INFORMATIKA,32
80,1141125,114,science,MATEMATIKA,16
81,1141133,114,science,FISIKA,16
82,1141141,114,science,KIMIA ,16
83,1141156,114,science,BIOLOGI,16
84,1161017,116,science,PENDIDIKAN TEKNIK ELEKTRO,28
85,1161025,116,science,PENDIDIKAN TEKNOLOGI INFORMATIKA,28
86,1161033,116,science,ARSITEKTUR,48
87,1161041,116,science,TEKNIK LINGKUNGAN,48
88,1161056,116,science,BIOLOGI,48
89,1161064,116,science,KIMIA,48
90,1161072,116,science,TEKNOLOGI INFORMASI,48
91,1211015,121,science,PENDIDIKAN DOKTER,82
92,1211023,121,science,TEKNIK SIPIL,51
93,1211031,121,science,TEKNIK MESIN,69
94,1211046,121,science,TEKNIK ELEKTRO,69
95,1211054,121,science,TEKNIK INDUSTRI,69
96,1211062,121,science,TEKNIK KIMIA,69
97,1211077,121,science,PENDIDIKAN DOKTER GIGI,82
98,1211085,121,science,MATEMATIKA,44
99,1211093,121,science,KIMIA,51
100,1211104,121,science,FARMASI,78
101,1211112,121,science,FISIKA,44
102,1211127,121,science,ILMU KESEHATAN MASYARAKAT,118
103,1211135,121,science,AGROEKOTEKNOLOGI,108
104,1211143,121,science,KETEKNIKAN PERTANIAN,36
105,1211151,121,science,BIOLOGI,44
106,1211166,121,science,AGRIBISNIS,66
107,1211174,121,science,ILMU DAN TEKNOLOGI PANGAN,36
108,1211182,121,science,PETERNAKAN,54
109,1211197,121,science,ARSITEKTUR,69
110,1211201,121,science,ILMU KEPERAWATAN,72
111,1211216,121,science,KEHUTANAN,82
112,1211232,121,science,ILMU KOMPUTER,54
113,1211247,121,science,TEKNOLOGI INFORMASI,54
114,1211255,121,science,MANAJEMEN SUMBER DAYA PERAIRAN,36
115,1211263,121,science,TEKNIK LINGKUNGAN,18
116,1221017,122,science,PENDIDIKAN MATEMATIKA,144
117,1221025,122,science,PENDIDIKAN BIOLOGI,70
118,1221033,122,science,PENDIDIKAN FISIKA,84
119,1221041,122,science,PENDIDIKAN KIMIA,84
120,1221056,122,science,PENDIDIKAN TEKNIK BANGUNAN,40
121,1221064,122,science,PENDIDIKAN TEKNIK MESIN,41
122,1221072,122,science,PENDIDIKAN TEKNIK ELEKTRO,41
123,1221087,122,science,KIMIA,36
124,1221095,122,science,BIOLOGI,54
125,1221106,122,science,ILMU KEOLAHRAGAAN,45
126,1221114,122,science,MATEMATIKA,41
127,1221122,122,science,FISIKA,18
128,1221137,122,science,PENDIDIKAN TEKNIK OTOMOTIF,41
129,1221145,122,science,GIZI,27
130,1221153,122,science,TEKNIK ELEKTRO,25
131,1221161,122,science,TEKNIK SIPIL,36
132,1221176,122,science,PENDIDIKAN TEKNOLOGI INFORMATIKA DAN KOMPUTER,41
133,1221184,122,science,ILMU KOMPUTER,36
134,1221192,122,science,PENDIDIKAN IPA,48
135,1231012,123,science,ILMU KOMPUTER,84
136,1231027,123,science,SISTEM INFORMASI,84
137,1231035,123,science,MATEMATIKA,56
138,1231043,123,science,BIOLOGI,56
139,1231051,123,science,FISIKA,42
140,1231066,123,science,ILMU KESEHATAN MASYARAKAT,160
141,1311016,131,science,FISIKA,48
142,1311024,131,science,KIMIA,48
143,1311032,131,science,MATEMATIKA,32
144,1311047,131,science,BIOLOGI,48
145,1311055,131,science,MANAJEMEN SUMBERDAYA PERAIRAN,48
146,1311063,131,science,BUDIDAYA PERAIRAN,48
147,1311071,131,science,ILMU KELAUTAN,48
148,1311086,131,science,TEKNOLOGI HASIL PERIKANAN,48
149,1311094,131,science,PEMANFAATAN SUMBERDAYA PERIKANAN,32
150,1311105,131,science,SOSIAL EKONOMI PERIKANAN,32
151,1311113,131,science,AGROTEKNOLOGI,80
152,1311121,131,science,SOSIAL EKONOMI PERTANIAN (AGRIBISNIS),64
153,1311136,131,science,TEKNOLOGI HASIL PERTANIAN,32
154,1311144,131,science,KEHUTANAN,32
155,1311152,131,science,TEKNIK SIPIL,48
156,1311167,131,science,TEKNIK KIMIA,48
157,1311175,131,science,TEKNIK MESIN,48
158,1311183,131,science,TEKNIK ELEKTRO,32
159,1311191,131,science,PEND. DOKTER ,48
160,1311202,131,science,ILMU KEPERAWATAN ,80
161,1311217,131,science,PEND. MATEMATIKA,32
162,1311225,131,science,PEND. BIOLOGI,32
163,1311233,131,science,PEND. FISIKA,32
164,1311241,131,science,PEND. KIMIA,32
165,1311256,131,science,TEKNIK LINGKUNGAN,32
166,1311264,131,science,TEKNIK ARSITEK,32
167,1311272,131,science,SISTEM INFORMASI,48
168,1311287,131,science,TEKNIK INFORMATIKA,32
169,1311295,131,science,TEKNOLOGI INDUSTRI PERTANIAN,16
170,1311306,131,science,STATISTIKA,16
171,1321011,132,science,ILMU PETERNAKAN,33
172,1321026,132,science,MATEMATIKA,20
173,1321034,132,science,SISTEM INFORMASI,20
174,1321042,132,science,TEKNIK ELEKTRO,20
175,1321057,132,science,TEKNIK INDUSTRI,20
176,1321065,132,science,TEKNIK INFORMATIKA,20
177,1321081,132,science,PENDIDIKAN MATEMATIKA,45
178,1321096,132,science,PENDIDIKAN KIMIA,30
179,1321107,132,science,ILMU PERTANIAN (AGROTEKNOLOGI),33
180,1321115,132,science,GIZI,20
181,1331013,133,science,TEKNIK ELEKTRO,28
182,1331021,133,science,TEKNIK INFORMATIKA,28
183,1331036,133,science,ILMU KELAUTAN,48
184,1331044,133,science,MANAJEMEN SUMBERDAYA PERAIRAN,48
185,1331052,133,science,PENDIDIKAN MATEMATIKA,36
186,1331067,133,science,PENDIDIKAN BIOLOGI,36
187,1331075,133,science,PENDIDIKAN KIMIA,24
188,1331083,133,science,BUDI DAYA PERAIRAN,32
189,1331091,133,science,TEKNOLOGI HASIL PERIKANAN,32
190,1331102,133,science,SOSIAL EKONOMI PERIKANAN,16
191,1411017,141,science,AGRIBISNIS,56
192,1411025,141,science,AGROEKOTEKNOLOGI,70
193,1411033,141,science,PENDIDIKAN DOKTER,100
194,1411041,141,science,ILMU KEPERAWATAN,72
195,1411056,141,science,ILMU KESEHATAN MASYARAKAT,60
196,1411064,141,science,PENDIDIKAN DOKTER GIGI,32
197,1411072,141,science,KIMIA,48
198,1411087,141,science,BIOLOGI,48
199,1411095,141,science,MATEMATIKA,40
200,1411106,141,science,FISIKA,48
201,1411114,141,science,SISTEM KOMPUTER,34
202,1411122,141,science,PETERNAKAN,140
203,1411137,141,science,TEKNIK MESIN,60
204,1411145,141,science,TEKNIK SIPIL,80
205,1411153,141,science,TEKNIK INDUSTRI,52
206,1411161,141,science,TEKNIK LINGKUNGAN,40
207,1411176,141,science,TEKNIK ELEKTRO,52
208,1411184,141,science,FARMASI,60
209,1411192,141,science,TEKNIK PERTANIAN,48
210,1411203,141,science,TEKNOLOGI HASIL PERTANIAN,48
211,1411211,141,science,SISTEM INFORMASI,32
212,1411226,141,science,PSIKOLOGI,48
213,1411234,141,science,ILMU TANAH,40
214,1411257,141,science,PETERNAKAN ( KAMPUS II PAYAKUMBUH),40
215,1411265,141,science,KEBIDANAN,20
216,1411273,141,science,GIZI,20
217,1411281,141,science,PROTEKSI TANAMAN,40
218,1411296,141,science,PENYULUHAN PERTANIAN,16
219,1411307,141,science,TEKNOLOGI INDUSTRI PERTANIAN,24
220,1421012,142,science,PENDIDIKAN MATEMATIKA,64
221,1421027,142,science,MATEMATIKA (NK),42
222,1421035,142,science,PENDIDIKAN BIOLOGI,64
223,1421043,142,science,BIOLOGI (NK),56
224,1421051,142,science,PENDIDIKAN FISIKA,72
225,1421066,142,science,FISIKA (NK),54
226,1421074,142,science,PENDIDIKAN KIMIA,64
227,1421082,142,science,KIMIA (NK),56
228,1421097,142,science,PENDIDIKAN TEKNIK BANGUNAN,26
229,1421101,142,science,PENDIDIKAN TEKNIK ELEKTRO,39
230,1421116,142,science,PENDIDIKAN TEKNIK ELEKTRONIKA,26
231,1421124,142,science,PENDIDIKAN TEKNIK MESIN,39
232,1421132,142,science,PENDIDIKAN TEKNIK OTOMOTIF,39
233,1421147,142,science,PEND. TEKNIK INFORMATIKA DAN KOMPUTER,39
234,1421155,142,science,ILMU KEOLAHRAGAAN (NK),100
235,1421163,142,science,TEKNIK PERTAMBANGAN (NK),16
236,1421171,142,science,TEKNIK ELEKTRO INDUSTRI (NK),39
237,1421186,142,science,PENDIDIKAN ILMU PENGETAHUAN ALAM,54
238,1421194,142,science,TEKNIK SIPIL,26
239,1421205,142,science,STATISTIKA (NK),18
240,1421213,142,science,TEKNIK MESIN (NK),26
241,1511011,151,science,PEND. KIMIA,54
242,1511026,151,science,PEND. MATEMATIKA,54
243,1511034,151,science,PEND. FISIKA,54
244,1511042,151,science,PEND. BIOLOGI,54
245,1511057,151,science,AGROEKOTEKNOLOGI,90
246,1511065,151,science,AGRIBISNIS,108
247,1511073,151,science,TEKNOLOGI HASIL PERTANIAN,54
248,1511115,151,science,PEND. OLAHRAGA & KESEHATAN,68
249,1511123,151,science,KEHUTANAN,90
250,1511131,151,science,PETERNAKAN,95
251,1511146,151,science,KEDOKTERAN,68
252,1511154,151,science,KIMIA,36
253,1511204,151,science,ILMU KEPERAWATAN,54
254,1511212,151,science,FARMASI,36
255,1511227,151,science,PEMANFAATAN SUMBERDAYA PERIKANAN,36
256,1511235,151,science,SISTEM INFORMASI,72
257,1511243,151,science,TEKNIK PERTAMBANGAN,36
258,1511251,151,science,TEKNIK GEOLOGI,32
259,1511266,151,science,BIOLOGI,32
260,1511274,151,science,FISIKA,18
261,1511282,151,science,MATEMATIKA,32
262,1511297,151,science,ILMU KESEHATAN MASYARAKAT,135
263,1511301,151,science,TEKNIK LINGKUNGAN,23
264,1511316,151,science,KEPELATIHAN OLAHRAGA,68
265,1511324,151,science,TEKNIK ELEKTRO,23
266,1511332,151,science,TEKNIK GEOFISIKA,18
267,1511347,151,science,TEKNIK KIMIA,23
268,1511355,151,science,TEKNIK SIPIL,23
269,1511363,151,science,TEKNIK PERTANIAN,36
270,1511371,151,science,TEKNOLOGI INDUSTRI PERTANIAN,36
271,1611012,161,science,AGROEKOTEKNOLOGI,65
272,1611027,161,science,KEHUTANAN,50
273,1611035,161,science,PETERNAKAN,60
274,1611043,161,science,AGRIBISNIS,50
275,1611051,161,science,TEKNOLOGI INDUSTRI PERTANIAN,65
276,1611066,161,science,PENDIDIKAN FISIKA,40
277,1611074,161,science,PENDIDIKAN BIOLOGI,40
278,1611082,161,science,PENDIDIKAN KIMIA,20
279,1611097,161,science,PENDIDIKAN MATEMATIKA,40
280,1611101,161,science,MATEMATIKA,40
281,1611116,161,science,FISIKA,40
282,1611124,161,science,BIOLOGI,40
283,1611132,161,science,KIMIA,40
284,1611147,161,science,TEKNIK INFORMATIKA,50
285,1611155,161,science,TEKNIK SIPIL,50
286,1611163,161,science,TEKNIK MESIN,50
287,1611171,161,science,TEKNIK ELEKTRO,50
288,1611186,161,science,ILMU KELAUTAN,45
289,1611194,161,science,PENDIDIKAN DOKTER,33
290,1611205,161,science,ILMU TANAH,25
291,1611213,161,science,STATISTIKA,20
292,1611221,161,science,ARSITEKTUR,25
293,1611236,161,science,SISTEM INFORMASI,25
294,1611244,161,science,PROTEKSI TANAMAN,25
295,1611252,161,science,FARMASI,15
296,1611267,161,science,GEOFISIKA,20
297,1611275,161,science,PENDIDIKAN IPA,40
298,1711013,171,science,TEKNIK SIPIL,70
299,1711021,171,science,TEKNIK PERTAMBANGAN,60
300,1711036,171,science,TEKNIK KIMIA,70
301,1711044,171,science,TEKNIK MESIN,70
302,1711052,171,science,TEKNIK ELEKTRO,70
303,1711067,171,science,PENDIDIKAN DOKTER,125
304,1711075,171,science,PENDIDIKAN DOKTER GIGI,40
305,1711083,171,science,MATEMATIKA,60
306,1711091,171,science,FISIKA,60
307,1711102,171,science,KIMIA,60
308,1711117,171,science,BIOLOGI,60
309,1711125,171,science,AGRIBISNIS,100
310,1711133,171,science,TEKNOLOGI HASIL PERTANIAN ,50
311,1711141,171,science,TEKNIK PERTANIAN,50
312,1711164,171,science,PEND. MATEMATIKA,40
313,1711172,171,science,PEND BIOLOGI,40
314,1711187,171,science,PEND. KIMIA,40
315,1711195,171,science,PEND FISIKA,40
316,1711206,171,science,ILMU KESEHATAN MASYARAKAT,110
317,1711214,171,science,ARSITEKTUR,45
318,1711222,171,science,ILMU KELAUTAN,60
319,1711237,171,science,BUDIDAYA PERAIRAN,50
320,1711245,171,science,TEKNOLOGI HASIL PERIKANAN,50
321,1711253,171,science,ILMU KEPERAWATAN,60
322,1711261,171,science,PEND TEKNIK MESIN,47
323,1711276,171,science,SISTEM KOMPUTER,83
324,1711284,171,science,TEKNIK INFORMATIKA,83
325,1711292,171,science,SISTEM INFORMASI,83
326,1711303,171,science,AGROEKOTEKNOLOGI,50
327,1711311,171,science,PETERNAKAN,50
328,1711326,171,science,FARMASI,60
329,1711334,171,science,TEKNIK GEOLOGI,40
330,1711342,171,science,PSIKOLOGI,40
331,1711357,171,science,ILMU TANAH,50
332,1711365,171,science,AGRONOMI,50
333,1711373,171,science,PROTEKSI TANAMAN,50
334,1711381,171,science,GIZI,50
335,1711396,171,science,KESEHATAN LINGKUNGAN,50
336,1721015,172,science,PENDIDIKAN MATEMATIKA,36
337,1721023,172,science,PENDIDIKAN BIOLOGI,48
338,1721046,172,science,KIMIA,14
339,1721054,172,science,BIOLOGI,14
340,1721062,172,science,PENDIDIKAN FISIKA,24
341,1721077,172,science,PENDIDIKAN KIMIA,24
342,1811014,181,science,TEKNIK MESIN,14
343,1811022,181,science,TEKNIK ELEKTRO,32
344,1811037,181,science,TEKNIK PERTAMBANGAN,17
