Genre,Rank,RatingTomatometer,Title,No. of Reviews
Drama,58.0,94%,War for the Planet of the Apes (2017),361
Drama,59.0,91%,Widows (2018),420
Drama,60.0,99%,Never Rarely Sometimes Always (2020),236
Drama,61.0,92%,Baby Driver (2017),396
Drama,62.0,92%,Spider-Man: Homecoming (2017),395
Drama,63.0,96%,"The Godfather, Part II (1974)",114
Drama,64.0,99%,The Battle of Algiers (La Battaglia di Algeri) (1967),89
Drama,65.0,97%,Sound of Metal (2020),275
Drama,66.0,93%,Nomadland (2021),420
Drama,67.0,96%,The Bridge on the River Kwai (1957),93
Drama,68.0,96%,Pain and Glory (Dolor y gloria) (2019),299
Drama,69.0,98%,Schindler's List (1993),128
Drama,70.0,99%,Shoplifters (Manbiki kazoku) (2018),227
Drama,71.0,100%,M (1931),60
Drama,72.0,97%,Hell or High Water (2016),286
Drama,73.0,98%,Jaws (1975),95
Drama,74.0,90%,Promising Young Woman (2020),406
Drama,75.0,94%,The Dark Knight (2008),345
Drama,76.0,98%,The Babadook (2014),242
Drama,77.0,97%,Brooklyn (2015),276
Drama,78.0,100%,12 Angry Men (Twelve Angry Men) (1957),58
Drama,79.0,99%,Marty (1955),70
Drama,80.0,90%,"Three Billboards Outside Ebbing, Missouri (2017)",409
Drama,81.0,98%,Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief) (1949),66
Drama,82.0,100%,The Treasure of the Sierra Madre (1948),52
Drama,83.0,94%,Lawrence of Arabia (1962),124
Drama,84.0,99%,Chinatown (1974),76
Drama,85.0,95%,Creed (2015),312
Drama,86.0,88%,Blade Runner 2049 (2017),443
Drama,87.0,97%,All the King's Men (1949),70
Drama,88.0,98%,The Wrestler (2008),233
Drama,89.0,87%,First Man (2018),457
Drama,90.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Drama,91.0,97%,The Hurt Locker (2009),289
Drama,92.0,100%,Battleship Potemkin (1925),49
Drama,93.0,97%,Dolemite Is My Name (2019),233
Drama,94.0,92%,Uncut Gems (2019),342
Drama,95.0,93%,Hidden Figures (2017),322
Drama,96.0,90%,"I, Tonya (2018)",385
Drama,97.0,97%,A Streetcar Named Desire (1951),63
Drama,98.0,98%,Apocalypse Now (1979),96
Drama,99.0,95%,Touch of Evil (1958),79
Drama,100.0,90%,The Lighthouse (2019),382
Horror,1.0,93%,Us (2019),553
Horror,2.0,98%,Get Out (2017),398
Horror,3.0,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),68
Horror,4.0,96%,A Quiet Place (2018),387
Horror,5.0,92%,The Invisible Man (2020),412
Horror,6.0,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",69
Horror,7.0,98%,King Kong (1933),66
Horror,8.0,96%,Psycho (1960),105
Horror,9.0,98%,The Bride of Frankenstein (1935),47
Horror,10.0,98%,The Babadook (2014),242
Horror,11.0,100%,Frankenstein (1931),52
Horror,12.0,90%,The Lighthouse (2019),382
Horror,13.0,96%,It Follows (2015),267
Horror,14.0,89%,Hereditary (2018),382
Horror,15.0,98%,Let the Right One In (2008),192
Horror,16.0,95%,Freaks (1932),55
Horror,17.0,96%,Halloween (1978),78
Horror,18.0,97%,Aliens (1986),78
Horror,19.0,96%,The Silence of the Lambs (1991),105
Horror,20.0,96%,Night of the Living Dead (1968),75
Horror,21.0,96%,Rosemary's Baby (1968),74
Horror,22.0,98%,Eyes Without a Face (1962),55
Horror,23.0,100%,Host (2020),93
Horror,24.0,95%,Pan's Labyrinth (2006),239
Horror,25.0,94%,Possessor: Uncut (2020),219
Horror,26.0,95%,Repulsion (1965),65
Horror,27.0,90%,The Witch (2016),332
Horror,28.0,92%,The Cabin in the Woods (2012),289
Horror,29.0,94%,The Invisible Man (1933),51
Horror,30.0,95%,Don't Look Now (1973),76
Horror,31.0,86%,It (2017),387
Horror,32.0,92%,Relic (2020),232
Horror,33.0,98%,The Friends of Eddie Coyle (1973),40
Horror,34.0,94%,Young Frankenstein (1974),69
Horror,35.0,95%,The Birds (1963),57
Horror,36.0,88%,Ready or Not (2019),313
Horror,37.0,98%,The Vanishing (Spoorloos) (1988),49
Horror,38.0,92%,Drag Me to Hell (2009),270
Horror,39.0,96%,A Girl Walks Home Alone at Night (2014),135
Horror,40.0,93%,Godzilla (Gojira) (1954),74
Horror,41.0,95%,House of Wax (1953),44
Horror,42.0,94%,Dracula (1931),49
Horror,43.0,95%,The Fly (1958),41
Horror,44.0,83%,Midsommar (2019),398
Horror,45.0,93%,Carrie (1976),67
Horror,46.0,95%,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre) (1979),60
Horror,47.0,95%,Evil Dead 2: Dead by Dawn (1987),63
Horror,48.0,95%,The Evil Dead (1981),63
Horror,49.0,96%,La Llorona (2020),95
Horror,50.0,98%,The Loved Ones (2012),57
Horror,51.0,94%,The Innocents (1961),54
Horror,52.0,93%,The Fly (1986),69
Horror,53.0,97%,Spontaneous (2020),64
Horror,54.0,98%,My Heart Can't Beat Unless You Tell It To (2021),49
Horror,55.0,95%,A Nightmare on Elm Street (1984),55
Horror,56.0,97%,The Boy Behind the Door (2020),62
Horror,57.0,93%,Them! (1954),57
Horror,58.0,93%,Dead of Night (1945),43
Horror,59.0,95%,The Love Witch (2016),113
Horror,60.0,97%,Harpoon (2019),61
Horror,61.0,94%,Room 237 (2013),133
Horror,62.0,98%,Werckmeister Harmonies (2001),41
Horror,63.0,93%,Suspiria (1977),59
Horror,64.0,94%,Re-Animator (1985),62
Horror,65.0,96%,The Amusement Park (2019),72
Horror,66.0,92%,Shaun of the Dead (2004),215
Horror,67.0,94%,Train to Busan (Busanhaeng) (2016),120
Horror,68.0,92%,Invasion of the Body Snatchers (1978),61
Horror,69.0,93%,The Host (2007),155
Horror,70.0,94%,Dawn of the Dead (1979),48
Horror,71.0,87%,It Comes At Night (2017),257
Horror,72.0,89%,Zombieland (2009),259
Horror,73.0,91%,In Fabric (2019),160
Horror,74.0,88%,Don't Breathe (2016),242
Horror,75.0,95%,The Mortuary Collection (2019),66
Horror,76.0,90%,Phantom of the Opera (1925),51
Horror,77.0,92%,The Endless (2018),131
Horror,78.0,92%,What Ever Happened to Baby Jane? (1962),50
Horror,79.0,93%,CAM (2018),102
Horror,80.0,89%,The Mummy (1932),44
Horror,81.0,90%,The Wolf Man (1941),41
Horror,82.0,86%,The Thing from Another World (1951),66
Horror,83.0,95%,We Are Still Here (2015),44
Horror,84.0,88%,Upgrade (2018),193
Horror,85.0,90%,Eraserhead (1977),62
Horror,86.0,89%,The Texas Chainsaw Massacre (1974),63
Horror,87.0,95%,The Old Ways (2021),42
Horror,88.0,79%,Halloween (2018),385
Horror,89.0,93%,The Witches (1990),43
Horror,90.0,93%,Arachnophobia (1990),43
Horror,91.0,90%,Horror of Dracula (1958),41
Horror,92.0,87%,Frankenweenie (2012),222
Horror,93.0,90%,Dr. Jekyll and Mr. Hyde (1931),41
Horror,94.0,88%,Let Me In (2010),237
Horror,95.0,91%,The Dark and the Wicked (2020),107
Horror,96.0,90%,Frenzy (1972),42
Horror,97.0,91%,Kaidan (Kwaidan) (Ghost Stories) (1964),44
Horror,98.0,90%,Misery (1990),71
Horror,99.0,86%,Color Out of Space (2020),208
Horror,100.0,88%,Island of Lost Souls (1933),40
Kids & Family,1.0,98%,The Wizard of Oz (1939),160
Kids & Family,2.0,97%,Toy Story 4 (2019),453
Kids & Family,3.0,97%,Spider-Man: Into the Spider-Verse (2018),393
Kids & Family,4.0,98%,Inside Out (2015),379
Kids & Family,5.0,97%,Coco (2017),354
Kids & Family,6.0,99%,E.T. The Extra-Terrestrial (1982),136
Kids & Family,7.0,98%,Snow White and the Seven Dwarfs (1937),54
Kids & Family,8.0,95%,Soul (2020),344
Kids & Family,9.0,93%,Incredibles 2 (2018),387
Kids & Family,10.0,99%,Paddington 2 (2018),247
Kids & Family,11.0,98%,Up (2009),298
Kids & Family,12.0,98%,Toy Story 3 (2010),309
Kids & Family,13.0,100%,Toy Story 2 (1999),170
Kids & Family,14.0,99%,Finding Nemo (2003),269
Kids & Family,15.0,100%,Pinocchio (1940),56
Kids & Family,16.0,94%,The Jungle Book (2016),327
Kids & Family,17.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Kids & Family,18.0,94%,It's a Wonderful Life (1946),90
Kids & Family,19.0,96%,The LEGO Movie (2014),253
Kids & Family,20.0,95%,Moana (2016),283
Kids & Family,21.0,100%,Toy Story (1995),92
Kids & Family,22.0,99%,How to Train Your Dragon (2010),212
Kids & Family,23.0,96%,Ratatouille (2007),251
Kids & Family,24.0,98%,Dumbo (1941),43
Kids & Family,25.0,98%,The Princess Bride (1987),80
Kids & Family,26.0,97%,The Incredibles (2004),249
Kids & Family,27.0,99%,My Life as a Zucchini (Ma vie de courgette) (2017),137
Kids & Family,28.0,96%,Miracle on 34th Street (1947),48
Kids & Family,29.0,90%,The Lego Batman Movie (2017),313
Kids & Family,30.0,97%,Chicken Run (2000),173
Kids & Family,31.0,98%,101 Dalmatians (1961),52
Kids & Family,32.0,94%,Beauty and the Beast (1991),118
Kids & Family,33.0,95%,The Nightmare Before Christmas (1993),100
Kids & Family,34.0,97%,Paddington (2015),164
Kids & Family,35.0,88%,Onward (2020),337
Kids & Family,36.0,96%,"Monsters, Inc. (2001)",199
Kids & Family,37.0,97%,Big (1988),76
Kids & Family,38.0,97%,Spirited Away (2002),195
Kids & Family,39.0,95%,The Muppets (2011),231
Kids & Family,40.0,93%,The Lion King (1994),136
Kids & Family,41.0,99%,Song Of The Sea (2014),97
Kids & Family,42.0,96%,The Iron Giant (1999),142
Kids & Family,43.0,95%,Fantasia (1940),56
Kids & Family,44.0,97%,Who Framed Roger Rabbit (1988),67
Kids & Family,45.0,90%,How to Train Your Dragon: The Hidden World (2019),272
Kids & Family,46.0,97%,Babe (1995),70
Kids & Family,47.0,95%,Wallace & Gromit: The Curse of the Were-Rabbit (2005),184
Kids & Family,48.0,93%,Fantastic Mr. Fox (2009),245
Kids & Family,49.0,95%,Yellow Submarine (1968),60
Kids & Family,50.0,96%,Mary Poppins (1964),55
Kids & Family,51.0,95%,My Fair Lady (1964),62
Kids & Family,52.0,98%,Kiki's Delivery Service (1989),42
Kids & Family,53.0,95%,Aladdin (1992),75
Kids & Family,54.0,93%,Hugo (2011),232
Kids & Family,55.0,90%,Frozen (2013),250
Kids & Family,56.0,88%,Ralph Breaks the Internet (2018),274
Kids & Family,57.0,93%,Enchanted (2007),194
Kids & Family,58.0,95%,The Straight Story (1999),105
Kids & Family,59.0,90%,Coraline (2009),271
Kids & Family,60.0,90%,Big Hero 6 (2014),227
Kids & Family,61.0,95%,The Breadwinner (2017),105
Kids & Family,62.0,93%,The Secret of NIMH (1982),67
Kids & Family,63.0,91%,Bambi (1942),54
Kids & Family,64.0,96%,The Secret of Roan Inish (1995),45
Kids & Family,65.0,93%,The Little Mermaid (1989),71
Kids & Family,66.0,91%,How to Train Your Dragon 2 (2014),188
Kids & Family,67.0,93%,Lady and the Tramp (1955),43
Kids & Family,68.0,90%,The Kid Who Would Be King (2019),191
Kids & Family,69.0,93%,Princess Mononoke (Mononoke-hime) (1999),112
Kids & Family,70.0,94%,My Neighbor Totoro (1988),54
Kids & Family,71.0,90%,Harry Potter and the Prisoner of Azkaban (2004),261
Kids & Family,72.0,88%,Pete's Dragon (2016),245
Kids & Family,73.0,86%,A Monster Calls (2017),267
Kids & Family,74.0,92%,Arthur Christmas (2011),169
Kids & Family,75.0,93%,Spy Kids (2001),129
Kids & Family,76.0,92%,Antz (1998),93
Kids & Family,77.0,94%,L'Heure d'été (Summer Hours) (2009),106
Kids & Family,78.0,88%,Harry Potter and the Goblet of Fire (2005),257
Kids & Family,79.0,92%,A Bug's Life (1998),89
Kids & Family,80.0,91%,Willy Wonka and the Chocolate Factory (1971),54
Kids & Family,81.0,91%,Ponyo (2009),172
Kids & Family,82.0,89%,How Green Was My Valley (1941),47
Kids & Family,83.0,94%,Klaus (2019),70
Kids & Family,84.0,91%,Teen Titans Go! To the Movies (2018),133
Kids & Family,85.0,93%,That Thing You Do! (1996),60
Kids & Family,86.0,89%,Tangled (2010),227
Kids & Family,87.0,89%,Shrek 2 (2004),237
Kids & Family,88.0,89%,ParaNorman (2012),186
Kids & Family,89.0,93%,The Witches (1990),43
Kids & Family,90.0,93%,First Position (2012),76
Kids & Family,91.0,88%,Shrek (2001),210
Kids & Family,92.0,91%,James and the Giant Peach (1996),75
Kids & Family,93.0,88%,Rango (2011),222
Kids & Family,94.0,90%,A Christmas Story (1983),58
Kids & Family,95.0,93%,Lassie (2006),70
Kids & Family,96.0,93%,Duma (2005),61
Kids & Family,97.0,87%,The Peanuts Movie (2015),197
Kids & Family,98.0,87%,Kung Fu Panda (2008),190
Kids & Family,99.0,87%,Wreck-it Ralph (2012),189
Kids & Family,100.0,89%,Sleeping Beauty (1959),46
Musical & Performing Arts,1.0,98%,The Wizard of Oz (1939),160
Musical & Performing Arts,2.0,97%,A Night at the Opera (1935),70
Musical & Performing Arts,3.0,100%,Singin' in the Rain (1952),67
Musical & Performing Arts,4.0,96%,An American in Paris (1951),94
Musical & Performing Arts,5.0,91%,La La Land (2016),467
Musical & Performing Arts,6.0,98%,A Hard Day's Night (1964),112
Musical & Performing Arts,7.0,97%,Sound of Metal (2020),275
Musical & Performing Arts,8.0,100%,Top Hat (1935),42
Musical & Performing Arts,9.0,100%,Pinocchio (1940),56
Musical & Performing Arts,10.0,97%,The Red Shoes (1948),62
Musical & Performing Arts,11.0,99%,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),67
Musical & Performing Arts,12.0,99%,Amazing Grace (2019),160
Musical & Performing Arts,13.0,93%,West Side Story (1961),113
Musical & Performing Arts,14.0,97%,Hamilton (2020),199
Musical & Performing Arts,15.0,98%,Gentlemen Prefer Blondes (1953),45
Musical & Performing Arts,16.0,99%,20 Feet From Stardom (2013),128
Musical & Performing Arts,17.0,95%,Amy (2015),225
Musical & Performing Arts,18.0,98%,David Byrne's American Utopia (2020),135
Musical & Performing Arts,19.0,95%,Sing Street (2016),214
Musical & Performing Arts,20.0,94%,Beauty and the Beast (1991),118
Musical & Performing Arts,21.0,96%,The Blue Angel (Der Blaue Engel) (1930),45
Musical & Performing Arts,22.0,95%,Stormy Weather (1943),41
Musical & Performing Arts,23.0,98%,The Last Waltz (1978),50
Musical & Performing Arts,24.0,100%,Stop Making Sense (1984),40
Musical & Performing Arts,25.0,100%,The Decline of Western Civilization (1981),40
Musical & Performing Arts,26.0,93%,The Lion King (1994),136
Musical & Performing Arts,27.0,98%,Anvil! The Story of Anvil (2009),140
Musical & Performing Arts,28.0,98%,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),44
Musical & Performing Arts,29.0,97%,Once (2007),159
Musical & Performing Arts,30.0,98%,A Star Is Born (1954),42
Musical & Performing Arts,31.0,95%,Fantasia (1940),56
Musical & Performing Arts,32.0,100%,Waste Land (2010),71
Musical & Performing Arts,33.0,94%,Some Like It Hot (1959),66
Musical & Performing Arts,34.0,100%,Afghan Star (2009),62
Musical & Performing Arts,35.0,97%,What's Love Got To Do With It? (1993),58
Musical & Performing Arts,36.0,96%,We Are the Best! (2014),138
Musical & Performing Arts,37.0,95%,Yellow Submarine (1968),60
Musical & Performing Arts,38.0,96%,Mary Poppins (1964),55
Musical & Performing Arts,39.0,100%,Sound City (2013),46
Musical & Performing Arts,40.0,93%,Amadeus (1984),100
Musical & Performing Arts,41.0,95%,My Fair Lady (1964),62
Musical & Performing Arts,42.0,100%,Everyday Sunshine: The Story of Fishbone (2011),47
Musical & Performing Arts,43.0,99%,Bill Cunningham New York (2011),74
Musical & Performing Arts,44.0,98%,Hairspray (1988),42
Musical & Performing Arts,45.0,95%,Aladdin (1992),75
Musical & Performing Arts,46.0,99%,Rivers and Tides: Andy Goldsworthy Working With Time (2002),71
Musical & Performing Arts,47.0,97%,Muscle Shoals (2013),87
Musical & Performing Arts,48.0,95%,Searching for Sugar Man (2012),133
Musical & Performing Arts,49.0,98%,Homecoming: A Film by Beyoncé (2019),56
Musical & Performing Arts,50.0,98%,Beware Of Mr. Baker (2012),53
Musical & Performing Arts,51.0,96%,Exit Through The Gift Shop (2010),115
Musical & Performing Arts,52.0,98%,Keep On Keepin' On (2014),43
Musical & Performing Arts,53.0,95%,Marley (2012),114
Musical & Performing Arts,54.0,94%,Johnny Guitar (1954),48
Musical & Performing Arts,55.0,98%,"Du Levande (You, The Living) (2007)",42
Musical & Performing Arts,56.0,96%,The Full Monty (1997),50
Musical & Performing Arts,57.0,97%,49 Up (2006),65
Musical & Performing Arts,58.0,91%,Hairspray (2007),221
Musical & Performing Arts,59.0,89%,Straight Outta Compton (2015),247
Musical & Performing Arts,60.0,93%,The Little Mermaid (1989),71
Musical & Performing Arts,61.0,91%,Nashville (1975),70
Musical & Performing Arts,62.0,93%,Cabaret (1972),44
Musical & Performing Arts,63.0,96%,Les Plages d'Agnès (The Beaches of Agnes) (2008),72
Musical & Performing Arts,64.0,95%,"20,000 Days on Earth (2014)",88
Musical & Performing Arts,65.0,94%,Wordplay (2006),123
Musical & Performing Arts,66.0,95%,Pina (2011),106
Musical & Performing Arts,67.0,96%,Festival Express (2003),80
Musical & Performing Arts,68.0,95%,Born Into Brothels (2004),108
Musical & Performing Arts,69.0,93%,Funny Girl (1968),45
Musical & Performing Arts,70.0,89%,Love & Mercy (2015),219
Musical & Performing Arts,71.0,95%,Crumb (1995),42
Musical & Performing Arts,72.0,95%,The Wrecking Crew (2015),74
Musical & Performing Arts,73.0,96%,Marina Abramovic: The Artist Is Present (2012),47
Musical & Performing Arts,74.0,88%,Florence Foster Jenkins (2016),233
Musical & Performing Arts,75.0,90%,Crazy Heart (2009),212
Musical & Performing Arts,76.0,82%,Judy (2019),339
Musical & Performing Arts,77.0,96%,Los Angeles Plays Itself (2003),45
Musical & Performing Arts,78.0,94%,Lost in La Mancha (2003),101
Musical & Performing Arts,79.0,91%,Willy Wonka and the Chocolate Factory (1971),54
Musical & Performing Arts,80.0,95%,Lagaan: Once Upon a Time in India (2001),61
Musical & Performing Arts,81.0,94%,My Kid Could Paint That (2007),83
Musical & Performing Arts,82.0,95%,End of the Century: The Story of the Ramones (2004),62
Musical & Performing Arts,83.0,94%,Black Is King (2020),65
Musical & Performing Arts,84.0,92%,Dave Chappelle's Block Party (2006),128
Musical & Performing Arts,85.0,91%,The Sapphires (2013),138
Musical & Performing Arts,86.0,89%,Tangled (2010),227
Musical & Performing Arts,87.0,95%,Sing Your Song (2012),40
Musical & Performing Arts,88.0,95%,The Filth and the Fury (2000),40
Musical & Performing Arts,89.0,92%,Hedwig and the Angry Inch (2001),117
Musical & Performing Arts,90.0,94%,A Band Called Death (2013),53
Musical & Performing Arts,91.0,93%,My Architect (2004),91
Musical & Performing Arts,92.0,88%,"tick, tick...Boom! (2021)",200
Musical & Performing Arts,93.0,87%,Black Orpheus (Orfeu Negro) (1959),70
Musical & Performing Arts,94.0,94%,Scratch (2002),47
Musical & Performing Arts,95.0,92%,Every Little Step (2009),96
Musical & Performing Arts,96.0,92%,U2 3D (2007),88
Musical & Performing Arts,97.0,88%,Five Easy Pieces (1970),51
Musical & Performing Arts,98.0,90%,Little Shop of Horrors (1986),50
Musical & Performing Arts,99.0,88%,Sid and Nancy (1986),69
Musical & Performing Arts,100.0,86%,Sweeney Todd: The Demon Barber of Fleet Street (2007),232
Mystery & Suspense,1.0,99%,Citizen Kane (1941),121
Mystery & Suspense,2.0,97%,Knives Out (2019),468
Mystery & Suspense,3.0,93%,Us (2019),553
Mystery & Suspense,4.0,97%,Mission: Impossible - Fallout (2018),437
Mystery & Suspense,5.0,98%,Get Out (2017),398
Mystery & Suspense,6.0,95%,The Irishman (2019),456
Mystery & Suspense,7.0,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),68
Mystery & Suspense,8.0,96%,A Quiet Place (2018),387
Mystery & Suspense,9.0,100%,Rebecca (1940),95
Mystery & Suspense,10.0,97%,Spotlight (2015),376
Mystery & Suspense,11.0,99%,The Third Man (1949),86
Mystery & Suspense,12.0,98%,Rear Window (1954),122
Mystery & Suspense,13.0,94%,Arrival (2016),435
Mystery & Suspense,14.0,100%,The Maltese Falcon (1941),64
Mystery & Suspense,15.0,92%,The Invisible Man (2020),412
Mystery & Suspense,16.0,96%,Argo (2012),360
Mystery & Suspense,17.0,97%,North by Northwest (1959),109
Mystery & Suspense,18.0,100%,Laura (1944),65
Mystery & Suspense,19.0,98%,Alien (1979),127
Mystery & Suspense,20.0,100%,Shadow of a Doubt (1943),49
Mystery & Suspense,21.0,96%,Psycho (1960),105
Mystery & Suspense,22.0,99%,L.A. Confidential (1997),161
Mystery & Suspense,23.0,96%,"The Godfather, Part II (1974)",114
Mystery & Suspense,24.0,100%,M (1931),60
Mystery & Suspense,25.0,97%,Hell or High Water (2016),286
Mystery & Suspense,26.0,98%,Jaws (1975),95
Mystery & Suspense,27.0,90%,Promising Young Woman (2020),406
Mystery & Suspense,28.0,98%,The Babadook (2014),242
Mystery & Suspense,29.0,99%,Chinatown (1974),76
Mystery & Suspense,30.0,98%,The Lady Vanishes (1938),45
Mystery & Suspense,31.0,92%,Skyfall (2012),384
Mystery & Suspense,32.0,96%,The 39 Steps (1935),53
Mystery & Suspense,33.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Mystery & Suspense,34.0,98%,The Thin Man (1934),43
Mystery & Suspense,35.0,95%,Touch of Evil (1958),79
Mystery & Suspense,36.0,98%,Rashômon (1951),56
Mystery & Suspense,37.0,96%,Taxi Driver (1976),94
Mystery & Suspense,38.0,94%,Vertigo (1958),84
Mystery & Suspense,39.0,95%,Nightcrawler (2014),275
Mystery & Suspense,40.0,100%,The Wages of Fear (1953),45
Mystery & Suspense,41.0,98%,Strangers on a Train (1951),52
Mystery & Suspense,42.0,88%,The Post (2018),409
Mystery & Suspense,43.0,97%,The Big Sleep (1946),65
Mystery & Suspense,44.0,99%,Goldfinger (1964),69
Mystery & Suspense,45.0,100%,Anatomy of a Murder (1959),50
Mystery & Suspense,46.0,98%,Invasion of the Body Snatchers (1956),58
Mystery & Suspense,47.0,95%,High Noon (1952),60
Mystery & Suspense,48.0,95%,Freaks (1932),55
Mystery & Suspense,49.0,100%,His House (2020),119
Mystery & Suspense,50.0,95%,The Night of the Hunter (1955),77
Mystery & Suspense,51.0,100%,The Taking of Pelham One Two Three (1974),43
Mystery & Suspense,52.0,95%,In the Heat of the Night (1967),83
Mystery & Suspense,53.0,98%,In a Lonely Place (1950),47
Mystery & Suspense,54.0,96%,Halloween (1978),78
Mystery & Suspense,55.0,96%,The Silence of the Lambs (1991),105
Mystery & Suspense,56.0,96%,The Salesman (Forushande) (2017),196
Mystery & Suspense,57.0,96%,Rosemary's Baby (1968),74
Mystery & Suspense,58.0,98%,Sunrise: A Song of Two Humans (1927),62
Mystery & Suspense,59.0,97%,The Conversation (1974),62
Mystery & Suspense,60.0,98%,Detour (1945),41
Mystery & Suspense,61.0,89%,The Trial of the Chicago 7 (2020),331
Mystery & Suspense,62.0,95%,Eye In The Sky (2016),221
Mystery & Suspense,63.0,94%,All Is Lost (2013),240
Mystery & Suspense,64.0,98%,Eyes Without a Face (1962),55
Mystery & Suspense,65.0,93%,Looper (2012),270
Mystery & Suspense,66.0,94%,Casino Royale (2006),264
Mystery & Suspense,67.0,94%,Possessor: Uncut (2020),219
Mystery & Suspense,68.0,97%,Badlands (1974),59
Mystery & Suspense,69.0,95%,Repulsion (1965),65
Mystery & Suspense,70.0,95%,Le Cercle Rouge (1970),65
Mystery & Suspense,71.0,98%,101 Dalmatians (1961),52
Mystery & Suspense,72.0,92%,The Cabin in the Woods (2012),289
Mystery & Suspense,73.0,100%,Stalker (1979),41
Mystery & Suspense,74.0,93%,No Country for Old Men (2007),288
Mystery & Suspense,75.0,95%,Burning (Beoning) (2018),196
Mystery & Suspense,76.0,97%,The Manchurian Candidate (1962),60
Mystery & Suspense,77.0,92%,Ex Machina (2015),283
Mystery & Suspense,78.0,98%,Kiss Me Deadly (1955),43
Mystery & Suspense,79.0,92%,Sicario (2015),280
Mystery & Suspense,80.0,98%,Blow the Man Down (2020),123
Mystery & Suspense,81.0,92%,Searching (2018),256
Mystery & Suspense,82.0,97%,From Russia With Love (1964),61
Mystery & Suspense,83.0,95%,Don't Look Now (1973),76
Mystery & Suspense,84.0,92%,Jurassic Park (1993),130
Mystery & Suspense,85.0,86%,It (2017),387
Mystery & Suspense,86.0,98%,The Guilty (Den skyldige) (2018),120
Mystery & Suspense,87.0,90%,10 Cloverfield Lane (2016),316
Mystery & Suspense,88.0,92%,The Vast of Night (2020),245
Mystery & Suspense,89.0,96%,Peeping Tom (1960),53
Mystery & Suspense,90.0,94%,Blood Simple (1984),104
Mystery & Suspense,91.0,90%,Bridge of Spies (2015),313
Mystery & Suspense,92.0,96%,The Fugitive (1993),80
Mystery & Suspense,93.0,96%,Notorious (1946),48
Mystery & Suspense,94.0,87%,Gone Girl (2014),365
Mystery & Suspense,95.0,98%,Bullitt (1968),43
Mystery & Suspense,96.0,97%,Border (Gräns) (2018),130
Mystery & Suspense,97.0,96%,Diabolique (Les Diaboliques) (1955),50
Mystery & Suspense,98.0,97%,Who Framed Roger Rabbit (1988),67
Mystery & Suspense,99.0,96%,Wake in Fright (1971),57
Mystery & Suspense,100.0,93%,Drive (2011),271
Romance,1.0,99%,It Happened One Night (1934),98
Romance,2.0,99%,Casablanca (1942),124
Romance,3.0,100%,The Philadelphia Story (1940),102
Romance,4.0,97%,A Night at the Opera (1935),70
Romance,5.0,92%,The Shape of Water (2017),460
Romance,6.0,100%,Singin' in the Rain (1952),67
Romance,7.0,98%,The Big Sick (2017),305
Romance,8.0,99%,On the Waterfront (1954),107
Romance,9.0,96%,An American in Paris (1951),94
Romance,10.0,98%,The Best Years of Our Lives (1946),91
Romance,11.0,100%,The Adventures of Robin Hood (1938),48
Romance,12.0,94%,Call Me by Your Name (2018),363
Romance,13.0,100%,Top Hat (1935),42
Romance,14.0,99%,Marty (1955),70
Romance,15.0,100%,The Lady Eve (1941),48
Romance,16.0,94%,Vertigo (1958),84
Romance,17.0,94%,Carol (2015),314
Romance,18.0,97%,The Red Shoes (1948),62
Romance,19.0,98%,Before Midnight (2013),206
Romance,20.0,97%,The Lost Weekend (1945),62
Romance,21.0,95%,The Artist (2011),322
Romance,22.0,99%,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),67
Romance,23.0,93%,West Side Story (1961),113
Romance,24.0,94%,Her (2013),283
Romance,25.0,99%,Ash Is Purest White (2019),154
Romance,26.0,97%,Roman Holiday (1953),60
Romance,27.0,96%,Beauty and The Beast (La Belle et la bête) (1946),67
Romance,28.0,94%,Bringing Up Baby (1938),51
Romance,29.0,98%,The Princess Bride (1987),80
Romance,30.0,96%,Annie Hall (1977),84
Romance,31.0,98%,In a Lonely Place (1950),47
Romance,32.0,100%,Only Yesterday (1991),58
Romance,33.0,98%,Gentlemen Prefer Blondes (1953),45
Romance,34.0,97%,Sideways (2004),233
Romance,35.0,97%,Groundhog Day (1993),86
Romance,36.0,98%,Sunrise: A Song of Two Humans (1927),62
Romance,37.0,95%,Mrs. Miniver (1942),60
Romance,38.0,96%,City Lights (1931),55
Romance,39.0,96%,Miracle on 34th Street (1947),48
Romance,40.0,90%,Gone With the Wind (1939),102
Romance,41.0,100%,Three Colors: Red (Trois couleurs: Rouge) (1994),54
Romance,42.0,94%,Beauty and the Beast (1991),118
Romance,43.0,98%,Children of Paradise (Les Enfants du Paradis) (1946),40
Romance,44.0,98%,God's Own Country (2017),130
