location;indicator;subject;measure;frequency;time;value
AUS;WAGEGAP;EMPLOYEE;PC;A;1975;21.582.733.813
AUS;WAGEGAP;EMPLOYEE;PC;A;1976;20.754.716.981
AUS;WAGEGAP;EMPLOYEE;PC;A;1977;18.390.804.598
AUS;WAGEGAP;EMPLOYEE;PC;A;1978;19.791.666.667
AUS;WAGEGAP;EMPLOYEE;PC;A;1979;20
AUS;WAGEGAP;EMPLOYEE;PC;A;1980;18.75
AUS;WAGEGAP;EMPLOYEE;PC;A;1981;18.253.968.254
AUS;WAGEGAP;EMPLOYEE;PC;A;1982;20.819.112.628
AUS;WAGEGAP;EMPLOYEE;PC;A;1983;19.155.844.156
AUS;WAGEGAP;EMPLOYEE;PC;A;1984;18.674.698.795
AUS;WAGEGAP;EMPLOYEE;PC;A;1985;19.607.843.137
AUS;WAGEGAP;EMPLOYEE;PC;A;1986;18.848.167.539
AUS;WAGEGAP;EMPLOYEE;PC;A;1987;18.518.518.519
AUS;WAGEGAP;EMPLOYEE;PC;A;1988;1.879.350.348
AUS;WAGEGAP;EMPLOYEE;PC;A;1989;1.858.974.359
AUS;WAGEGAP;EMPLOYEE;PC;A;1990;18.181.818.182
AUS;WAGEGAP;EMPLOYEE;PC;A;1991;16.015.625
AUS;WAGEGAP;EMPLOYEE;PC;A;1992;14.258.555.133
AUS;WAGEGAP;EMPLOYEE;PC;A;1993;13.224.637.681
AUS;WAGEGAP;EMPLOYEE;PC;A;1994;14.409.722.222
AUS;WAGEGAP;EMPLOYEE;PC;A;1995;14.478.114.478
AUS;WAGEGAP;EMPLOYEE;PC;A;1997;15.254.237.288
AUS;WAGEGAP;EMPLOYEE;PC;A;1998;13.242.009.132
AUS;WAGEGAP;EMPLOYEE;PC;A;1999;14.285.714.286
AUS;WAGEGAP;EMPLOYEE;PC;A;2000;17.2
AUS;WAGEGAP;EMPLOYEE;PC;A;2001;14.342.105.263
AUS;WAGEGAP;EMPLOYEE;PC;A;2002;15
AUS;WAGEGAP;EMPLOYEE;PC;A;2003;13.043.478.261
AUS;WAGEGAP;EMPLOYEE;PC;A;2004;14.352.941.176
AUS;WAGEGAP;EMPLOYEE;PC;A;2005;15.777.777.778
AUS;WAGEGAP;EMPLOYEE;PC;A;2006;16.666.666.667
AUS;WAGEGAP;EMPLOYEE;PC;A;2007;15.4
AUS;WAGEGAP;EMPLOYEE;PC;A;2008;11.937.377.691
AUS;WAGEGAP;EMPLOYEE;PC;A;2009;16.363.636.364
AUS;WAGEGAP;EMPLOYEE;PC;A;2010;1.404.293.381
AUS;WAGEGAP;EMPLOYEE;PC;A;2011;15.966.386.555
AUS;WAGEGAP;EMPLOYEE;PC;A;2012;13.75
AUS;WAGEGAP;EMPLOYEE;PC;A;2013;18
AUS;WAGEGAP;EMPLOYEE;PC;A;2014;17.050.691.244
AUS;WAGEGAP;EMPLOYEE;PC;A;2015;15.384.615.385
AUS;WAGEGAP;EMPLOYEE;PC;A;2016;13.728.432.108
AUS;WAGEGAP;EMPLOYEE;PC;A;2017;14.507.772.021
AUS;WAGEGAP;EMPLOYEE;PC;A;2018;16.142.557.652
AUS;WAGEGAP;EMPLOYEE;PC;A;2019;14.965.986.395
AUS;WAGEGAP;EMPLOYEE;PC;A;2020;12.266.666.667
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2003;51.796.035.767
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2004;49.966.068.268
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2005;49.897.182.465
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2006;47.264.545.441
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2007;48.468.040.466
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2008;48.604.099.274
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2009;46.530.117.035
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2010;45.362.171.173
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2011;44.058.097.839
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2012;45.369.796.753
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2013;46.318.145.752
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2014;48.716.945.648
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2015;52.275.894.165
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2016;52.446.720.123
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2017;44.660.949.707
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2018;40.940.143.585
AUT;WAGEGAP;SELFEMPLOYED;PC;A;2019;36.964.374.542
