As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-04-01,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90
2020-04-01,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45
2020-04-01,3,3,2,All American,TV Show,,"Mar 28, 2019",9,76
2020-04-01,4,4,-,Blood Father,Movie,,"Mar 26, 2020",5,30
2020-04-01,5,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55
2020-04-01,6,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",4,14
2020-04-01,7,10,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5
2020-04-01,8,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40
2020-04-01,9,8,-,Badland,Movie,,"Mar 26, 2020",4,11
2020-04-01,10,9,-,Uncorked,Movie,Yes,"Mar 27, 2020",4,15
2020-04-02,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100
2020-04-02,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54
2020-04-02,3,3,2,All American,TV Show,,"Mar 28, 2019",10,84
2020-04-02,4,-,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",1,7
2020-04-02,5,-,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6
2020-04-02,6,4,-,Blood Father,Movie,,"Mar 26, 2020",6,35
2020-04-02,7,-,-,The Roommate,Movie,,"Apr 1, 2020",1,4
2020-04-02,8,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8
2020-04-02,9,5,4,The Platform,Movie,Yes,"Mar 20, 2020",10,57
2020-04-02,10,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",5,15
2020-04-03,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110
2020-04-03,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63
2020-04-03,3,3,2,All American,TV Show,,"Mar 28, 2019",11,92
2020-04-03,4,5,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13
2020-04-03,5,4,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",2,13
2020-04-03,6,7,-,The Roommate,Movie,,"Apr 1, 2020",2,9
2020-04-03,7,8,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",4,12
2020-04-03,8,-,-,The Players Club,Movie,,"Apr 1, 2020",1,3
2020-04-03,9,-,-,Salt,Movie,,"Apr 1, 2020",1,2
2020-04-03,10,6,-,Blood Father,Movie,,"Mar 26, 2020",7,36
2020-04-04,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120
2020-04-04,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",8,72
2020-04-04,3,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",1,8
2020-04-04,4,3,3,All American,TV Show,,"Mar 28, 2019",12,99
2020-04-04,5,-,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",1,6
2020-04-04,6,4,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",3,18
2020-04-04,7,6,-,The Roommate,Movie,,"Apr 1, 2020",3,13
2020-04-04,8,5,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",3,16
2020-04-04,9,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",5,14
2020-04-04,10,8,-,The Players Club,Movie,,"Apr 1, 2020",2,4
2020-04-05,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130
2020-04-05,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81
2020-04-05,3,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",2,14
2020-04-05,4,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",2,15
2020-04-05,5,4,3,All American,TV Show,,"Mar 28, 2019",13,105
2020-04-05,6,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",4,23
2020-04-05,7,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",4,20
2020-04-05,8,7,-,The Roommate,Movie,,"Apr 1, 2020",4,16
2020-04-05,9,-,-,Angel Has Fallen,Movie,,"Apr 4, 2020",1,2
2020-04-05,10,9,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",6,15
2020-04-06,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140
2020-04-06,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",10,90
2020-04-06,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",3,22
2020-04-06,4,9,-,Angel Has Fallen,Movie,,"Apr 4, 2020",2,9
2020-04-06,5,4,-,Money Heist,TV Show,Yes,"Dec 20, 2017",3,21
2020-04-06,6,5,3,All American,TV Show,,"Mar 28, 2019",14,110
2020-04-06,7,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",5,27
2020-04-06,8,7,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",5,23
2020-04-06,9,8,-,The Roommate,Movie,,"Apr 1, 2020",5,18
2020-04-06,10,-,-,The Hangover,Movie,,"Jul 1, 2019",1,1
2020-04-07,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150
2020-04-07,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",11,99
2020-04-07,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",4,30
2020-04-07,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",3,16
2020-04-07,5,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",4,27
2020-04-07,6,6,3,All American,TV Show,,"Mar 28, 2019",15,115
2020-04-07,7,-,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",1,4
2020-04-07,8,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",6,26
2020-04-07,9,7,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",6,29
2020-04-07,10,-,-,Legacies,TV Show,,"Apr 5, 2019",1,1
2020-04-08,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",16,160
2020-04-08,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",12,108
2020-04-08,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",5,38
2020-04-08,4,7,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",2,11
2020-04-08,5,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",4,22
2020-04-08,6,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",5,32
2020-04-08,7,6,3,All American,TV Show,,"Mar 28, 2019",16,119
2020-04-08,8,10,-,Legacies,TV Show,,"Apr 5, 2019",2,4
2020-04-08,9,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",7,28
2020-04-08,10,-,-,The Hangover,Movie,,"Jul 1, 2019",2,2
2020-04-09,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",17,170
2020-04-09,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",13,117
2020-04-09,3,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",3,19
2020-04-09,4,5,-,Angel Has Fallen,Movie,,"Apr 4, 2020",5,29
2020-04-09,5,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",6,44
2020-04-09,6,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",6,37
2020-04-09,7,7,3,All American,TV Show,,"Mar 28, 2019",17,123
2020-04-09,8,8,-,Legacies,TV Show,,"Apr 5, 2019",3,7
2020-04-09,9,9,4,Nailed It!,TV Show,Yes,"Mar 9, 2018",8,30
2020-04-09,10,10,-,The Hangover,Movie,,"Jul 1, 2019",3,3
2020-04-10,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",18,180
2020-04-10,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",14,126
2020-04-10,3,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",4,27
2020-04-10,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",6,36
2020-04-10,5,6,-,Money Heist,TV Show,Yes,"Dec 20, 2017",7,43
2020-04-10,6,7,3,All American,TV Show,,"Mar 28, 2019",18,128
2020-04-10,7,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",7,48
2020-04-10,8,8,-,Legacies,TV Show,,"Apr 5, 2019",4,10
2020-04-10,9,9,5,Nailed It!,TV Show,Yes,"Mar 9, 2018",9,32
2020-04-10,10,-,-,Community,TV Show,,"Apr 1, 2020",1,1
2020-04-11,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",19,190
2020-04-11,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",15,135
2020-04-11,3,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",7,44
2020-04-11,4,3,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",5,34
2020-04-11,5,5,3,Money Heist,TV Show,Yes,"Dec 20, 2017",8,49
2020-04-11,6,-,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",1,5
2020-04-11,7,6,4,All American,TV Show,,"Mar 28, 2019",19,132
2020-04-11,8,7,5,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",8,51
2020-04-11,9,8,-,Legacies,TV Show,,"Apr 5, 2019",5,12
2020-04-11,10,9,8,Nailed It!,TV Show,Yes,"Mar 9, 2018",10,33
2020-04-12,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",20,200
2020-04-12,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",16,144
2020-04-12,3,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",2,13
2020-04-12,4,3,9,Angel Has Fallen,Movie,,"Apr 4, 2020",8,51
2020-04-12,5,4,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",6,40
2020-04-12,6,5,4,Money Heist,TV Show,Yes,"Dec 20, 2017",9,54
2020-04-12,7,-,-,Code 8,Movie,,"Apr 11, 2020",1,4
2020-04-12,8,7,5,All American,TV Show,,"Mar 28, 2019",20,135
2020-04-12,9,9,-,Legacies,TV Show,,"Apr 5, 2019",6,14
2020-04-12,10,-,-,Community,TV Show,,"Apr 1, 2020",2,2
2020-04-13,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",21,210
2020-04-13,2,7,-,Code 8,Movie,,"Apr 11, 2020",2,13
2020-04-13,3,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",17,152
2020-04-13,4,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",9,58
2020-04-13,5,3,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",3,19
2020-04-13,6,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",10,59
2020-04-13,7,-,-,Hop,Movie,,"Jan 16, 2020",1,4
2020-04-13,8,5,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",7,43
2020-04-13,9,8,6,All American,TV Show,,"Mar 28, 2019",21,137
2020-04-13,10,-,-,The Main Event,Movie,Yes,"Apr 10, 2020",1,1
2020-04-14,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",22,220
2020-04-14,2,3,2,Ozark,TV Show,Yes,"Jul 21, 2017",18,161
2020-04-14,3,2,-,Code 8,Movie,,"Apr 11, 2020",3,21
2020-04-14,4,6,5,Money Heist,TV Show,Yes,"Dec 20, 2017",11,66
2020-04-14,5,9,6,All American,TV Show,,"Mar 28, 2019",22,143
2020-04-14,6,5,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",4,24
2020-04-14,7,8,7,The Big Show Show,TV Show,Yes,"Apr 6, 2020",8,47
2020-04-14,8,10,-,The Main Event,Movie,Yes,"Apr 10, 2020",2,4
2020-04-14,9,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",10,60
2020-04-14,10,-,10,Legacies,TV Show,,"Apr 5, 2019",7,15
2020-04-15,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",23,230
2020-04-15,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",19,170
2020-04-15,3,3,-,Code 8,Movie,,"Apr 11, 2020",4,29
2020-04-15,4,-,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",1,7
2020-04-15,5,4,6,Money Heist,TV Show,Yes,"Dec 20, 2017",12,72
2020-04-15,6,5,7,All American,TV Show,,"Mar 28, 2019",23,148
2020-04-15,7,7,4,The Big Show Show,TV Show,Yes,"Apr 6, 2020",9,51
2020-04-15,8,6,-,Love Wedding Repeat,Movie,Yes,"Apr 10, 2020",5,27
2020-04-15,9,8,-,The Main Event,Movie,Yes,"Apr 10, 2020",3,6
2020-04-15,10,9,5,Angel Has Fallen,Movie,,"Apr 4, 2020",11,61
2020-04-16,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",24,240
2020-04-16,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",20,179
2020-04-16,3,3,-,Code 8,Movie,,"Apr 11, 2020",5,37
2020-04-16,4,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",2,14
2020-04-16,5,-,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",1,6
2020-04-16,6,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",1,5
2020-04-16,7,6,7,All American,TV Show,,"Mar 28, 2019",24,152
2020-04-16,8,5,6,Money Heist,TV Show,Yes,"Dec 20, 2017",13,75
2020-04-16,9,7,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",10,53
2020-04-16,10,10,4,Angel Has Fallen,Movie,,"Apr 4, 2020",12,62
2020-04-17,1,-,-,Despicable Me,Movie,,"Apr 16, 2020",1,10
2020-04-17,2,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",25,249
2020-04-17,3,6,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",2,13
2020-04-17,4,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",21,186
2020-04-17,5,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",2,12
2020-04-17,6,3,-,Code 8,Movie,,"Apr 11, 2020",6,42
2020-04-17,7,7,6,All American,TV Show,,"Mar 28, 2019",25,156
2020-04-17,8,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",14,78
2020-04-17,9,4,-,Chris DâElia: No Pain,Stand-Up Comedy,Yes,"Apr 14, 2020",3,16
2020-04-17,10,9,3,The Big Show Show,TV Show,Yes,"Apr 6, 2020",11,54
2020-04-18,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",2,20
2020-04-18,2,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",26,258
2020-04-18,3,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",3,21
2020-04-18,4,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",22,193
2020-04-18,5,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",1,6
2020-04-18,6,-,-,#blackAF,TV Show,Yes,"Apr 17, 2020",1,5
2020-04-18,7,6,-,Code 8,Movie,,"Apr 11, 2020",7,46
2020-04-18,8,5,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",3,15
2020-04-18,9,7,7,All American,TV Show,,"Mar 28, 2019",26,158
2020-04-18,10,8,5,Money Heist,TV Show,Yes,"Dec 20, 2017",15,79
2020-04-19,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",3,30
2020-04-19,2,5,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",2,15
2020-04-19,3,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",27,266
2020-04-19,4,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",4,28
2020-04-19,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",2,11
2020-04-19,6,4,2,Ozark,TV Show,Yes,"Jul 21, 2017",23,198
2020-04-19,7,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",4,19
2020-04-19,8,7,7,Code 8,Movie,,"Apr 11, 2020",8,49
2020-04-19,9,-,-,Waco,TV Show,,"Apr 16, 2020",1,2
2020-04-19,10,10,6,Money Heist,TV Show,Yes,"Dec 20, 2017",16,80
2020-04-20,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",4,40
2020-04-20,2,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",3,24
2020-04-20,3,4,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",5,36
2020-04-20,4,3,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",28,273
2020-04-20,5,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",3,17
2020-04-20,6,6,3,Ozark,TV Show,Yes,"Jul 21, 2017",24,203
2020-04-20,7,9,-,Waco,TV Show,,"Apr 16, 2020",2,6
2020-04-20,8,7,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",5,22
2020-04-20,9,8,2,Code 8,Movie,,"Apr 11, 2020",9,51
2020-04-20,10,-,-,The Green Hornet,Movie,,"Apr 18, 2020",1,1
2020-04-21,1,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",4,34
2020-04-21,2,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",6,45
2020-04-21,3,1,-,Despicable Me,Movie,,"Apr 16, 2020",5,48
2020-04-21,4,7,-,Waco,TV Show,,"Apr 16, 2020",3,13
2020-04-21,5,4,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",29,279
2020-04-21,6,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",4,22
2020-04-21,7,6,2,Ozark,TV Show,Yes,"Jul 21, 2017",25,207
2020-04-21,8,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",6,25
2020-04-21,9,-,5,All American,TV Show,,"Mar 28, 2019",27,160
2020-04-21,10,10,-,The Green Hornet,Movie,,"Apr 18, 2020",2,2
2020-04-22,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",5,44
2020-04-22,2,2,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",7,54
2020-04-22,3,3,-,Despicable Me,Movie,,"Apr 16, 2020",6,56
2020-04-22,4,4,-,Waco,TV Show,,"Apr 16, 2020",4,20
2020-04-22,5,6,-,#blackAF,TV Show,Yes,"Apr 17, 2020",5,28
2020-04-22,6,5,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",30,284
2020-04-22,7,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",26,211
2020-04-22,8,9,6,All American,TV Show,,"Mar 28, 2019",28,163
2020-04-22,9,8,-,The Innocence Files,TV Show,Yes,"Apr 15, 2020",7,27
2020-04-22,10,-,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",1,1
2020-04-23,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",6,54
2020-04-23,2,2,6,Outer Banks,TV Show,Yes,"Apr 15, 2020",8,63
2020-04-23,3,4,-,Waco,TV Show,,"Apr 16, 2020",5,28
2020-04-23,4,-,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",1,7
2020-04-23,5,3,-,Despicable Me,Movie,,"Apr 16, 2020",7,62
2020-04-23,6,7,2,Ozark,TV Show,Yes,"Jul 21, 2017",27,216
2020-04-23,7,6,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",31,288
2020-04-23,8,5,-,#blackAF,TV Show,Yes,"Apr 17, 2020",6,31
2020-04-23,9,-,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",1,2
2020-04-23,10,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",2,2
2020-04-24,1,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",2,17
2020-04-24,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",9,72
2020-04-24,3,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",7,62
2020-04-24,4,3,-,Waco,TV Show,,"Apr 16, 2020",6,35
2020-04-24,5,6,4,Ozark,TV Show,Yes,"Jul 21, 2017",28,222
2020-04-24,6,5,1,Despicable Me,Movie,,"Apr 16, 2020",8,67
2020-04-24,7,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",32,292
2020-04-24,8,8,-,#blackAF,TV Show,Yes,"Apr 17, 2020",7,34
2020-04-24,9,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",2,4
2020-04-24,10,10,-,Cooked with Cannabis,TV Show,Yes,"Apr 20, 2020",3,3
2020-04-25,1,-,-,Extraction,Movie,Yes,"Apr 24, 2020",1,10
2020-04-25,2,1,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",3,26
2020-04-25,3,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",10,80
2020-04-25,4,3,5,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",8,69
2020-04-25,5,4,-,Waco,TV Show,,"Apr 16, 2020",7,41
2020-04-25,6,5,4,Ozark,TV Show,Yes,"Jul 21, 2017",29,227
2020-04-25,7,6,1,Despicable Me,Movie,,"Apr 16, 2020",9,71
2020-04-25,8,7,2,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",33,295
2020-04-25,9,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",3,6
2020-04-25,10,8,6,#blackAF,TV Show,Yes,"Apr 17, 2020",8,35
2020-04-26,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",2,20
2020-04-26,2,3,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",11,89
2020-04-26,3,2,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",4,34
2020-04-26,4,5,9,Waco,TV Show,,"Apr 16, 2020",8,48
2020-04-26,5,4,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",9,75
2020-04-26,6,8,3,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",34,300
2020-04-26,7,6,6,Ozark,TV Show,Yes,"Jul 21, 2017",30,231
2020-04-26,8,9,-,Absurd Planet,TV Show,Yes,"Apr 22, 2020",4,9
2020-04-26,9,7,1,Despicable Me,Movie,,"Apr 16, 2020",10,73
2020-04-26,10,-,-,Django Unchained,Movie,,"Oct 25, 2014",1,1
2020-04-27,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",3,30
2020-04-27,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",12,98
2020-04-27,3,-,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",1,8
2020-04-27,4,3,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",5,41
2020-04-27,5,4,7,Waco,TV Show,,"Apr 16, 2020",9,54
2020-04-27,6,5,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",10,80
2020-04-27,7,-,-,The Last Kingdom,TV Show,,"Jul 10, 2016",1,4
2020-04-27,8,10,-,Django Unchained,Movie,,"Oct 25, 2014",2,4
2020-04-27,9,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",31,233
2020-04-27,10,6,4,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",35,301
2020-04-28,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",4,40
2020-04-28,2,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",13,107
2020-04-28,3,7,-,The Last Kingdom,TV Show,,"Jul 10, 2016",2,12
2020-04-28,4,3,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",2,15
2020-04-28,5,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",6,47
2020-04-28,6,-,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",1,5
2020-04-28,7,5,4,Waco,TV Show,,"Apr 16, 2020",10,58
2020-04-28,8,6,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",11,83
2020-04-28,9,9,7,Ozark,TV Show,Yes,"Jul 21, 2017",32,235
2020-04-28,10,8,-,Django Unchained,Movie,,"Oct 25, 2014",3,5
2020-04-29,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",5,50
2020-04-29,2,6,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",2,14
2020-04-29,3,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",14,115
2020-04-29,4,3,-,The Last Kingdom,TV Show,,"Jul 10, 2016",3,19
2020-04-29,5,5,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",7,53
2020-04-29,6,7,4,Waco,TV Show,,"Apr 16, 2020",11,63
2020-04-29,7,9,7,Ozark,TV Show,Yes,"Jul 21, 2017",33,239
2020-04-29,8,4,-,"Coronavirus, Explained",TV Show,Yes,"Apr 26, 2020",3,18
2020-04-29,9,8,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",12,85
2020-04-29,10,10,-,Django Unchained,Movie,,"Oct 25, 2014",4,6
2020-04-30,1,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",3,24
2020-04-30,2,1,-,Extraction,Movie,Yes,"Apr 24, 2020",6,59
2020-04-30,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",15,123
2020-04-30,4,4,-,The Last Kingdom,TV Show,,"Jul 10, 2016",4,26
2020-04-30,5,-,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",1,6
2020-04-30,6,5,4,The Willoughbys,Movie,Yes,"Apr 22, 2020",8,58
2020-04-30,7,6,3,Waco,TV Show,,"Apr 16, 2020",12,67
2020-04-30,8,7,6,Ozark,TV Show,Yes,"Jul 21, 2017",34,242
2020-04-30,9,10,-,Django Unchained,Movie,,"Oct 25, 2014",5,8
2020-04-30,10,9,1,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",13,86
2020-05-01,1,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",4,34
2020-05-01,2,-,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",1,9
2020-05-01,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",16,131
2020-05-01,4,2,-,Extraction,Movie,Yes,"Apr 24, 2020",7,66
2020-05-01,5,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",2,12
2020-05-01,6,4,-,The Last Kingdom,TV Show,,"Jul 10, 2016",5,31
2020-05-01,7,6,1,The Willoughbys,Movie,Yes,"Apr 22, 2020",9,62
2020-05-01,8,7,4,Waco,TV Show,,"Apr 16, 2020",13,70
2020-05-01,9,8,5,Ozark,TV Show,Yes,"Jul 21, 2017",35,244
2020-05-01,10,10,3,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",14,87
2020-05-02,1,2,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",2,19
2020-05-02,2,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",5,43
2020-05-02,3,3,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",17,139
2020-05-02,4,4,1,Extraction,Movie,Yes,"Apr 24, 2020",8,73
2020-05-02,5,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",3,18
2020-05-02,6,6,-,The Last Kingdom,TV Show,,"Jul 10, 2016",6,36
2020-05-02,7,7,2,The Willoughbys,Movie,Yes,"Apr 22, 2020",10,66
2020-05-02,8,-,-,All Day and a Night,Movie,Yes,"May 1, 2020",1,3
