Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,28,2,14.6,2.6,4.4,.590,0.0,0.0,0,2.6,4.4,.590,.590,1.3,2.4,.561,1.3,2.7,4.0,0.6,0.4,0.5,1.0,1.9,6.5
Jaylen Adams,PG,24,MIL,6,0,2.8,0.2,1.3,.125,0.0,0.3,.000,0.2,1.0,.167,.125,0.0,0.0,0,0.0,0.5,0.5,0.3,0.0,0.0,0.0,0.2,0.3
Steven Adams,C,27,NOP,27,27,28.1,3.5,5.8,.603,0.0,0.0,.000,3.5,5.7,.606,.603,1.1,2.3,.468,4.3,4.6,8.9,2.1,1.0,0.6,1.7,1.9,8.0
Bam Adebayo,C,23,MIA,26,26,33.6,7.4,12.9,.573,0.1,0.2,.400,7.3,12.7,.576,.576,5.1,6.0,.841,1.9,7.3,9.2,5.3,1.0,1.0,3.0,2.6,19.9
LaMarcus Aldridge,C,35,SAS,18,18,26.7,5.9,12.5,.476,1.3,3.7,.358,4.6,8.8,.525,.529,0.9,1.2,.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1
Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,23,3,19.2,3.3,8.2,.410,1.0,3.8,.276,2.3,4.4,.525,.473,1.1,1.4,.781,0.2,2.4,2.7,2.0,1.1,0.3,1.3,1.7,8.8
Grayson Allen,SG,25,MEM,19,8,23.9,3.2,7.4,.429,2.3,5.3,.436,0.8,2.1,.410,.586,1.7,1.9,.892,0.4,2.5,2.9,2.1,1.0,0.2,1.1,1.3,10.4
Jarrett Allen,C,22,TOT,28,10,26.2,4.4,6.8,.642,0.0,0.1,.250,4.3,6.6,.651,.645,3.6,4.7,.758,2.9,6.1,9.0,1.6,0.5,1.6,1.5,1.6,12.3
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Jarrett Allen,C,22,CLE,16,5,25.9,4.9,7.8,.624,0.1,0.3,.250,4.8,7.6,.636,.628,3.4,4.4,.761,2.8,5.2,7.9,1.6,0.4,1.7,1.3,1.4,13.2
Al-Farouq Aminu,PF,30,ORL,2,0,8.0,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,0,1.500,0.0,1.0,.000,0.5,1.5,2.0,1.0,0.0,0.0,1.0,0.0,1.5
Kyle Anderson,PF,27,MEM,24,24,28.1,5.0,10.7,.467,1.7,4.3,.388,3.3,6.4,.519,.545,2.1,2.7,.781,0.9,5.3,6.3,3.8,1.1,0.8,1.4,1.8,13.8
Giannis Antetokounmpo,PF,26,MIL,27,27,33.6,10.3,18.4,.563,1.1,4.0,.290,9.2,14.4,.638,.594,6.4,9.9,.642,1.7,9.7,11.4,5.8,1.3,1.3,3.7,3.1,28.2
Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,0,0.0,2.0,.000,.000,0.0,0.0,0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
Thanasis Antetokounmpo,SF,28,MIL,18,0,8.3,0.9,1.4,.654,0.1,0.4,.286,0.8,1.1,.789,.692,0.2,0.4,.571,0.7,1.0,1.7,0.8,0.3,0.2,0.8,1.4,2.2
Carmelo Anthony,PF,36,POR,27,3,25.3,4.6,11.7,.396,1.7,4.5,.377,2.9,7.2,.407,.468,2.4,2.8,.842,0.6,2.9,3.5,1.3,0.8,0.8,0.9,2.1,13.3
Cole Anthony,PG,20,ORL,25,17,26.7,4.0,10.8,.375,1.1,3.3,.325,3.0,7.4,.398,.426,1.8,2.2,.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
OG Anunoby,SF,23,TOR,18,18,34.4,5.1,10.3,.489,2.4,5.7,.431,2.6,4.7,.560,.608,2.0,2.7,.750,1.6,4.3,5.9,1.6,2.0,0.6,1.7,2.9,14.6
Ryan Arcidiacono,PG,26,CHI,11,0,9.7,0.8,2.2,.375,0.5,1.5,.375,0.3,0.7,.375,.500,0.4,0.5,.800,0.1,1.9,2.0,1.5,0.3,0.0,0.2,0.9,2.5
