age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
85,1921, natural causes,January,2006, businessman chairman of IBM (1973â€“1981),Frank Cary,American,1
49,1957, murdered,January,2006, musician (House of Freaks Gutterball),Bryan Harvey,American,2
64,1942, Alzheimer's disease,January,2006, baseball player (Oakland Athletics),Paul Lindblad,American,1
86,1920, Alzheimer's disease,January,2006, politician Representative from Oregon (1957â€“1961),Charles O. Porter,American,2
82,1924, cancer,January,2006, nightclub owner (Tropicana Club),Ofelia Fox,Cuban,
52,1954, stroke,January,2006, New Guinean politician Prime Minister (1997â€“1999),Sir William Skate,Papua,
31,1975, probably pulmonary embolism,January,2006, footballer (soccer player),GÃ¡bor Zavadszky,Hungarian,1
31,1975, from injuries sustained in a biking accident,January,2006, football (soccer) player,JosÃ© Luis SÃ¡nchez,Argentine,4
55,1951,,January,2006, inventor (KISS rebreather),Gordon Smith,Canadian,2
70,1936, lung cancer,January,2006, actor (The Guiding Light),Don Stewart,American,
39,1967, heart attack,January,2006, DJ prominent figure in trance music and member of (Jam & Spoon),Mark Spoon,German,
80,1926,,January,2006, stage (Suddenly Last Summer) and television actress (Another World),Anne Meacham,American,
83,1923,,January,2006, broadcaster and politician,Gordon Atkinson,Canadian,1
85,1921, heart failure,January,2006, actress (Lolita The Poseidon Adventure),Shelley Winters,American,10
90,1916, doctor to Josip Broz Tito,January,2006, physician,Stjepan Steiner,Croatian,8
90,1916,,January,2006, Financial Secretary of Hong Kong (1961â€“1971),John James Cowperthwaite,British,11
65,1941,,January,2006, academic and politician (chairman of SHP)[citation needed],AydÄ±n GÃ_ven GÃ_rkan,Turkih,6
94,1912,,January,2006, Republican United States Representative from Nebraska (1975â€“1991),Virginia Smith,former,
92,1914,,January,2006," humorist (""Peter Simple"")",Michael Wharton,British,12
41,1965, complications from a long illness,January,2006, MLB player,Carlos (CafÃ©) MartÃ_nez,former,4
75,1931,,January,2006, of Germany (BundesprÃ_sident) from 1999 - 2004,Johannes Rau,President,6
76,1930,,January,2006, Deputy Chief Minister of Gibraltar (1956â€“1984),Peter Isola,Gibraltarian,6
53,1953,,January,2006, founder of the Broadcast Film Critics Association (BFCA),Paul Clinton,CNN,2
