model,year,price,transmission,mileage,fuel type,engine size,mileage2,fuel type2,engine size2,reference
 Focus,2016," £8,000",Manual,,Petrol,0.999,"38,852",,,/ad/25451236
 Focus,2019," £13,400",Manual,,Petrol,0.999,"11,952",,,/ad/25466927
 Focus,2019," £14,600",Manual,,Petrol,1.498,"22,142",,,/ad/25484363
 Focus,2016," £9,450",Manual,,Diesel,1.56,"14,549",,,/ad/20444868
 Focus,2015," £9,999",Manual,,Diesel,1.56,"7,010",,,/ad/22551057
 Focus,2016," £10,699",Automatic,,Petrol,999,"26,796",,,/ad/25106166
 Focus,2018," £12,849",Manual,,Petrol,1000,"16,128",,,/ad/25106168
 Focus,2020," £24,999",Manual,,Petrol,2300,"4,900",,,/ad/25139980
 Focus,2018," £11,999",Manual,,Petrol,1498,"30,953",,,/ad/25119452
 Focus,2019," £19,500",Manual,,Diesel,1.5,"3,000",,,/ad/25386987
 Focus,2018," £12,300",Manual,"13,255",n/a,£145,57.7,Petrol,0.999,/ad/25435268
 Focus,2015," £7,500",Manual,"42,112",11,£20,61.4,Petrol,0.999,/ad/25476700
 Focus,2017," £9,600",Manual,"50,689",n/a,£0,74.3,Diesel,1.499,/ad/25476685
 Focus,2015," £9,500",Automatic,"30,292",14,£165,44.8,Petrol,1.596,/ad/25476687
 Focus,2016," £9,400",Manual,"25,998",n/a,£20,61.4,Petrol,0.999,/ad/25476699
 Focus,2017," £9,800",Manual,"33,629",n/a,£145,74.3,Diesel,1.499,/ad/25408706
 Focus,2016," £8,000",Manual,"43,526",n/a,£0,74.3,Diesel,1.499,/ad/25390416
 Focus,2018," £10,600",Manual,"25,151",n/a,£145,57.7,Petrol,0.999,/ad/25392273
 Focus,2018," £10,300",Manual,"45,773",n/a,£145,57.7,Petrol,0.999,/ad/25416430
 Focus,2018," £11,400",Manual,"26,656",n/a,£145,57.7,Petrol,0.999,/ad/25435301
 Focus,2016," £7,900",Manual,"58,898",n/a,£0,74.3,Diesel,1.499,/ad/25142053
 Focus,2015," £7,000",Manual,"78,533",n/a,£0,74.3,Diesel,1.499,/ad/25463403
 Focus,2019," £13,500",Manual,"27,916",n/a,£150,80.7,Diesel,1.499,/ad/25463416
 Focus,2019," £13,000",Manual,"34,466",n/a,£150,80.7,Diesel,1.499,/ad/25463417
 Focus,2017," £10,800",Manual,"22,988",n/a,£20,60.1,Petrol,0.999,/ad/25402223
 Focus,2016," £14,250",Manual,"40,696",26,£20,67.3,Diesel,1.997,/ad/25392262
 Focus,2017," £9,900",Automatic,"31,821",12,£125,51.4,Petrol,0.999,/ad/25471389
 Focus,2017," £11,500",Manual,"18,413",n/a,£150,60.1,Petrol,0.999,/ad/25471401
 Focus,2017," £9,900",Manual,"21,492",11,£20,61.4,Petrol,0.999,/ad/25471404
 Focus,2017," £9,500",Manual,"15,344",n/a,£20,61.4,Petrol,0.999,/ad/25471407
 Focus,2019," £19,575",Automatic,,Diesel,1.5,"8,879",,,/ad/25462137
 Focus,2019," £19,315",Automatic,,Diesel,2,"4,698",,,/ad/25462138
 Focus,2019," £16,440",Automatic,,Petrol,1,"16,199",,,/ad/25462140
 Focus,2019," £21,660",Automatic,,Diesel,2,"3,212",,,/ad/25462141
 Focus,2019," £19,000",Automatic,,Diesel,2,"8,201",,,/ad/25462142
 Focus,2019," £16,040",Manual,,Petrol,1,"13,471",,,/ad/25462143
 Focus,2019," £14,560",Manual,,Petrol,1,"12,372",,,/ad/25462145
 Focus,2019," £16,040",Manual,,Diesel,1.5,"11,535",,,/ad/25462146
 Focus,2019," £18,650",Automatic,,Diesel,1.5,"2,219",,,/ad/25462147
 Focus,2019," £19,015",Manual,,Diesel,1.5,"10,230",,,/ad/25462148
 Focus,2019," £19,560",Automatic,,Diesel,1.5,201,,,/ad/25444846
 Focus,2018," £14,000",Manual,"9,083",n/a,£150,57.7,Petrol,1,/ad/25450130
