Category: All categories

Month,Data science + Machine Learning + Computer Vision + Natural Language Processing + Deep Learning: (Worldwide)
2010-01,5
2010-02,0
2010-03,10
2010-04,8
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,5
2011-03,4
2011-04,0
2011-05,4
2011-06,0
2011-07,0
2011-08,13
2011-09,4
2011-10,12
2011-11,11
2011-12,0
2012-01,4
2012-02,4
2012-03,4
2012-04,4
2012-05,4
2012-06,11
2012-07,4
2012-08,3
2012-09,3
2012-10,2
2012-11,2
2012-12,7
2013-01,4
2013-02,5
2013-03,6
2013-04,6
2013-05,10
2013-06,9
2013-07,6
2013-08,4
2013-09,5
2013-10,0
2013-11,9
2013-12,4
2014-01,10
2014-02,6
2014-03,7
2014-04,5
2014-05,9
2014-06,10
2014-07,7
2014-08,5
2014-09,11
2014-10,17
2014-11,6
2014-12,6
2015-01,17
2015-02,4
2015-03,18
2015-04,25
2015-05,15
2015-06,25
2015-07,17
2015-08,15
2015-09,18
2015-10,19
2015-11,21
2015-12,34
2016-01,27
2016-02,42
2016-03,20
2016-04,31
2016-05,25
2016-06,35
2016-07,57
2016-08,29
2016-09,52
2016-10,51
2016-11,43
2016-12,66
2017-01,54
2017-02,100
2017-03,54
2017-04,46
2017-05,47
2017-06,38
2017-07,45
2017-08,38
2017-09,54
2017-10,54
2017-11,56
2017-12,50
2018-01,44
2018-02,56
2018-03,38
2018-04,59
2018-05,48
2018-06,62
2018-07,33
2018-08,48
2018-09,47
2018-10,63
2018-11,50
2018-12,33
2019-01,75
2019-02,64
2019-03,43
2019-04,66
2019-05,61
2019-06,68
2019-07,62
2019-08,49
2019-09,62
2019-10,58
2019-11,94
2019-12,42
2020-01,75
2020-02,83
2020-03,56
2020-04,53
2020-05,64
2020-06,43
2020-07,31
2020-08,17
2020-09,61
2020-10,16
2020-11,47
2020-12,20
2021-01,53
2021-02,40
2021-03,29
2021-04,38
