Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location
Silver,Trailer,BST2021D,2021,Trailer,5/11/2021,Waitemata
Silver,Trailer,OUTBACK BOATS FT470,2021,Boat Trailer,13/12/2021,Eastern
Silver,Trailer,ASD JETSKI,2021,Boat Trailer,13/02/2022,Auckland City
Silver,Trailer,MSC 7X4,2021,Trailer,13/11/2021,Central
Silver,Trailer,D-MAX 8X5,2018,Trailer,10/01/2022,Waitemata
Black,Yamaha,YZF-R6T,2005,Roadbike,31/12/2021,Counties/Manukau
Silver,Trailer,CAAR TRANSPORTER,2021,Trailer,12/11/2021,Canterbury
Silver,Trailer,BOAT,2001,Boat Trailer,22/02/2022,Wellington
Silver,Briford,"7X4'6"" 1000KG",2021,Trailer,25/02/2022,Southern
Silver,Briford,8X4 TANDEM,2020,Trailer,3/01/2022,Canterbury
Silver,Trailer,HOMEBUILT,2018,Trailer,15/10/2021,Central
Silver,Factory Built,BRENT SMITH TRAILERS,2018,Trailer,28/02/2022,Waitemata
Black,Vespa,ET2,2004,Moped,19/12/2021,Auckland City
Blue,Honda,TODAY,2007,Moped,23/01/2022,Auckland City
Black,Suzuki,DL650,2007,Roadbike,28/02/2022,Northland
Silver,Trailer,JOBMATE,2021,Trailer,8/02/2022,Wellington
Silver,Trailer,BSTB85B,2021,Trailer,10/10/2021,Auckland City
White,Trailer,BOAT,2004,Boat Trailer,7/10/2021,Bay of Plenty
White,Trailer,DOMESTIC TRAILER,2014,Trailer,24/02/2022,Bay of Plenty
Silver,Trailer,APS SEADOO,2018,Boat Trailer,8/11/2021,Canterbury
Silver,Triumph,THUNDERBIRD,2002,Roadbike,11/02/2022,Northland
Silver,Factory Built,BRENT SMITH TRAILERS,2000,Trailer,22/11/2021,Bay of Plenty
Silver,Trailer,LOCAL,2015,Trailer,27/01/2022,Canterbury
Silver,Trailer,CT DIG 25,2021,Trailer - Heavy,12/11/2021,Waitemata
Silver,Trailer,CHOOKS 2.4X1.6 TRANS,2018,Trailer,8/10/2021,Central
Silver,Trailer,EASY TILT,2017,Trailer,4/03/2022,Central
Silver,Trailer,IFOR WILLIAMS CT177,2018,Trailer,27/02/2022,Waikato
Silver,Trailer,CONDOR,2018,Trailer,1/02/2022,Wellington
Silver,Trailer,HOMEBUILT,2018,Trailer,1/11/2021,Bay of Plenty
Silver,Trailer,PRO COMMERCIAL,2018,Trailer,21/12/2021,Auckland City
Grey,Trailer,FACTORY,2018,Trailer,3/01/2022,Counties/Manukau
Green,Homebuilt,TRAILER,1998,Trailer,21/10/2021,Canterbury
Grey,Trailer,JFK JETSKI,2017,Boat Trailer,15/02/2022,Bay of Plenty
Silver,Trailer,BST 2021D,2021,Trailer,5/01/2022,Auckland City
Silver,Briford,10X5 TANDEM,2021,Trailer,5/04/2022,Canterbury
Grey,Trailer,HOMEMADE,2018,Trailer,17/02/2022,Waikato
Silver,Trailer,COMPASS-KH63,2018,Trailer,23/02/2022,Counties/Manukau
Silver,Trailer,TRAYLA,2018,Trailer,17/01/2022,Wellington
Silver,Trailer,PRESCOTT,2021,Trailer - Heavy,3/12/2021,Bay of Plenty
Black,Homebuilt,TRAILER,2021,Trailer,27/12/2021,Wellington
Silver,Trailer,TRAYLA,2021,Trailer,2/03/2022,Central
Silver,Trailer,HOMEMADE,2002,Trailer,2/01/2022,Waitemata
Silver,Trailer,BST58OR,2018,Boat Trailer,24/02/2022,Counties/Manukau
Silver,Homebuilt,TRAILER,2018,Trailer,28/02/2022,Canterbury
Silver,Trailer,DOMESTIC TRAILER,2014,Trailer,19/10/2021,Bay of Plenty
Silver,Factory Built,TGB PALIO,2005,Moped,9/11/2021,Central
Grey,Trailer,TANDEM,2004,Trailer - Heavy,5/11/2021,Counties/Manukau
Silver,Custombuilt,TRAILER,2021,Trailer,2/03/2022,Auckland City
Grey,Trailer,DOMESTIC,2021,Trailer,22/10/2021,Counties/Manukau
Silver,Trailer,M J TANDEM AXLE,2021,Trailer,20/01/2022,Canterbury
Silver,Briford,8X4 CAGE,2021,Trailer,7/12/2021,Auckland City
